,City,Cost,Rating,Comfort
0,Kościelisko,4264,9.5,9.5
1,"Dzielnica Uzdrowiskowa, Kołobrzeg",7343,9.0,9.2
2,Mysłakowice,3736,8.9,9.1
3,Stare Bogaczowice,2287,9.1,9.1
4,Rogowo,6256,9.0,9.0
5,"Centrum, Gdańsk",4631,8.9,9.0
6,Szydłowice,2288,9.3,9.2
7,Tykocin,3329,9.9,9.8
8,Konina,3996,9.6,9.7
9,"Centrum, Gdańsk",4768,9.8,9.9
10,Hajnówka,3710,9.1,9.5
11,Szklarska Poręba,4271,9.0,9.5
12,Pustkowo,5810,9.4,9.4
13,Wola Kalinowska,5850,9.6,9.3
14,Szczawnica,7609,9.4,9.4
15,Szaflary,4627,9.6,9.7
16,Jastarnia,6998,9.3,9.5
17,"Stare Miasto, Poznań",3658,9.3,9.5
18,Katowice,2088,8.7,8.7
19,"Śródmieście, Wrocław",3743,8.4,8.4
20,"Śródmieście, Warszawa",2670,8.1,8.1
21,Zelwa,2125,9.6,9.5
22,Żnin,11688,9.0,9.0
23,Frombork,5621,9.3,9.6
24,Karpniki,4190,9.6,9.7
25,Karpniki,4190,9.6,9.7
26,Brenna,5771,9.9,9.9
27,Zabierzów,6650,8.9,8.9
28,Kołobrzeg,8555,8.5,8.7
29,Kołobrzeg,5990,8.2,8.5
30,Tarnów,2590,9.5,9.6
31,Jarosławiec,4505,8.6,8.5
32,"Krzyki, Wrocław",10993,9.0,9.3
33,Kaletnik,2450,9.6,9.6
34,"Stare Miasto, Lublin",3244,9.6,9.7
35,Sienna,4007,9.4,9.5
36,Osjaków,5875,9.5,9.4
37,Białystok,2255,7.8,9.6
38,Kicin,2998,9.7,9.0
39,Świnoujście,8671,8.4,9.8
40,Mielec,4130,9.6,9.7
41,Drezdenko,3179,9.6,9.0
42,"Stare Miasto, Kraków",8693,8.7,8.4
43,Świnoujście,3893,8.2,9.5
44,Bańska,3192,9.6,9.4
45,Podiazy,5483,9.4,9.1
46,Dzierżoniów,2048,8.9,8.9
47,"Grzegórzki, Kraków",3366,8.7,8.9
48,"Dolny Sopot, Sopot",14671,8.9,9.1
49,Ostróda,4745,9.0,9.6
50,Stogniewice,2592,9.6,8.0
51,Międzyzdroje,5598,8.1,8.7
52,Karpacz,6011,8.6,8.6
53,"Stare Miasto, Toruń",3150,8.6,9.5
54,"Stare Miasto, Poznań",2406,9.4,9.4
55,Kwidzyn,1478,9.3,8.2
56,"Dzielnica Uzdrowiskowa, Kołobrzeg",3901,8.2,9.2
57,Płock,2816,9.2,9.7
58,Zakopane,7335,9.5,8.7
59,Rydzewo,5600,8.7,9.3
60,Legnica,2454,9.1,9.1
61,"Centrum, Zielona Góra",2544,9.0,8.5
62,Zakopane,4079,8.5,9.0
63,"Dolny Sopot, Sopot",5123,9.0,9.0
64,Olsztyn,3325,8.9,8.4
