,City,Cost,Rating,Comfort
0,Mysłakowice,3455,8.9,9.1
1,Stare Bogaczowice,2104,9.1,9.1
2,"Zieleniec, Duszniki-Zdrój",4963,9.3,9.5
3,Sienna,5588,8.6,8.8
4,Kudowa-Zdrój,4763,8.4,8.4
5,Świeradów-Zdrój,9141,8.7,9.2
6,Szklarska Poręba,5846,8.8,8.9
7,Głuszyca Górna,2854,9.7,9.9
8,Podgórzyn,3105,8.9,9.0
9,Szklarska Poręba,4630,9.0,9.5
10,Karpacz,9726,8.8,9.1
11,Polanica-Zdrój,5959,8.8,8.8
12,Bielany Wrocławskie,4020,8.5,8.5
13,Świeradów-Zdrój,6646,8.7,9.0
14,Bolesławiec,4760,9.1,9.3
15,Polanica-Zdrój,8386,8.7,8.8
16,"Fabryczna, Wrocław",4116,8.0,8.2
17,Bolesławiec,4257,8.9,9.1
18,"Śródmieście, Wrocław",3750,8.4,8.4
19,Legnica,6160,8.1,8.3
20,Raszów,2312,9.9,9.8
21,Karpniki,4190,9.6,9.7
22,Sosnówka,5263,9.2,9.5
23,Wojanów,7132,8.2,8.0
24,Polanica-Zdrój,7126,8.9,8.7
25,Jelenia Góra,4060,8.0,8.1
26,"Krzyki, Wrocław",10114,9.0,9.3
27,Karłów,2806,8.5,8.0
28,Kamienna Góra,2396,7.5,9.5
29,Sienna,3686,9.4,8.1
30,Stronie Śląskie,8702,7.8,9.2
31,Kłodzko,7700,9.3,9.2
32,Świeradów-Zdrój,4904,8.0,9.1
33,Karpacz,11271,8.8,8.9
34,Dzierżoniów,3360,7.8,8.7
35,Dzierżoniów,2363,8.9,8.2
36,"Stare Miasto, Wrocław",2831,7.3,8.7
37,Srebrna Góra,5835,8.8,8.7
38,Karpacz,6413,8.6,9.2
39,"Stare Miasto, Wrocław",3387,8.2,9.2
40,Legnica,5815,8.6,8.2
41,"Krzyki, Wrocław",2760,7.4,9.4
42,Szklarska Poręba,3540,8.6,8.9
43,Lądek-Zdrój,3543,9.2,8.4
44,Milicz,4246,9.0,9.0
45,Złoty Potok,4234,8.6,8.0
46,Legnica,2385,9.1,8.4
47,"Krzyki, Wrocław",3497,8.7,9.1
48,Karpacz,7076,8.4,9.5
49,Sosnówka,11300,8.6,9.0
50,Marcinowice,3780,8.2,9.3
