,City,Cost,Rating,Comfort
0,Sienna,5588,8.6,8.8
1,"Śródmieście, Wrocław",2961,8.4,8.5
2,Szklarska Poręba,2813,7.5,8.4
3,Mysłakowice,5040,8.5,8.7
4,Szklarska Poręba,2711,8.9,8.2
5,Szklarska Poręba,3088,8.3,9.1
6,Mysłakowice,3455,9.0,8.7
7,Stronie Śląskie,12846,8.3,9.5
8,"Zieleniec, Duszniki-Zdrój",4963,9.3,9.1
9,Stare Bogaczowice,2456,9.1,9.2
10,Świeradów-Zdrój,8321,8.7,8.9
11,Szklarska Poręba,5846,8.8,8.8
12,Polanica-Zdrój,5959,8.8,9.5
13,Szklarska Poręba,4710,9.0,8.4
14,Kudowa-Zdrój,5278,8.4,9.8
15,Głuszyca Górna,2826,9.7,8.5
16,Bielany Wrocławskie,4020,8.5,8.2
17,"Fabryczna, Wrocław",4116,8.0,9.0
18,Świeradów-Zdrój,6646,8.7,9.3
19,Bolesławiec,2870,9.1,9.1
20,Karpacz,9726,8.8,8.8
21,Polanica-Zdrój,8386,8.7,8.3
22,Świeradów-Zdrój,5604,8.0,8.4
23,Legnica,6160,8.1,8.1
24,"Śródmieście, Wrocław",3750,8.4,8.0
25,Jelenia Góra,4060,8.0,9.5
26,Wojanów,7132,8.2,8.0
27,Sienna,3426,9.4,9.0
28,Szklarska Poręba,1407,8.3,9.2
29,Podgórzyn,5540,8.9,8.1
30,Karpacz,9293,8.8,9.3
31,Stronie Śląskie,10874,7.8,9.5
32,"Stare Miasto, Wrocław",2831,7.3,8.2
33,"Krzyki, Wrocław",10114,9.0,8.9
34,Szczytna,2484,9.5,9.0
35,"Krzyki, Wrocław",2760,7.4,8.7
36,"Stare Miasto, Wrocław",3818,8.2,8.7
37,Srebrna Góra,5094,8.8,8.0
38,Dzierżoniów,2363,8.9,9.2
39,Szklarska Poręba,3540,8.6,8.1
40,Karpacz,6496,8.6,8.7
41,Marcinowice,3780,8.3,8.4
42,Dzierżoniów,3640,7.8,8.9
43,Siechnice,2190,6.5,8.2
44,Kłodzko,7980,9.3,8.7
45,"Stare Miasto, Wrocław",4521,7.9,8.9
46,Legnica,5735,8.6,8.4
47,"Stare Miasto, Wrocław",6882,8.2,8.2
48,"Krzyki, Wrocław",4332,8.7,8.9
49,Złoty Potok,4277,8.6,9.3
50,Legnica,5735,8.6,8.5
51,"Krzyki, Wrocław",4332,8.7,8.4
52,"Stare Miasto, Wrocław",6882,8.2,9.2
53,Złoty Potok,4234,8.6,9.5
54,Dzierżoniów,1990,8.8,8.9
55,Gądkowice,2520,7.3,9.2
56,Legnica,2385,9.1,8.6
57,Oława,3664,8.4,9.0
58,Karpacz,7076,8.5,9.8
59,"Krzyki, Wrocław",7723,8.9,9.0
60,Polanica-Zdrój,3050,9.5,9.1
61,Karpacz,5653,8.8,9.3
62,Szczawno-Zdrój,5681,9.2,9.0
63,Wałbrzych,1835,8.4,9.2
64,Szklarska Poręba,5973,8.3,8.9
65,Jelenia Góra,4508,9.9,9.7
66,Sienna,2703,8.9,8.3
67,Duszniki-Zdrój,8372,9.0,8.2
68,Szklarska Poręba,8918,8.8,9.0
69,Sosnówka,10240,8.6,9.2
70,"Krzyki, Wrocław",8100,9.0,8.6
71,"Krzyki, Wrocław",5496,8.8,8.5
72,"Stare Miasto, Wrocław",7662,9.5,9.2
73,Jugów,2834,8.2,9.4
74,Kłodzko,5012,8.0,9.3
75,Kłodzko,5068,8.0,8.6
76,"Krzyki, Wrocław",3796,8.3,9.3
77,Trzebieszowice,6744,8.1,8.8
78,Sienna,4618,8.5,8.9
