,City,Cost,Rating,Comfort
0,Bielsko-Biała,355,8.0,10.0
1,Bielsko-Biała,1357,10.0,9.0
2,Bielsko-Biała,2006,9.0,8.3
3,Bielsko-Biała,1680,8.4,8.4
4,Bielsko-Biała,840,8.2,9.1
5,Bielsko-Biała,1260,7.7,9.4
6,Bielsko-Biała,970,6.9,9.6
7,Bielsko-Biała,910,9.1,8.9
8,Bielsko-Biała,1391,9.3,8.2
9,Bielsko-Biała,1003,9.4,8.7
10,Bielsko-Biała,700,9.1,9.0
11,Bielsko-Biała,1120,8.3,9.4
12,Bielsko-Biała,2016,8.4,8.8
13,Bielsko-Biała,1596,8.8,9.2
14,Bielsko-Biała,1253,9.3,9.4
15,Bielsko-Biała,1870,10.0,8.5
16,Bielsko-Biała,1500,9.1,9.5
17,Bielsko-Biała,1020,9.5,9.7
18,Bielsko-Biała,1113,8.6,10.0
19,Bielsko-Biała,910,7.6,8.8
20,Bielsko-Biała,980,9.4,9.1
21,Bielsko-Biała,1881,9.5,9.7
22,Bielsko-Biała,1686,9.9,10.0
23,Bielsko-Biała,2233,8.6,9.3
24,Bielsko-Biała,1435,9.2,9.4
25,Bielsko-Biała,1677,9.6,8.9
26,Bielsko-Biała,2029,9.8,9.2
27,Bielsko-Biała,1597,9.3,8.7
28,Bielsko-Biała,700,9.4,9.5
29,Bielsko-Biała,1120,8.6,9.5
30,Bielsko-Biała,2094,9.2,9.3
31,Bielsko-Biała,1493,8.9,9.8
32,Bielsko-Biała,1959,9.4,10.0
33,Bielsko-Biała,1295,9.4,8.7
34,Bielsko-Biała,1680,9.2,9.8
35,Bielsko-Biała,11362,9.8,9.5
36,Bielsko-Biała,15622,10.0,9.6
37,Bielsko-Biała,1932,8.3,9.5
38,Bielsko-Biała,1876,9.9,9.5
39,Bielsko-Biała,3462,9.3,10.0
40,Bielsko-Biała,1720,9.5,9.3
41,Bielsko-Biała,1674,9.4,9.0
42,Bielsko-Biała,2383,9.3,8.8
43,Bielsko-Biała,1882,10.0,9.5
44,Bielsko-Biała,1548,9.4,9.1
45,Bielsko-Biała,1120,9.0,8.8
46,Bielsko-Biała,1380,8.5,8.0
47,Bielsko-Biała,2090,9.5,9.4
48,Bielsko-Biała,2083,8.9,8.3
49,Bielsko-Biała,2887,8.8,8.8
50,Bielsko-Biała,1449,7.9,9.5
51,Bielsko-Biała,1190,9.9,8.5
52,Bielsko-Biała,1512,8.2,8.6
53,Bielsko-Biała,980,8.5,9.1
54,Bielsko-Biała,1116,9.4,8.4
55,Bielsko-Biała,1253,8.3,9.2
56,Bielsko-Biała,1260,8.4,8.7
57,Bielsko-Biała,1575,9.2,9.6
58,Bielsko-Biała,1819,8.0,8.2
59,Bielsko-Biała,1890,9.7,9.0
60,Bielsko-Biała,1904,8.6,9.2
61,Bielsko-Biała,1820,9.3,8.9
62,Bielsko-Biała,1553,8.2,9.3
63,Bielsko-Biała,1113,8.7,9.9
64,Bielsko-Biała,2240,9.2,8.9
65,Bielsko-Biała,1309,8.9,8.7
66,Bielsko-Biała,1645,9.1,9.4
67,Bielsko-Biała,1596,9.7,10.0
68,Bielsko-Biała,1960,8.8,8.1
69,Bielsko-Biała,1463,8.5,9.6
70,Bielsko-Biała,1050,9.6,9.6
71,Bielsko-Biała,1669,10.0,10.0
72,Bielsko-Biała,1791,8.7,9.8
73,Bielsko-Biała,1849,9.5,9.1
74,Bielsko-Biała,3478,9.7,9.4
75,Bielsko-Biała,3270,9.9,9.6
76,Bielsko-Biała,2900,9.8,9.8
77,Bielsko-Biała,2100,9.0,8.7
78,Bielsko-Biała,1642,9.4,8.8
79,Bielsko-Biała,2753,9.6,8.8
80,Bielsko-Biała,2005,7.5,9.6
81,Bielsko-Biała,1841,9.9,9.5
82,Bielsko-Biała,2142,8.6,9.4
83,Bielsko-Biała,1470,8.7,10.0
84,Bielsko-Biała,1372,8.8,9.9
85,Bielsko-Biała,1710,9.6,9.6
86,Bielsko-Biała,1533,9.4,9.5
87,Bielsko-Biała,1208,9.4,9.7
88,Bielsko-Biała,1065,7.0,9.3
89,Bielsko-Biała,2493,9.5,10.0
90,Bielsko-Biała,1904,9.8,8.1
91,Bielsko-Biała,1960,9.6,9.2
92,Bielsko-Biała,1440,9.5,10.0
93,Bielsko-Biała,1750,9.5,9.4
94,Bielsko-Biała,1449,9.4,9.2
95,Bielsko-Biała,1217,10.0,8.8
96,Bielsko-Biała,4899,8.2,10.0
97,Bielsko-Biała,2660,9.3,9.8
98,Bielsko-Biała,2260,10.0,10.0
99,Bielsko-Biała,2670,9.3,8.7
100,Bielsko-Biała,3169,9.0,9.7
101,Bielsko-Biała,2380,9.4,9.6
102,Bielsko-Biała,2800,9.0,9.7
103,Bielsko-Biała,1767,9.8,10.0
104,Bielsko-Biała,1210,9.5,9.4
105,Bielsko-Biała,2061,9.4,9.5
106,Bielsko-Biała,2170,8.7,9.2
107,Bielsko-Biała,2380,9.1,9.7
108,Bielsko-Biała,2321,9.6,10.0
109,Bielsko-Biała,2486,9.8,9.0
110,Bielsko-Biała,2688,9.9,9.9
111,Bielsko-Biała,1932,9.2,9.8
112,Bielsko-Biała,2261,9.6,9.8
113,Bielsko-Biała,2261,9.2,9.3
114,Bielsko-Biała,1904,9.7,10.0
115,Bielsko-Biała,2161,9.8,8.9
116,Bielsko-Biała,5365,9.2,10.0
117,Bielsko-Biała,2590,9.9,9.9
118,Bielsko-Biała,1676,9.7,9.8
119,Bielsko-Biała,1725,9.7,9.1
120,Bielsko-Biała,2176,9.2,9.9
121,Bielsko-Biała,2176,9.8,9.5
122,Bielsko-Biała,2800,8.5,9.3
123,Bielsko-Biała,2030,10.0,9.9
124,Bielsko-Biała,3060,9.9,9.4
125,Bielsko-Biała,4505,9.8,9.3
126,Bielsko-Biała,1904,8.5,9.7
127,Bielsko-Biała,1814,9.9,8.8
128,Bielsko-Biała,1680,7.2,9.8
129,Bielsko-Biała,2394,9.4,9.6
130,Bielsko-Biała,1050,9.0,9.5
131,Bielsko-Biała,1680,9.9,8.7
132,Bielsko-Biała,1607,9.2,9.4
133,Bielsko-Biała,2783,9.3,9.7
134,Bielsko-Biała,2039,9.9,9.7
135,Bielsko-Biała,2800,8.3,9.9
136,Bielsko-Biała,2945,9.8,9.6
137,Bielsko-Biała,2200,9.7,9.4
138,Bielsko-Biała,3150,9.5,8.8
139,Bielsko-Biała,2030,8.6,9.3
140,Bielsko-Biała,1950,8.8,9.5
141,Bielsko-Biała,2835,9.6,9.1
142,Bielsko-Biała,1400,9.5,9.8
143,Bielsko-Biała,1693,9.9,9.8
144,Bielsko-Biała,1488,9.4,9.9
145,Bielsko-Biała,2210,9.6,9.4
146,Bielsko-Biała,1771,9.0,9.0
147,Bielsko-Biała,1488,8.9,8.2
