,City,Cost,Rating,Comfort
0,Bukowina Tatrzańska,1141,9.7,9.7
1,Bukowina Tatrzańska,787,8.4,8.2
2,Bukowina Tatrzańska,1382,8.5,8.6
3,Bukowina Tatrzańska,560,9.4,9.3
4,Bukowina Tatrzańska,672,9.6,9.6
5,Bukowina Tatrzańska,1025,10.0,10.0
6,Bukowina Tatrzańska,841,8.8,8.6
7,Bukowina Tatrzańska,1114,9.4,9.5
8,Bukowina Tatrzańska,1133,9.7,9.8
9,Bukowina Tatrzańska,1294,9.4,9.4
10,Bukowina Tatrzańska,630,9.4,9.3
11,Bukowina Tatrzańska,840,9.7,9.7
12,Bukowina Tatrzańska,812,9.1,9.2
13,Bukowina Tatrzańska,2176,9.6,9.6
14,Bukowina Tatrzańska,924,9.0,8.8
15,Bukowina Tatrzańska,588,9.4,9.3
16,Bukowina Tatrzańska,1007,9.1,9.1
17,Bukowina Tatrzańska,1690,9.7,9.5
18,Bukowina Tatrzańska,2157,9.6,9.4
19,Bukowina Tatrzańska,892,9.5,9.6
20,Bukowina Tatrzańska,1113,8.5,8.3
21,Bukowina Tatrzańska,744,8.9,8.8
22,Bukowina Tatrzańska,763,9.6,9.7
23,Bukowina Tatrzańska,2079,9.0,9.1
24,Bukowina Tatrzańska,1330,9.7,9.7
25,Bukowina Tatrzańska,2779,9.7,9.8
26,Bukowina Tatrzańska,1141,9.1,9.2
27,Bukowina Tatrzańska,1120,8.9,8.5
28,Bukowina Tatrzańska,1092,9.1,9.0
29,Bukowina Tatrzańska,546,9.6,9.7
30,Bukowina Tatrzańska,565,9.3,9.3
31,Bukowina Tatrzańska,2730,9.7,9.5
32,Bukowina Tatrzańska,623,9.9,10.0
33,Bukowina Tatrzańska,1656,8.6,8.5
34,Bukowina Tatrzańska,2898,9.5,9.3
35,Bukowina Tatrzańska,1718,9.6,9.3
36,Bukowina Tatrzańska,2145,9.7,9.7
37,Bukowina Tatrzańska,2132,9.2,9.1
38,Bukowina Tatrzańska,1610,9.4,9.7
39,Bukowina Tatrzańska,2112,9.4,9.7
40,Bukowina Tatrzańska,1380,9.6,9.4
41,Bukowina Tatrzańska,1397,8.5,8.6
42,Bukowina Tatrzańska,1750,9.1,9.0
43,Bukowina Tatrzańska,2260,9.2,9.0
44,Bukowina Tatrzańska,1078,9.3,9.3
45,Bukowina Tatrzańska,1540,8.4,8.4
46,Bukowina Tatrzańska,945,9.2,9.1
47,Bukowina Tatrzańska,728,9.8,9.8
48,Bukowina Tatrzańska,2093,9.8,9.7
49,Bukowina Tatrzańska,706,8.5,8.3
50,Bukowina Tatrzańska,1288,9.8,9.8
51,Bukowina Tatrzańska,1330,9.8,9.8
52,Bukowina Tatrzańska,1785,8.6,8.2
53,Bukowina Tatrzańska,5798,7.4,8.7
54,Bukowina Tatrzańska,863,9.1,9.0
55,Bukowina Tatrzańska,1520,9.2,9.7
56,Bukowina Tatrzańska,1166,9.8,9.8
57,Bukowina Tatrzańska,1155,9.6,9.4
58,Bukowina Tatrzańska,1075,9.5,9.3
59,Bukowina Tatrzańska,3659,9.4,9.6
60,Bukowina Tatrzańska,1095,9.3,8.3
61,Bukowina Tatrzańska,1953,8.8,9.2
