,City,Cost,Rating,Comfort
0,Jelenia Góra,1704,9.7,9.6
1,Jelenia Góra,1365,8.0,8.1
2,Jelenia Góra,1400,8.1,8.3
3,Jelenia Góra,560,8.0,9.1
4,"Cieplice, Jelenia Góra",1890,9.1,9.6
5,Jelenia Góra,1558,9.5,8.7
6,"Cieplice, Jelenia Góra",1370,8.8,8.6
7,Jelenia Góra,2072,8.7,10.0
8,"Cieplice, Jelenia Góra",1928,10.0,9.5
9,"Cieplice, Jelenia Góra",1673,9.4,9.8
10,"Cieplice, Jelenia Góra",1459,5.6,8.9
11,Jelenia Góra,1332,8.0,9.4
12,Jelenia Góra,630,9.9,9.6
13,"Cieplice, Jelenia Góra",1017,9.0,10.0
14,Jelenia Góra,1932,9.2,10.0
15,Jelenia Góra,1458,9.5,9.3
16,Jelenia Góra,980,10.0,9.6
17,"Cieplice, Jelenia Góra",1268,10.0,10.0
18,"Cieplice, Jelenia Góra",1960,7.5,8.3
19,Jelenia Góra,1809,9.3,9.7
20,Jelenia Góra,1225,9.5,9.9
21,Jelenia Góra,1095,10.0,9.8
22,Jelenia Góra,1252,8.3,9.3
23,Jelenia Góra,1809,9.5,9.1
24,"Cieplice, Jelenia Góra",1705,9.7,10.0
25,Jelenia Góra,1276,9.7,8.4
26,"Cieplice, Jelenia Góra",1130,9.2,9.1
27,Jelenia Góra,1736,9.3,9.1
28,Jelenia Góra,1568,10.0,9.4
29,"Cieplice, Jelenia Góra",970,8.6,9.0
30,Jelenia Góra,2170,8.9,9.1
31,Jelenia Góra,560,9.2,8.6
32,Jelenia Góra,1473,9.4,8.2
33,Jelenia Góra,1120,9.0,9.4
34,Jelenia Góra,1589,7.5,9.3
35,Jelenia Góra,490,9.0,10.0
36,Jelenia Góra,1050,8.8,9.0
37,"Cieplice, Jelenia Góra",1230,8.5,8.7
38,Jelenia Góra,1380,9.5,9.7
39,"Cieplice, Jelenia Góra",938,9.2,9.2
40,"Cieplice, Jelenia Góra",1085,9.8,9.1
41,Jelenia Góra,1473,8.9,9.6
42,Jelenia Góra,1120,8.7,8.9
43,Jelenia Góra,1400,9.6,9.7
44,"Cieplice, Jelenia Góra",970,9.3,9.3
45,"Cieplice, Jelenia Góra",1718,9.1,8.9
46,Jelenia Góra,1393,9.3,10.0
47,Jelenia Góra,1360,8.9,10.0
48,Jelenia Góra,2219,9.4,9.0
49,Jelenia Góra,1617,9.3,10.0
50,"Cieplice, Jelenia Góra",1008,9.8,8.9
51,"Cieplice, Jelenia Góra",2028,10.0,9.5
52,Jelenia Góra,1588,9.7,9.7
53,Jelenia Góra,1675,9.8,10.0
54,"Cieplice, Jelenia Góra",3381,10.0,9.8
55,Jelenia Góra,3211,8.9,9.4
56,"Cieplice, Jelenia Góra",2078,9.3,9.6
57,Jelenia Góra,2447,9.5,9.2
58,Jelenia Góra,2047,10.0,8.9
59,"Cieplice, Jelenia Góra",2383,9.7,9.1
60,Jelenia Góra,2313,9.4,9.0
61,"Cieplice, Jelenia Góra",2576,9.5,9.5
62,Jelenia Góra,2576,9.3,9.6
63,Jelenia Góra,1976,8.8,9.5
64,"Cieplice, Jelenia Góra",1868,9.0,9.2
65,Jelenia Góra,2383,8.9,9.3
66,Jelenia Góra,1927,9.5,9.2
67,Jelenia Góra,1938,9.6,9.5
68,Jelenia Góra,3613,9.5,9.4
69,Jelenia Góra,1120,9.2,9.7
70,Jelenia Góra,1225,9.3,9.4
71,Jelenia Góra,1549,9.0,9.6
72,Jelenia Góra,1120,9.4,9.5
73,Jelenia Góra,764,9.4,9.8
74,Jelenia Góra,1128,9.5,9.5
75,Jelenia Góra,1960,9.4,9.5
76,Jelenia Góra,1288,9.4,9.6
77,"Cieplice, Jelenia Góra",1210,9.4,10.0
78,Jelenia Góra,1253,6.7,9.7
79,Jelenia Góra,1890,9.6,8.3
80,Jelenia Góra,1742,9.5,8.5
81,"Cieplice, Jelenia Góra",2390,9.5,9.4
82,Jelenia Góra,2016,9.4,9.6
83,Jelenia Góra,1820,8.0,8.8
84,Jelenia Góra,2679,9.6,9.7
85,Jelenia Góra,1935,8.8,8.9
86,"Cieplice, Jelenia Góra",1191,8.6,9.4
87,Jelenia Góra,2329,9.2,9.2
88,"Cieplice, Jelenia Góra",1481,9.7,9.5
89,Jelenia Góra,2058,8.9,8.9
90,Jelenia Góra,2597,9.2,9.2
91,Jelenia Góra,1533,8.5,10.0
92,Jelenia Góra,2100,9.3,9.2
93,"Cieplice, Jelenia Góra",1533,6.8,8.2
94,"Cieplice, Jelenia Góra",1666,9.0,9.3
95,Jelenia Góra,1851,9.5,9.6
96,Jelenia Góra,1450,9.1,9.4
97,"Cieplice, Jelenia Góra",994,9.3,9.4
98,Jelenia Góra,4095,10.0,9.5
99,Jelenia Góra,1827,9.1,9.8
100,Jelenia Góra,1750,8.0,9.4
101,"Cieplice, Jelenia Góra",1750,8.6,9.3
102,Jelenia Góra,1624,9.6,9.5
103,Jelenia Góra,1428,9.5,9.2
104,"Cieplice, Jelenia Góra",773,9.5,9.2
105,Jelenia Góra,1555,9.4,10.0
106,"Cieplice, Jelenia Góra",1780,9.4,9.2
107,Jelenia Góra,3060,9.7,9.5
108,Jelenia Góra,2153,9.5,9.7
109,Jelenia Góra,2828,9.4,8.4
110,Jelenia Góra,2354,9.6,9.7
111,"Cieplice, Jelenia Góra",2404,9.3,9.5
112,"Cieplice, Jelenia Góra",3449,9.4,9.9
113,Jelenia Góra,1309,10.0,9.5
114,Jelenia Góra,1750,9.5,9.7
115,"Cieplice, Jelenia Góra",1693,9.3,9.1
116,Jelenia Góra,2095,9.7,9.6
117,Jelenia Góra,1827,8.6,10.0
118,Jelenia Góra,1470,9.7,9.6
119,Jelenia Góra,1865,9.3,10.0
120,"Cieplice, Jelenia Góra",2410,9.8,8.9
121,"Cieplice, Jelenia Góra",2125,9.4,10.0
122,Jelenia Góra,1575,9.6,10.0
123,"Cieplice, Jelenia Góra",1607,8.9,9.4
124,Jelenia Góra,2185,9.8,10.0
125,"Cieplice, Jelenia Góra",1478,9.8,10.0
126,"Cieplice, Jelenia Góra",1574,9.5,10.0
127,Jelenia Góra,1692,10.0,10.0
128,Jelenia Góra,1863,9.6,10.0
129,Jelenia Góra,1744,9.0,8.9
130,Jelenia Góra,1720,10.0,8.8
131,Jelenia Góra,1467,10.0,9.2
132,"Cieplice, Jelenia Góra",1638,9.0,10.0
133,Jelenia Góra,700,9.0,9.6
134,Jelenia Góra,1413,9.9,10.0
135,Jelenia Góra,2380,9.5,8.9
136,Jelenia Góra,4463,9.0,9.2
137,Jelenia Góra,1770,9.0,9.3
138,"Cieplice, Jelenia Góra",1547,8.9,9.3
139,Jelenia Góra,3024,9.5,10.0
140,Jelenia Góra,1499,10.0,9.4
141,"Cieplice, Jelenia Góra",2308,9.9,10.0
142,"Cieplice, Jelenia Góra",3029,7.0,9.5
143,Jelenia Góra,1658,9.8,9.5
144,Jelenia Góra,2693,9.3,10.0
145,Jelenia Góra,1743,9.4,9.7
146,Jelenia Góra,1656,9.7,9.9
147,Jelenia Góra,3570,9.7,10.0
148,Jelenia Góra,1568,9.3,9.7
149,Jelenia Góra,1575,9.9,8.2
150,Jelenia Góra,1618,9.6,9.7
151,"Cieplice, Jelenia Góra",1562,10.0,9.1
152,Jelenia Góra,3150,9.2,10.0
153,Jelenia Góra,1177,10.0,9.6
154,Jelenia Góra,2678,9.6,10.0
155,"Cieplice, Jelenia Góra",5670,9.6,9.7
156,Jelenia Góra,1890,9.8,9.7
157,Jelenia Góra,2841,10.0,10.0
158,Jelenia Góra,2722,9.5,9.6
159,Jelenia Góra,3234,8.5,9.7
160,Jelenia Góra,2753,9.7,9.6
161,Jelenia Góra,2205,9.3,9.2
162,Jelenia Góra,1814,9.2,9.8
163,Jelenia Góra,2310,9.5,9.2
164,Jelenia Góra,2380,9.8,9.6
165,"Cieplice, Jelenia Góra",1254,9.7,9.3
166,Jelenia Góra,1798,9.9,9.6
167,"Cieplice, Jelenia Góra",2189,10.0,9.3
168,Jelenia Góra,2379,9.3,8.5
169,Jelenia Góra,2120,7.9,9.3
170,Jelenia Góra,2520,9.8,9.8
171,"Cieplice, Jelenia Góra",3094,9.6,9.6
172,Jelenia Góra,1895,9.3,8.9
173,"Cieplice, Jelenia Góra",2231,9.8,8.3
174,"Cieplice, Jelenia Góra",59500,8.6,9.4
175,Jelenia Góra,1960,9.4,8.6
176,"Cieplice, Jelenia Góra",1166,9.5,9.4
177,"Cieplice, Jelenia Góra",2112,9.3,9.9
178,Jelenia Góra,1122,9.4,9.9
179,Jelenia Góra,2599,7.8,9.3
180,Jelenia Góra,2211,9.2,9.7
181,"Cieplice, Jelenia Góra",1705,9.7,9.3
182,"Cieplice, Jelenia Góra",2520,9.7,9.8
183,Jelenia Góra,2450,8.7,8.5
184,Jelenia Góra,2072,8.6,9.1
185,"Cieplice, Jelenia Góra",3920,9.2,9.1
186,"Cieplice, Jelenia Góra",1731,8.8,9.8
187,"Cieplice, Jelenia Góra",1890,9.4,9.9
188,"Cieplice, Jelenia Góra",2240,9.9,9.7
189,Jelenia Góra,2310,9.7,9.6
190,"Cieplice, Jelenia Góra",2142,9.1,9.5
191,"Cieplice, Jelenia Góra",1963,9.6,8.1
192,Jelenia Góra,2299,9.2,9.5
193,"Cieplice, Jelenia Góra",2062,9.8,9.7
194,Jelenia Góra,2176,8.7,8.8
195,Jelenia Góra,2234,8.7,9.7
196,Jelenia Góra,4900,9.0,9.6
197,Jelenia Góra,2205,9.5,8.4
198,Jelenia Góra,2340,9.7,9.2
199,Jelenia Góra,2861,9.7,9.7
200,Jelenia Góra,2693,9.5,8.5
201,Jelenia Góra,1260,9.5,10.0
202,"Cieplice, Jelenia Góra",1463,8.1,9.5
203,"Cieplice, Jelenia Góra",1575,9.3,9.2
204,Jelenia Góra,2205,9.6,10.0
205,Jelenia Góra,1796,9.0,8.8
206,Jelenia Góra,2100,9.9,10.0
207,Jelenia Góra,1953,9.4,9.5
208,"Cieplice, Jelenia Góra",2624,8.6,9.2
209,Jelenia Góra,2641,9.0,9.7
210,"Cieplice, Jelenia Góra",2672,9.6,10.0
211,Jelenia Góra,2072,8.8,8.8
212,Jelenia Góra,1832,10.0,9.5
213,"Cieplice, Jelenia Góra",2225,9.6,9.8
214,Jelenia Góra,1964,8.2,10.0
215,Jelenia Góra,1260,10.0,9.8
216,Jelenia Góra,2181,9.0,8.3
217,"Cieplice, Jelenia Góra",2060,10.0,9.4
218,Jelenia Góra,3524,9.4,9.7
219,Jelenia Góra,2339,8.8,9.8
220,Jelenia Góra,1632,9.6,10.0
221,Jelenia Góra,2689,10.0,9.8
222,"Cieplice, Jelenia Góra",1764,9.5,9.5
223,Jelenia Góra,5239,9.8,9.7
224,Jelenia Góra,2519,9.4,9.6
225,"Cieplice, Jelenia Góra",1926,9.0,10.0
226,Jelenia Góra,2459,9.7,9.7
227,Jelenia Góra,1750,8.8,9.6
228,Jelenia Góra,2988,8.8,9.6
229,"Cieplice, Jelenia Góra",3465,9.7,9.9
230,"Cieplice, Jelenia Góra",5199,9.7,9.6
231,Jelenia Góra,2589,9.2,9.7
232,Jelenia Góra,2240,10.0,9.3
233,Jelenia Góra,2992,9.6,9.3
234,Jelenia Góra,1680,9.2,9.7
235,Jelenia Góra,3150,9.4,9.2
236,"Cieplice, Jelenia Góra",2079,10.0,9.1
237,"Cieplice, Jelenia Góra",4262,9.5,9.2
238,"Cieplice, Jelenia Góra",2205,9.2,9.1
239,"Cieplice, Jelenia Góra",2489,9.2,9.8
240,Jelenia Góra,3049,9.5,9.5
241,Jelenia Góra,2142,9.6,8.8
242,Jelenia Góra,1680,9.6,9.2
243,Jelenia Góra,3049,9.4,9.8
244,Jelenia Góra,2679,9.2,9.2
245,Jelenia Góra,3658,9.8,8.7
246,Jelenia Góra,3442,9.4,8.3
247,Jelenia Góra,2451,9.4,9.6
248,Jelenia Góra,1960,9.2,9.0
249,Jelenia Góra,2659,9.1,8.1
