,City,Cost,Rating,Comfort
0,Karpacz,2331,9.2,9.2
1,Karpacz,1330,9.2,9.2
2,Karpacz,1407,8.7,8.6
3,Karpacz,517,8.8,8.5
4,Karpacz,1001,9.2,9.2
5,Karpacz,545,9.6,9.5
6,Karpacz,1831,8.5,8.6
7,Karpacz,790,8.7,8.5
8,Karpacz,1770,7.9,8.4
9,Karpacz,860,8.7,9.2
10,Karpacz,4791,8.8,9.1
11,Karpacz,1000,9.3,9.1
12,Karpacz,5286,8.8,8.0
13,Karpacz,1666,8.3,8.5
14,Karpacz,2463,8.5,8.6
15,Karpacz,981,8.5,8.1
16,Karpacz,1110,8.2,8.4
17,Karpacz,1418,7.3,8.3
18,Karpacz,2307,8.5,8.2
19,Karpacz,853,8.6,9.2
20,Karpacz,718,8.6,9.3
21,Karpacz,667,8.2,8.2
22,Karpacz,1555,9.3,8.8
23,Karpacz,2940,9.1,9.5
24,Karpacz,1070,8.6,8.6
25,Karpacz,979,9.0,8.7
26,Karpacz,1339,7.9,8.9
27,Karpacz,1770,9.6,10.0
28,Karpacz,3040,8.5,9.4
29,Karpacz,1875,8.8,8.0
30,Karpacz,3943,8.8,8.1
31,Karpacz,2112,8.0,8.5
32,Karpacz,1400,7.6,9.1
33,Karpacz,1416,7.7,9.0
34,Karpacz,2132,9.7,8.4
35,Karpacz,1760,9.5,8.7
36,Karpacz,1640,8.1,8.4
37,Karpacz,2263,8.3,9.2
38,Karpacz,1843,8.7,8.5
39,Karpacz,930,9.4,8.1
40,Karpacz,2612,8.9,9.3
41,Karpacz,996,8.8,8.8
42,Karpacz,1431,9.0,9.5
43,Karpacz,9222,8.8,8.6
44,Karpacz,1380,9.3,8.7
45,Karpacz,1138,8.7,8.9
46,Karpacz,1652,8.2,8.8
47,Karpacz,1404,7.1,8.6
48,Karpacz,1347,9.1,8.5
49,Karpacz,1556,9.1,8.6
50,Karpacz,2680,9.5,9.1
51,Karpacz,1150,8.9,9.4
52,Karpacz,3716,8.6,8.6
53,Karpacz,1992,8.8,9.6
54,Karpacz,1680,8.9,9.2
55,Karpacz,1416,6.8,9.6
56,Karpacz,1080,8.8,9.5
57,Karpacz,1501,8.8,8.4
58,Karpacz,1210,8.8,9.5
59,Karpacz,1000,7.8,8.2
60,Karpacz,2913,8.7,9.3
61,Karpacz,1320,9.4,9.1
62,Karpacz,2330,8.8,8.9
63,Karpacz,2466,9.5,9.4
64,Karpacz,2327,9.3,8.3
65,Karpacz,2536,9.6,9.7
66,Karpacz,2286,9.6,8.7
67,Karpacz,1213,8.5,8.3
68,Karpacz,1686,7.3,9.0
69,Karpacz,1343,9.5,8.9
70,Karpacz,2050,8.4,9.2
71,Karpacz,1531,9.2,9.2
72,Karpacz,1989,9.3,8.7
73,Karpacz,2587,9.0,9.4
74,Karpacz,1023,9.4,9.0
75,Karpacz,2494,7.8,8.6
76,Karpacz,1686,9.6,8.5
77,Karpacz,1626,8.5,8.8
78,Karpacz,1206,8.7,9.0
79,Karpacz,1070,8.9,9.8
80,Karpacz,3496,8.8,9.8
81,Karpacz,3469,9.2,9.8
82,Karpacz,1252,9.7,9.7
83,Karpacz,2256,8.7,9.3
84,Karpacz,2262,9.4,9.5
85,Karpacz,1767,8.8,9.2
86,Karpacz,2930,7.5,9.8
87,Karpacz,1923,8.9,9.8
88,Karpacz,2556,8.3,8.8
89,Karpacz,1640,8.8,9.8
90,Karpacz,2304,9.0,9.6
91,Karpacz,1418,9.2,8.2
92,Karpacz,2743,9.8,9.6
93,Karpacz,2816,9.6,9.0
94,Karpacz,2816,9.6,8.5
95,Karpacz,2816,9.4,9.5
96,Karpacz,3462,9.2,9.1
97,Karpacz,2723,9.2,9.2
98,Karpacz,2932,9.6,9.3
99,Karpacz,2646,9.6,9.0
100,Karpacz,2646,8.2,8.9
101,Karpacz,4391,9.8,9.4
102,Karpacz,4672,9.4,9.5
103,Karpacz,3401,8.6,8.6
104,Karpacz,3568,9.5,9.0
105,Karpacz,3385,9.2,8.8
106,Karpacz,1770,8.9,8.8
107,Karpacz,3166,9.5,8.8
108,Karpacz,2600,9.0,9.1
109,Karpacz,3378,9.2,9.1
110,Karpacz,2820,9.2,8.7
111,Karpacz,3188,9.0,8.4
112,Karpacz,2559,9.1,9.6
113,Karpacz,1666,9.3,9.1
114,Karpacz,3168,9.6,9.2
115,Karpacz,6320,8.7,8.7
116,Karpacz,2465,8.9,9.5
117,Karpacz,3219,8.8,9.2
118,Karpacz,2235,8.9,9.7
119,Karpacz,2715,8.7,10.0
120,Karpacz,4347,9.0,9.2
121,Karpacz,1554,9.1,9.0
122,Karpacz,2646,8.6,8.1
123,Karpacz,3108,8.7,8.5
124,Karpacz,1277,9.3,8.9
125,Karpacz,1696,9.3,9.3
126,Karpacz,1486,9.2,9.9
127,Karpacz,1346,8.8,9.0
128,Karpacz,1976,9.3,8.2
129,Karpacz,1260,9.2,8.8
130,Karpacz,1280,9.9,9.6
131,Karpacz,3166,8.4,8.9
132,Karpacz,1766,10.0,9.0
133,Karpacz,2545,9.3,8.4
134,Karpacz,2046,7.8,8.7
135,Karpacz,2314,8.9,8.8
136,Karpacz,2583,8.6,9.5
137,Karpacz,1301,8.7,9.5
138,Karpacz,2747,9.0,8.0
139,Karpacz,2190,9.1,9.2
140,Karpacz,1930,7.0,9.6
141,Karpacz,1402,9.8,8.7
142,Karpacz,1766,9.1,9.7
143,Karpacz,1381,8.3,8.7
144,Karpacz,2747,9.2,9.0
145,Karpacz,2973,9.6,9.4
146,Karpacz,1682,8.7,9.8
147,Karpacz,2713,8.6,8.5
148,Karpacz,2243,8.5,9.0
149,Karpacz,2539,8.7,10.0
150,Karpacz,2307,9.6,8.2
151,Karpacz,2258,9.5,9.2
152,Karpacz,1567,9.5,9.3
153,Karpacz,1666,8.1,9.6
154,Karpacz,1577,9.3,9.4
155,Karpacz,2035,9.7,9.2
156,Karpacz,1283,8.7,8.6
157,Karpacz,1722,9.8,10.0
158,Karpacz,1841,8.6,9.1
159,Karpacz,2849,9.1,9.0
160,Karpacz,2483,8.1,8.7
161,Karpacz,2362,7.6,8.6
162,Karpacz,2147,8.0,8.7
163,Karpacz,3397,9.1,9.3
164,Karpacz,2286,9.7,9.6
165,Karpacz,1681,8.2,8.7
166,Karpacz,4448,8.9,9.3
167,Karpacz,2265,8.1,8.8
168,Karpacz,3646,9.0,9.4
169,Karpacz,2396,9.1,9.5
170,Karpacz,2268,9.2,8.8
171,Karpacz,2673,9.3,9.4
172,Karpacz,1356,9.6,8.8
173,Karpacz,1095,9.4,8.8
174,Karpacz,2566,9.2,8.9
175,Karpacz,2627,8.4,9.8
176,Karpacz,1486,9.7,9.8
177,Karpacz,1946,8.9,9.3
178,Karpacz,1206,8.9,9.9
179,Karpacz,1508,8.2,8.9
180,Karpacz,3125,8.6,8.7
181,Karpacz,1930,8.7,8.3
182,Karpacz,1969,9.2,8.3
183,Karpacz,2013,9.3,8.7
184,Karpacz,2238,8.8,8.6
185,Karpacz,2132,9.4,8.8
186,Karpacz,2490,8.9,9.6
