,City,Cost,Rating,Comfort
0,Nowy Targ,693,8.4,8.3
1,Nowy Targ,1120,8.7,8.7
2,Nowy Targ,1101,8.7,8.8
3,Nowy Targ,980,8.2,8.1
4,Nowy Targ,525,8.8,8.7
5,Nowy Targ,693,8.4,8.3
6,Nowy Targ,1120,9.0,9.0
7,Nowy Targ,1391,9.0,9.3
8,Nowy Targ,1633,9.2,9.1
9,Nowy Targ,770,9.3,9.2
10,Nowy Targ,1662,9.7,10.0
11,Nowy Targ,1400,9.4,9.6
12,Nowy Targ,3970,9.1,9.0
13,Nowy Targ,1523,9.7,9.9
14,Nowy Targ,1715,8.8,8.9
15,Nowy Targ,2029,9.4,8.8
16,Nowy Targ,1417,9.8,10.0
17,Nowy Targ,1256,9.6,9.8
18,Nowy Targ,1904,9.4,9.4
19,Nowy Targ,1930,9.9,10.0
20,Nowy Targ,1750,9.2,9.2
21,Nowy Targ,964,9.4,9.7
22,Nowy Targ,2446,9.5,9.6
23,Nowy Targ,1417,9.0,9.1
24,Nowy Targ,1673,9.5,9.4
25,Nowy Targ,1323,9.8,9.7
26,Nowy Targ,1260,10.0,10.0
27,Nowy Targ,1485,9.2,9.5
28,Nowy Targ,1904,9.6,9.7
29,Nowy Targ,1715,9.5,8.8
30,Nowy Targ,1701,8.8,9.7
31,Nowy Targ,2205,9.7,9.7
32,Nowy Targ,1575,10.0,10.0
33,Nowy Targ,1120,9.4,9.4
34,Nowy Targ,4096,10.0,10.0
35,Nowy Targ,5313,9.0,9.1
36,Nowy Targ,3052,9.9,10.0
37,Nowy Targ,1540,9.7,9.4
38,Nowy Targ,2298,9.2,9.5
39,Nowy Targ,1463,8.5,8.0
40,Nowy Targ,2155,10.0,10.0
41,Nowy Targ,3528,9.5,9.4
42,Nowy Targ,2800,10.0,10.0
43,Nowy Targ,1260,9.8,10.0
44,Nowy Targ,4820,8.9,8.6
45,Nowy Targ,2843,9.5,10.0
46,Nowy Targ,6615,9.7,9.7
47,Nowy Targ,5950,9.3,9.1
48,Nowy Targ,4536,9.3,9.1
49,Nowy Targ,3315,9.7,9.8
50,Nowy Targ,11305,9.9,9.9
51,Nowy Targ,2870,9.9,10.0
52,Nowy Targ,2916,9.9,10.0
53,Nowy Targ,2290,8.2,9.1
54,Nowy Targ,3850,9.3,9.5
55,Nowy Targ,1540,9.6,8.9
56,Nowy Targ,5761,9.4,9.3
57,Nowy Targ,2499,9.3,9.8
58,Nowy Targ,2646,9.8,10.0
59,Nowy Targ,2184,10.0,9.2
60,Nowy Targ,2048,9.7,9.3
61,Nowy Targ,4200,9.5,9.4
62,Nowy Targ,1750,9.6,9.5
63,Nowy Targ,9600,8.4,9.6
64,Nowy Targ,2890,9.3,9.2
