,City,Cost,Rating,Comfort
0,Nowy Sącz,1661,9.3,9.2
1,Nowy Sącz,960,9.8,10.0
2,Nowy Sącz,1540,9.3,9.3
3,Nowy Sącz,1017,8.6,8.5
4,Nowy Sącz,1725,8.9,9.0
5,Nowy Sącz,1715,9.3,9.4
6,Nowy Sącz,665,9.0,9.4
7,Nowy Sącz,1260,9.9,10.0
8,Nowy Sącz,2625,8.8,9.1
9,Nowy Sącz,1155,9.0,9.6
10,Nowy Sącz,1540,9.6,9.9
11,Nowy Sącz,3010,9.8,9.8
12,Nowy Sącz,2056,9.2,9.4
13,Nowy Sącz,2025,8.5,8.4
14,Nowy Sącz,1955,9.4,9.4
15,Nowy Sącz,1327,9.8,9.9
16,Nowy Sącz,2083,9.7,9.8
17,Nowy Sącz,1400,8.3,8.5
18,Nowy Sącz,3348,9.6,9.5
19,Nowy Sącz,624,9.6,9.7
20,Nowy Sącz,1496,9.5,9.6
21,Nowy Sącz,2262,9.7,9.7
22,Nowy Sącz,1963,9.7,9.7
23,Nowy Sącz,4284,9.8,9.8
24,Nowy Sącz,1929,9.7,9.4
25,Nowy Sącz,4851,9.3,9.4
26,Nowy Sącz,1849,8.8,8.6
27,Nowy Sącz,1736,9.9,10.0
28,Nowy Sącz,2175,10.0,10.0
29,Nowy Sącz,1610,9.0,9.2
30,Nowy Sącz,1327,9.8,9.6
31,Nowy Sącz,1155,9.4,10.0
32,Nowy Sącz,1257,10.0,10.0
33,Nowy Sącz,5699,9.8,9.9
34,Nowy Sącz,1832,9.8,9.7
35,Nowy Sącz,2408,9.6,9.6
36,Nowy Sącz,1996,9.8,10.0
