,City,Cost,Rating,Comfort
0,Solina,777,8.7,8.3
1,Solina,2247,9.6,9.3
2,Solina,3472,9.1,8.9
3,Solina,1057,8.7,8.3
4,Solina,1092,9.3,9.4
5,Solina,1337,9.6,9.5
6,Solina,1575,9.5,9.4
7,Solina,1239,7.8,9.2
8,Solina,2107,9.4,9.5
9,Solina,2359,9.3,8.5
10,Solina,1101,8.6,8.8
11,Solina,1956,9.4,9.0
12,Solina,1407,8.8,9.5
13,Solina,929,8.8,8.5
14,Solina,1267,9.7,9.1
15,Solina,2380,8.0,9.0
16,Solina,3857,9.1,8.8
17,Solina,2450,9.5,9.2
18,Solina,3787,9.1,8.5
19,Solina,2107,9.2,8.7
20,Solina,3535,7.6,9.1
21,Solina,2100,9.0,9.5
22,Solina,2247,9.0,9.6
23,Solina,2983,9.0,9.1
24,Solina,1337,9.5,9.5
25,Solina,1547,9.4,9.4
26,Solina,3707,9.2,9.4
27,Solina,2807,9.3,8.9
28,Solina,3850,9.3,8.7
29,Solina,2294,9.4,8.3
30,Solina,2275,9.4,8.8
31,Solina,4830,8.8,9.0
32,Solina,2616,8.6,9.6
33,Solina,4781,9.0,9.4
34,Solina,4207,7.9,9.5
35,Solina,1267,9.0,8.0
36,Solina,1617,9.4,9.9
37,Solina,3157,9.3,10.0
38,Solina,1967,9.2,9.3
39,Solina,2527,8.3,9.2
40,Solina,2464,9.8,9.7
41,Solina,3157,9.5,9.2
42,Solina,1540,9.4,9.2
43,Solina,3413,9.3,8.8
44,Solina,4298,9.6,9.1
45,Solina,3850,9.5,8.6
46,Solina,3157,9.3,9.8
47,Solina,3356,8.5,8.5
48,Solina,3633,8.6,9.0
49,Solina,3164,9.4,9.3
50,Solina,4514,9.0,8.8
51,Solina,3367,9.7,9.5
