,City,Cost,Rating,Comfort
0,Szklarska Poręba,1595,8.6,8.4
1,Szklarska Poręba,1967,8.8,8.9
2,Szklarska Poręba,1068,8.9,8.8
3,Szklarska Poręba,1070,8.3,8.2
4,Szklarska Poręba,650,8.9,8.6
5,Szklarska Poręba,897,8.5,8.4
6,Szklarska Poręba,1889,9.3,9.1
7,Szklarska Poręba,930,8.9,8.4
8,Szklarska Poręba,940,9.1,9.0
9,Szklarska Poręba,1017,9.4,9.5
10,Szklarska Poręba,1970,7.4,9.5
11,Szklarska Poręba,755,9.5,8.0
12,Szklarska Poręba,1347,8.3,9.5
13,Szklarska Poręba,1415,9.0,10.0
14,Szklarska Poręba,2881,9.0,8.7
15,Szklarska Poręba,1556,8.9,10.0
16,Szklarska Poręba,1382,10.0,8.5
17,Szklarska Poręba,2435,8.8,8.4
18,Szklarska Poręba,930,8.5,8.6
19,Szklarska Poręba,2118,8.8,8.5
20,Szklarska Poręba,1587,8.5,9.2
21,Szklarska Poręba,2937,9.1,9.3
22,Szklarska Poręba,1460,8.8,9.3
23,Szklarska Poręba,2486,9.2,8.8
24,Szklarska Poręba,2698,9.0,8.3
25,Szklarska Poręba,3111,8.5,8.5
26,Szklarska Poręba,1138,7.8,9.4
27,Szklarska Poręba,1507,8.9,10.0
28,Szklarska Poręba,972,9.5,8.6
29,Szklarska Poręba,1288,10.0,9.4
30,Szklarska Poręba,1864,8.4,8.1
31,Szklarska Poręba,1846,9.4,9.6
32,Szklarska Poręba,893,8.2,9.4
33,Szklarska Poręba,2698,7.8,9.2
34,Szklarska Poręba,2447,7.6,8.8
35,Szklarska Poręba,1527,9.6,8.1
36,Szklarska Poręba,1420,8.3,9.8
37,Szklarska Poręba,3420,7.7,9.2
38,Szklarska Poręba,1686,9.1,8.8
39,Szklarska Poręba,1899,8.7,8.7
40,Szklarska Poręba,2809,8.2,9.8
41,Szklarska Poręba,2688,9.6,9.4
42,Szklarska Poręba,2291,8.8,8.5
43,Szklarska Poręba,1549,8.5,8.6
44,Szklarska Poręba,2397,8.9,9.2
45,Szklarska Poręba,3625,9.7,9.2
46,Szklarska Poręba,2670,9.2,8.3
47,Szklarska Poręba,3060,8.2,8.1
48,Szklarska Poręba,1961,8.1,8.5
49,Szklarska Poręba,2043,8.9,9.0
50,Szklarska Poręba,1980,9.2,8.9
51,Szklarska Poręba,1280,9.0,9.2
52,Szklarska Poręba,1757,8.7,9.4
