,City,Cost,Rating,Comfort
0,Ustroń,1575,8.1,10.0
1,Ustroń,1225,10.0,9.4
2,Ustroń,924,9.3,9.1
3,Ustroń,591,9.2,9.1
4,Ustroń,1239,9.4,8.7
5,Ustroń,1450,8.7,9.7
6,Ustroń,1260,9.6,10.0
7,Ustroń,1345,8.1,10.0
8,Ustroń,1199,10.0,8.4
9,Ustroń,2355,9.7,9.0
10,Ustroń,1820,8.5,8.5
11,Ustroń,1081,9.0,10.0
12,Ustroń,1113,8.0,9.4
13,Ustroń,1316,8.7,9.1
14,Ustroń,1785,9.0,9.3
15,Ustroń,1372,6.6,9.5
16,Ustroń,810,9.4,10.0
17,Ustroń,1575,8.8,8.4
18,Ustroń,923,9.3,8.9
19,Ustroń,1560,9.5,10.0
20,Ustroń,1155,9.7,8.5
21,Ustroń,1533,8.7,9.3
22,Ustroń,2135,9.1,9.5
23,Ustroń,1459,10.0,8.7
24,Ustroń,2832,8.7,9.5
25,Ustroń,2177,9.5,9.8
26,Ustroń,1085,9.6,9.6
27,Ustroń,1110,8.9,8.2
28,Ustroń,2214,9.5,9.3
29,Ustroń,1393,9.7,9.0
30,Ustroń,2105,9.2,9.2
31,Ustroń,2411,8.3,9.6
32,Ustroń,759,9.4,8.8
33,Ustroń,1663,9.0,8.8
34,Ustroń,1575,9.4,9.3
35,Ustroń,1043,9.6,9.6
36,Ustroń,1075,9.0,9.7
37,Ustroń,1070,9.5,9.1
38,Ustroń,1370,9.2,8.7
39,Ustroń,1986,8.0,8.6
40,Ustroń,1428,9.4,9.8
41,Ustroń,1832,9.7,8.5
42,Ustroń,1435,9.1,10.0
43,Ustroń,1421,8.7,9.1
44,Ustroń,1803,8.4,9.2
45,Ustroń,2125,9.7,8.9
46,Ustroń,1785,8.6,8.9
47,Ustroń,875,10.0,9.6
48,Ustroń,1291,8.7,8.6
49,Ustroń,3312,9.0,8.9
50,Ustroń,1998,8.7,9.4
51,Ustroń,2849,8.9,8.9
52,Ustroń,1108,9.5,10.0
53,Ustroń,1641,8.7,8.8
54,Ustroń,735,9.0,9.6
55,Ustroń,1540,9.4,9.0
56,Ustroń,1785,9.1,9.3
57,Ustroń,1754,9.3,8.3
58,Ustroń,1888,9.0,9.1
59,Ustroń,1765,9.4,9.4
60,Ustroń,1285,9.3,9.6
61,Ustroń,1435,9.2,9.4
62,Ustroń,2088,8.2,9.5
63,Ustroń,3193,9.2,9.2
64,Ustroń,1148,9.2,9.6
65,Ustroń,1795,9.6,8.8
66,Ustroń,1916,9.5,9.8
67,Ustroń,2468,9.6,9.6
68,Ustroń,3223,9.3,10.0
69,Ustroń,1267,9.8,10.0
70,Ustroń,2481,8.9,10.0
71,Ustroń,2061,9.8,9.0
72,Ustroń,1659,9.7,9.2
73,Ustroń,2828,10.0,9.5
74,Ustroń,2120,10.0,10.0
75,Ustroń,2695,9.7,9.7
76,Ustroń,2118,8.6,10.0
77,Ustroń,2555,9.0,9.0
78,Ustroń,2170,8.8,10.0
79,Ustroń,2585,10.0,10.0
80,Ustroń,1995,8.5,8.5
81,Ustroń,2064,7.0,10.0
82,Ustroń,1441,9.5,8.5
83,Ustroń,2317,10.0,10.0
84,Ustroń,7906,9.2,9.5
85,Ustroń,2865,9.7,10.0
86,Ustroń,2520,9.8,10.0
87,Ustroń,2183,8.4,9.6
88,Ustroń,1701,10.0,8.5
89,Ustroń,1727,8.7,9.9
90,Ustroń,2737,10.0,9.0
91,Ustroń,2684,8.8,9.6
92,Ustroń,2299,10.0,8.1
93,Ustroń,2770,9.6,9.8
94,Ustroń,1664,10.0,9.8
95,Ustroń,4681,9.0,9.3
96,Ustroń,2862,9.7,9.5
97,Ustroń,2767,9.0,9.2
98,Ustroń,2921,9.6,9.9
99,Ustroń,2767,9.0,10.0
100,Ustroń,2792,9.7,9.8
101,Ustroń,1838,9.8,8.3
102,Ustroń,2873,9.6,9.5
103,Ustroń,3764,9.8,9.5
104,Ustroń,1991,9.2,9.8
105,Ustroń,3864,9.8,9.4
106,Ustroń,7368,9.8,9.0
107,Ustroń,2785,9.8,9.8
108,Ustroń,1778,9.3,9.8
109,Ustroń,2408,8.9,9.8
110,Ustroń,4325,9.4,9.9
111,Ustroń,4736,9.6,9.5
112,Ustroń,1750,9.5,8.9
113,Ustroń,2891,9.1,9.6
114,Ustroń,3488,9.8,9.5
115,Ustroń,2865,9.5,9.0
116,Ustroń,4261,9.7,9.7
