,City,Cost,Rating,Comfort
0,Zakopane,2408,8.7,8.3
1,Zakopane,1977,9.4,9.4
2,Zakopane,917,8.9,9.1
3,Zakopane,854,7.9,9.3
4,Zakopane,1274,9.4,8.9
5,Zakopane,1344,8.9,9.2
6,Zakopane,924,9.3,8.9
7,Zakopane,1764,9.0,9.5
8,Zakopane,1363,7.9,8.7
9,Zakopane,1862,9.3,8.3
10,Zakopane,1474,8.8,9.6
11,Zakopane,714,7.2,8.9
12,Zakopane,1267,8.2,8.8
13,Zakopane,1044,8.4,9.4
14,"Krupówki, Zakopane",1400,9.6,8.5
15,Zakopane,1344,9.2,9.0
16,Zakopane,3880,8.9,9.9
17,Zakopane,1414,9.4,9.3
18,Zakopane,1064,8.6,9.4
19,Zakopane,700,9.2,8.7
20,Zakopane,1064,9.8,10.0
21,Zakopane,1162,9.3,8.7
22,Zakopane,2654,9.4,8.5
23,Zakopane,3444,8.7,10.0
24,"Krupówki, Zakopane",3087,10.0,9.6
25,Zakopane,2089,8.7,9.1
26,Zakopane,746,8.8,8.6
27,Zakopane,2364,10.0,8.7
28,Zakopane,1121,9.4,9.5
29,Zakopane,2156,9.2,8.7
30,Zakopane,1118,9.0,8.4
31,"Krupówki, Zakopane",1414,8.6,10.0
32,Zakopane,1117,9.5,9.3
33,Zakopane,1554,8.8,8.8
34,Zakopane,896,8.3,10.0
35,Zakopane,2077,10.0,8.8
36,Zakopane,1259,9.2,9.5
37,Zakopane,1659,8.7,9.3
38,Zakopane,2394,9.0,8.4
39,Zakopane,1624,8.7,9.3
40,Zakopane,1988,8.0,8.9
41,Zakopane,2114,7.9,8.5
42,"Krupówki, Zakopane",1804,9.3,9.2
43,Zakopane,2534,9.2,8.4
44,Zakopane,3317,7.6,9.0
45,Zakopane,2712,8.5,9.3
46,Zakopane,1589,9.1,9.2
47,Zakopane,854,8.8,8.7
48,Zakopane,994,7.9,8.6
49,Zakopane,1099,7.9,9.1
50,Zakopane,674,8.4,9.3
51,Zakopane,400,8.9,8.3
52,Zakopane,1589,8.6,8.8
53,Zakopane,3322,8.9,9.3
54,Zakopane,1148,9.0,8.1
55,"Krupówki, Zakopane",2370,9.0,8.9
56,Zakopane,3155,8.5,9.3
57,Zakopane,3627,8.7,9.2
58,Zakopane,1810,9.1,8.1
59,Zakopane,1148,9.4,8.5
60,Zakopane,1904,8.2,9.4
61,Zakopane,1274,9.1,8.4
62,Zakopane,1834,9.0,9.7
63,Zakopane,1554,8.4,9.9
64,Zakopane,3414,8.9,9.6
65,Zakopane,930,9.2,9.7
66,Zakopane,2984,9.1,9.5
67,Zakopane,714,8.2,9.6
68,Zakopane,3265,8.6,10.0
69,Zakopane,2464,9.1,9.5
70,Zakopane,1146,8.2,9.1
71,Zakopane,2814,9.4,8.9
72,Zakopane,1830,9.7,9.3
73,Zakopane,5004,9.5,8.2
74,Zakopane,4298,9.6,9.1
75,Zakopane,3927,9.2,8.1
76,Zakopane,5204,9.5,9.3
77,Zakopane,4290,9.9,9.5
78,Zakopane,2654,9.3,9.3
79,Zakopane,6814,9.1,9.1
80,Zakopane,4094,8.6,8.7
81,"Krupówki, Zakopane",4826,9.2,9.1
82,Zakopane,4549,8.5,9.2
83,Zakopane,1157,9.0,8.7
84,Zakopane,3424,8.3,9.6
85,Zakopane,3284,9.3,9.2
86,"Krupówki, Zakopane",1992,9.3,9.0
87,Zakopane,3197,9.1,8.8
88,Zakopane,2231,9.1,8.9
89,"Krupówki, Zakopane",3534,8.8,9.9
90,Zakopane,2394,8.8,9.6
91,Zakopane,2013,9.3,8.6
92,Zakopane,2147,8.7,8.7
93,Zakopane,4022,9.7,9.5
94,Zakopane,513,9.1,8.7
95,Zakopane,2849,9.2,9.7
96,Zakopane,1344,8.6,8.5
97,Zakopane,2128,8.5,8.8
98,Zakopane,1134,9.7,9.4
99,Zakopane,1267,9.4,9.6
100,"Krupówki, Zakopane",2693,7.8,8.6
101,Zakopane,2152,8.6,8.4
102,Zakopane,2508,8.6,8.0
103,Zakopane,1122,9.5,9.5
104,Zakopane,3000,8.9,8.5
105,Zakopane,2251,9.5,8.1
106,Zakopane,3601,8.3,9.4
107,Zakopane,854,8.8,9.3
108,Zakopane,1274,9.4,8.2
109,Zakopane,3017,9.3,9.1
110,Zakopane,2287,9.2,9.0
111,"Krupówki, Zakopane",1274,8.4,9.4
112,Zakopane,1447,7.8,8.8
113,Zakopane,2824,9.5,8.8
114,Zakopane,1274,8.5,9.0
115,"Krupówki, Zakopane",1652,8.2,10.0
116,Zakopane,1601,9.5,8.1
117,Zakopane,1190,9.1,8.1
118,Zakopane,4037,8.4,8.0
119,Zakopane,1565,9.1,9.4
120,Zakopane,1544,9.1,8.7
121,Zakopane,1869,9.2,8.5
122,Zakopane,1805,8.8,8.7
123,Zakopane,1821,8.9,8.9
124,Zakopane,1764,9.0,9.5
125,Zakopane,3190,9.0,9.8
126,Zakopane,1543,8.3,9.4
127,Zakopane,1764,8.4,9.0
128,Zakopane,1134,8.3,8.1
129,Zakopane,1274,9.2,9.5
130,Zakopane,1828,8.6,9.2
131,Zakopane,994,7.8,9.7
132,Zakopane,1050,8.8,8.7
133,Zakopane,2394,8.8,9.2
134,Zakopane,1012,8.8,8.9
135,Zakopane,2114,7.6,8.7
136,Zakopane,714,9.3,8.2
137,Zakopane,2736,9.9,9.2
138,Zakopane,2674,9.4,9.3
139,Zakopane,644,9.0,9.1
140,Zakopane,1050,8.2,9.6
141,Zakopane,915,9.4,9.8
142,Zakopane,1799,8.8,9.6
143,Zakopane,1309,9.5,8.3
144,Zakopane,2114,8.8,9.2
145,Zakopane,2450,9.1,9.9
146,Zakopane,1022,8.8,9.4
147,Zakopane,1358,8.7,8.4
148,Zakopane,1631,8.4,9.6
149,Zakopane,1680,8.9,9.7
150,Zakopane,2528,9.3,8.4
151,Zakopane,2687,9.0,9.9
152,Zakopane,1526,10.0,9.7
153,Zakopane,2259,9.8,9.4
154,Zakopane,3399,9.4,9.4
155,Zakopane,1609,8.3,9.1
156,Zakopane,875,9.5,9.5
157,Zakopane,1888,9.9,8.8
158,Zakopane,2954,8.8,9.4
159,Zakopane,4051,8.4,9.7
160,Zakopane,9732,9.6,9.1
161,Zakopane,1551,9.7,8.3
162,Zakopane,3178,8.4,8.8
163,Zakopane,3410,9.5,9.5
164,Zakopane,1820,9.9,10.0
165,Zakopane,5856,9.7,8.4
166,Zakopane,3252,9.3,9.2
167,Zakopane,3936,8.9,8.4
168,Zakopane,13794,9.3,8.8
169,Zakopane,1652,8.8,9.0
170,Zakopane,4564,8.0,9.3
171,"Krupówki, Zakopane",4896,9.5,9.6
172,Zakopane,3118,9.5,8.4
173,"Krupówki, Zakopane",3479,9.0,9.6
174,Zakopane,6617,8.4,10.0
175,Zakopane,5172,9.0,8.9
176,Zakopane,2065,9.5,8.0
177,Zakopane,7847,9.8,8.2
178,Zakopane,2114,8.6,9.4
179,Zakopane,4016,8.8,9.4
180,Zakopane,1274,8.4,9.5
181,"Krupówki, Zakopane",10204,8.8,8.9
182,Zakopane,8414,8.6,9.7
183,Zakopane,2305,9.4,9.2
184,Zakopane,1764,9.5,9.5
185,Zakopane,2804,8.3,9.8
186,Zakopane,2181,9.5,9.9
187,Zakopane,4724,10.0,9.0
188,Zakopane,2254,8.8,8.5
189,Zakopane,3227,8.1,9.4
190,"Krupówki, Zakopane",3267,8.3,9.6
191,"Krupówki, Zakopane",3524,9.2,9.0
192,Zakopane,4928,9.6,9.4
193,Zakopane,2717,9.5,8.7
194,"Krupówki, Zakopane",4737,9.0,8.8
195,Zakopane,2485,9.6,9.5
196,Zakopane,8406,7.4,8.4
197,Zakopane,1204,9.0,9.1
198,Zakopane,2184,9.4,8.4
199,Zakopane,2454,9.7,9.0
200,Zakopane,4880,9.9,8.7
201,Zakopane,2197,9.1,9.0
202,Zakopane,3176,8.6,9.0
203,Zakopane,4347,9.3,8.8
204,Zakopane,2250,9.5,9.3
205,Zakopane,2690,9.1,8.5
206,Zakopane,3344,9.1,8.5
207,Zakopane,1484,8.8,8.9
208,Zakopane,2916,8.9,9.3
209,Zakopane,1484,9.5,8.2
210,Zakopane,2394,8.4,8.9
211,Zakopane,3522,9.3,9.3
212,Zakopane,3290,8.5,8.2
213,Zakopane,1526,9.2,9.2
214,Zakopane,3173,8.8,9.0
215,Zakopane,1694,8.9,9.8
216,Zakopane,2940,8.9,9.6
217,Zakopane,2578,8.8,9.4
218,Zakopane,1274,9.2,8.9
219,Zakopane,4300,8.3,9.0
220,Zakopane,6351,8.3,9.8
221,Zakopane,2674,8.6,9.4
222,Zakopane,1931,9.2,9.1
223,"Krupówki, Zakopane",3159,8.2,9.6
224,Zakopane,3897,8.8,9.2
225,Zakopane,3897,9.2,8.8
226,Zakopane,6874,8.2,8.3
227,Zakopane,3222,9.2,8.7
228,Zakopane,2324,8.9,9.2
229,Zakopane,1772,9.7,8.8
230,Zakopane,4214,9.5,8.8
231,Zakopane,2962,9.3,8.7
232,Zakopane,4753,8.9,9.8
233,Zakopane,3178,8.9,9.3
234,Zakopane,1195,9.7,9.0
235,Zakopane,1554,9.3,9.5
236,Zakopane,2264,9.1,8.0
237,Zakopane,1145,9.7,8.9
238,Zakopane,2215,9.3,9.1
239,Zakopane,2150,9.0,8.5
240,Zakopane,3014,8.5,9.2
241,Zakopane,1344,8.7,9.1
242,Zakopane,1914,9.3,9.4
243,Zakopane,1414,8.9,9.9
244,Zakopane,1621,8.9,9.7
245,Zakopane,1204,8.8,9.4
246,Zakopane,2736,9.7,8.8
247,Zakopane,1078,9.3,8.1
248,Zakopane,1224,9.1,9.7
249,Zakopane,2254,9.4,8.4
250,Zakopane,994,8.1,8.6
251,Zakopane,1142,9.0,8.8
252,"Krupówki, Zakopane",1881,9.1,8.9
253,Zakopane,1204,8.6,8.8
254,Zakopane,1284,9.2,8.7
255,Zakopane,797,9.2,9.6
256,"Krupówki, Zakopane",3535,6.7,10.0
257,Zakopane,1224,9.6,8.7
258,Zakopane,854,9.2,9.1
259,Zakopane,2534,9.6,9.0
260,Zakopane,1815,9.1,8.8
261,Zakopane,1700,8.7,9.5
262,Zakopane,944,8.3,9.7
263,Zakopane,1134,7.0,9.5
264,Zakopane,1120,9.7,9.1
265,Zakopane,2107,8.5,8.5
266,Zakopane,1414,8.6,8.4
267,Zakopane,3957,8.7,8.0
268,Zakopane,1414,8.9,8.1
269,Zakopane,2855,8.4,8.1
270,Zakopane,994,8.9,9.2
271,Zakopane,917,9.5,8.9
272,Zakopane,2493,10.0,9.4
273,Zakopane,2072,8.8,9.6
274,Zakopane,1134,9.1,9.5
275,Zakopane,2097,9.1,9.8
276,"Krupówki, Zakopane",4391,8.6,9.7
277,Zakopane,1974,9.3,9.0
278,Zakopane,1974,9.5,8.1
279,Zakopane,1246,9.5,8.0
280,Zakopane,1998,8.8,8.5
281,Zakopane,1888,8.8,9.2
282,Zakopane,817,8.5,8.4
283,Zakopane,1141,7.7,8.4
284,Zakopane,1804,8.4,8.4
285,"Krupówki, Zakopane",3073,7.7,9.1
286,Zakopane,2212,8.3,8.6
287,Zakopane,2065,9.3,8.6
288,Zakopane,3295,8.5,9.2
289,Zakopane,946,9.1,8.9
290,Zakopane,1694,9.5,8.8
291,Zakopane,3562,9.5,9.3
292,Zakopane,1274,9.8,9.5
293,Zakopane,1942,9.6,9.2
294,Zakopane,865,9.0,9.0
295,Zakopane,2362,8.3,8.7
296,Zakopane,2114,8.1,8.9
297,Zakopane,1127,8.7,9.2
298,Zakopane,1540,9.2,8.8
299,Zakopane,1154,8.4,9.0
300,"Krupówki, Zakopane",2469,8.5,8.5
301,Zakopane,3160,8.4,8.1
302,Zakopane,1330,9.2,8.3
303,Zakopane,2604,8.9,9.1
304,Zakopane,1204,9.0,9.5
305,Zakopane,1743,9.2,9.8
306,Zakopane,938,8.8,8.1
307,Zakopane,1337,8.8,9.3
308,Zakopane,2433,9.5,9.3
309,Zakopane,1264,7.9,8.6
310,Zakopane,945,9.4,8.4
311,Zakopane,753,9.3,9.7
312,Zakopane,784,9.1,8.8
313,Zakopane,1575,8.7,9.3
314,Zakopane,1410,9.2,8.8
315,Zakopane,1848,9.2,8.5
316,Zakopane,1463,8.7,8.7
317,Zakopane,994,9.3,8.6
318,Zakopane,2310,8.5,8.7
319,Zakopane,2324,8.2,9.7
320,Zakopane,714,8.4,10.0
321,Zakopane,2560,9.1,8.4
322,Zakopane,788,9.7,9.7
323,Zakopane,1764,7.8,9.1
324,Zakopane,1204,9.8,9.8
325,Zakopane,1400,8.0,8.7
326,Zakopane,1221,9.5,8.6
327,Zakopane,2268,9.1,8.9
328,Zakopane,1085,8.6,8.2
329,Zakopane,1145,8.6,9.1
330,Zakopane,1428,9.5,9.5
331,"Krupówki, Zakopane",460,8.7,9.4
332,Zakopane,2549,9.2,9.0
333,Zakopane,1141,9.0,9.4
334,Zakopane,651,8.4,9.5
335,Zakopane,7840,8.8,8.4
336,Zakopane,1554,8.6,8.8
337,Zakopane,1064,8.0,9.0
338,Zakopane,4145,8.6,9.9
339,Zakopane,1218,9.7,8.9
340,Zakopane,1980,9.7,9.0
341,Zakopane,4498,8.3,9.2
342,Zakopane,1764,9.4,10.0
343,Zakopane,1288,9.0,9.9
344,Zakopane,1299,9.7,9.8
345,Zakopane,2887,8.9,9.2
346,Zakopane,1534,8.5,9.3
347,Zakopane,1764,9.1,9.0
348,Zakopane,3234,8.6,9.7
349,Zakopane,2749,7.5,8.6
350,Zakopane,1720,8.8,9.0
351,Zakopane,2156,9.4,8.8
352,Zakopane,1386,9.4,8.6
353,Zakopane,4829,9.0,9.2
354,"Krupówki, Zakopane",3318,9.3,8.9
355,Zakopane,2475,5.0,9.8
356,Zakopane,1414,9.2,9.4
357,Zakopane,1554,8.5,8.3
358,Zakopane,1292,8.8,9.3
359,Zakopane,1359,9.2,8.4
360,Zakopane,919,9.5,8.5
361,Zakopane,854,8.9,9.0
362,Zakopane,1764,8.9,8.6
363,Zakopane,1400,9.1,8.4
364,Zakopane,1358,10.0,9.8
365,Zakopane,2254,9.7,8.6
366,Zakopane,1206,7.9,9.8
367,Zakopane,3290,9.7,9.4
368,Zakopane,3070,9.1,9.1
369,Zakopane,2170,9.0,9.7
370,Zakopane,1960,8.8,8.9
371,Zakopane,5850,9.7,9.7
372,Zakopane,3294,8.5,9.4
373,"Krupówki, Zakopane",3735,8.9,9.6
374,Zakopane,1330,9.0,9.3
375,"Krupówki, Zakopane",3517,8.5,10.0
376,Zakopane,1418,9.2,8.8
377,"Krupówki, Zakopane",1994,8.9,9.2
378,Zakopane,1998,9.7,9.2
379,Zakopane,3700,9.4,10.0
380,Zakopane,2202,8.2,9.7
381,Zakopane,2830,9.2,8.4
382,Zakopane,1834,8.6,9.4
383,Zakopane,994,8.8,9.0
384,Zakopane,1781,8.9,10.0
385,Zakopane,1932,8.7,8.0
386,"Krupówki, Zakopane",1634,8.7,9.5
387,Zakopane,2149,9.9,10.0
388,Zakopane,2123,8.9,9.0
389,Zakopane,2534,9.7,8.5
390,Zakopane,1750,9.4,9.5
391,Zakopane,4265,9.2,8.1
392,Zakopane,1554,8.5,9.1
393,Zakopane,1379,9.1,8.5
394,Zakopane,1407,9.6,8.8
395,Zakopane,2940,9.3,9.1
396,Zakopane,2324,9.5,8.3
397,Zakopane,1064,9.1,9.5
398,"Krupówki, Zakopane",1764,10.0,9.6
399,Zakopane,1180,8.8,9.6
400,Zakopane,2930,9.1,8.4
401,Zakopane,2002,9.2,8.2
402,Zakopane,1190,9.9,9.0
403,Zakopane,1808,9.5,9.1
404,Zakopane,2464,8.5,8.8
405,Zakopane,1414,9.4,10.0
406,Zakopane,1454,8.6,10.0
407,Zakopane,2669,10.0,9.2
408,Zakopane,1939,8.1,9.9
409,Zakopane,3829,9.5,9.8
410,Zakopane,1330,9.8,8.8
411,Zakopane,2317,9.1,9.8
412,Zakopane,1764,7.7,9.6
413,Zakopane,3528,8.3,8.8
414,Zakopane,2951,9.5,9.9
415,Zakopane,3621,8.2,9.2
416,"Krupówki, Zakopane",3885,9.0,9.3
417,Zakopane,4710,8.4,9.6
418,Zakopane,4154,8.2,9.0
419,Zakopane,3036,9.7,9.9
420,Zakopane,2310,9.0,9.5
421,Zakopane,3489,8.3,8.6
422,Zakopane,1864,9.2,9.4
423,Zakopane,3101,9.5,9.6
424,"Krupówki, Zakopane",1904,9.7,9.8
425,Zakopane,1264,8.6,8.9
426,Zakopane,1577,8.6,9.4
427,Zakopane,3548,9.3,9.4
428,Zakopane,1274,9.1,9.4
429,Zakopane,2868,9.2,9.1
430,Zakopane,3212,9.9,9.2
431,Zakopane,4338,9.8,9.6
432,Zakopane,1414,8.2,9.1
433,Zakopane,2024,9.8,9.4
434,Zakopane,3487,9.3,9.6
435,Zakopane,1904,8.0,9.4
436,Zakopane,2030,9.7,9.5
437,Zakopane,1274,9.4,9.4
438,Zakopane,1274,8.8,9.7
439,Zakopane,5817,9.9,9.3
440,"Krupówki, Zakopane",2180,9.1,8.2
441,Zakopane,1914,9.2,9.7
442,Zakopane,6149,9.6,8.9
443,Zakopane,10094,9.1,9.9
444,Zakopane,3117,9.7,9.7
445,Zakopane,4501,9.5,10.0
446,Zakopane,4405,8.4,9.7
447,Zakopane,3538,9.5,9.7
448,Zakopane,10004,9.5,8.7
449,Zakopane,3501,9.7,9.0
450,Zakopane,1496,8.8,9.2
451,Zakopane,3630,9.3,8.3
452,Zakopane,12252,9.5,9.4
453,"Krupówki, Zakopane",3920,9.7,9.8
454,Zakopane,2583,9.1,9.0
455,Zakopane,3101,9.2,9.5
456,Zakopane,4480,9.5,9.2
457,Zakopane,1680,8.9,9.8
458,Zakopane,7756,9.3,9.1
459,Zakopane,2874,9.5,9.0
460,Zakopane,4826,9.4,8.5
461,Zakopane,5952,9.4,8.7
462,Zakopane,3008,9.2,9.4
463,Zakopane,6943,9.5,9.6
464,Zakopane,2919,9.4,8.9
465,Zakopane,2454,8.2,9.3
466,Zakopane,6944,9.5,9.9
467,Zakopane,4004,8.9,9.3
468,Zakopane,5457,9.8,9.5
469,Zakopane,6393,9.7,9.0
470,Zakopane,2529,7.7,9.4
471,"Krupówki, Zakopane",6546,9.7,9.5
472,Zakopane,3605,9.6,8.7
473,Zakopane,5712,9.5,8.5
474,Zakopane,2787,8.9,9.7
475,Zakopane,2605,8.9,9.4
476,Zakopane,2742,9.1,8.7
477,Zakopane,2650,8.6,9.8
478,"Krupówki, Zakopane",4769,9.7,8.9
479,Zakopane,2219,9.5,9.6
480,Zakopane,4078,9.2,8.4
481,Zakopane,3069,9.4,9.3
482,Zakopane,1878,9.2,8.7
483,Zakopane,4686,9.7,8.3
484,Zakopane,2892,9.1,9.0
485,Zakopane,3832,9.0,10.0
486,Zakopane,1862,8.8,9.6
487,"Krupówki, Zakopane",2198,8.5,9.5
488,Zakopane,1810,9.4,9.4
489,Zakopane,1495,9.4,9.6
490,Zakopane,4875,8.8,9.1
491,Zakopane,2156,9.2,9.7
492,Zakopane,3178,9.9,9.5
493,Zakopane,2955,9.1,9.7
494,Zakopane,3808,9.4,9.3
495,Zakopane,4380,8.9,9.1
496,Zakopane,1764,9.4,8.6
497,Zakopane,1860,9.5,9.9
498,Zakopane,2042,8.5,8.7
499,Zakopane,2431,8.6,9.1
500,Zakopane,1834,9.7,9.6
501,Zakopane,5969,9.4,9.5
502,Zakopane,10236,8.5,9.5
503,Zakopane,4615,9.8,9.9
504,Zakopane,6314,9.1,8.7
505,Zakopane,13950,9.5,9.3
506,Zakopane,1698,8.2,9.0
507,Zakopane,1654,8.5,9.1
508,"Krupówki, Zakopane",2675,9.2,9.5
509,Zakopane,3164,8.6,8.4
510,Zakopane,5094,8.3,8.4
511,"Krupówki, Zakopane",2620,8.9,9.6
512,Zakopane,2824,7.6,8.7
513,Zakopane,4323,9.7,8.2
514,Zakopane,1064,9.3,9.1
515,Zakopane,5950,9.5,8.9
516,Zakopane,1414,9.3,8.8
517,Zakopane,2016,9.5,9.1
518,Zakopane,1799,9.0,9.0
519,Zakopane,1764,9.6,9.6
520,Zakopane,2381,9.3,9.6
521,Zakopane,1974,9.7,9.3
522,Zakopane,3406,9.2,8.7
523,Zakopane,1911,9.0,8.3
524,"Krupówki, Zakopane",2537,8.5,9.2
525,Zakopane,20068,9.9,8.7
526,Zakopane,3613,8.9,9.1
527,Zakopane,11777,8.8,8.9
528,Zakopane,3069,9.5,9.3
529,Zakopane,3640,9.4,9.6
530,"Krupówki, Zakopane",3970,9.5,9.7
531,Zakopane,4900,9.8,9.0
532,Zakopane,2806,8.8,9.3
533,Zakopane,4634,9.2,8.9
534,Zakopane,1764,9.2,9.2
535,Zakopane,3748,9.2,9.5
536,Zakopane,5206,9.3,9.6
537,Zakopane,3614,8.2,8.4
538,Zakopane,995,8.2,8.8
539,Zakopane,4172,9.5,9.3
540,Zakopane,5316,8.5,9.8
541,Zakopane,3024,8.3,9.6
542,Zakopane,4039,9.2,9.0
543,Zakopane,4895,8.9,9.8
544,Zakopane,2254,8.8,8.9
545,Zakopane,3276,8.9,8.6
546,Zakopane,1134,8.6,9.3
547,Zakopane,1278,9.5,8.4
548,Zakopane,6997,9.6,8.6
549,Zakopane,4414,9.4,9.1
550,Zakopane,4414,8.5,9.3
551,Zakopane,4214,8.4,8.7
552,Zakopane,4031,9.2,8.6
553,Zakopane,6094,8.7,8.9
554,Zakopane,1591,9.2,8.5
555,Zakopane,2170,8.9,9.3
556,Zakopane,2104,9.3,8.1
557,Zakopane,4018,9.5,8.7
558,Zakopane,3670,9.6,9.5
559,Zakopane,3971,8.9,9.6
560,Zakopane,3416,9.3,8.6
561,Zakopane,2282,8.9,8.6
562,Zakopane,3766,9.2,9.4
563,Zakopane,3504,9.7,8.9
564,Zakopane,4200,9.6,9.1
565,Zakopane,2556,8.9,9.4
566,Zakopane,1309,8.7,9.3
567,"Krupówki, Zakopane",1806,9.2,8.1
568,Zakopane,4203,9.7,9.6
569,Zakopane,3930,9.7,8.7
570,"Krupówki, Zakopane",7994,9.1,9.1
571,Zakopane,3006,9.8,8.9
572,Zakopane,5124,8.6,9.7
573,Zakopane,1249,8.8,8.7
574,Zakopane,4214,9.3,9.2
575,Zakopane,1694,8.4,9.2
576,Zakopane,2351,8.5,8.1
577,Zakopane,3640,9.0,9.1
578,Zakopane,5675,9.3,8.7
579,Zakopane,2987,8.7,9.4
580,Zakopane,2674,8.6,9.1
581,Zakopane,6944,9.0,8.6
582,Zakopane,1514,8.5,8.6
583,Zakopane,2604,9.3,9.3
584,Zakopane,2244,8.3,8.9
585,Zakopane,2594,8.6,9.2
586,Zakopane,5544,9.4,9.4
587,Zakopane,1894,9.5,9.9
588,Zakopane,1670,8.5,8.2
589,Zakopane,2410,8.2,9.8
590,Zakopane,6730,8.7,9.2
591,Zakopane,5154,9.4,9.2
592,Zakopane,3423,8.9,9.5
593,Zakopane,3748,9.1,8.8
594,Zakopane,1624,9.4,9.1
595,Zakopane,4406,9.4,9.5
596,Zakopane,2870,7.9,9.0
597,Zakopane,3860,9.7,9.8
598,Zakopane,3024,8.5,9.4
599,Zakopane,3892,9.2,9.8
600,Zakopane,2463,9.0,9.6
601,Zakopane,5405,9.6,8.5
602,Zakopane,3520,8.7,9.7
603,Zakopane,2335,9.1,9.6
604,Zakopane,3699,9.0,8.5
605,Zakopane,2505,8.1,9.7
606,Zakopane,5964,9.0,8.4
607,Zakopane,2483,8.9,10.0
608,Zakopane,1400,9.4,9.2
609,Zakopane,3003,9.2,9.2
610,Zakopane,4418,8.9,8.6
611,Zakopane,3213,8.4,8.4
612,Zakopane,3542,9.2,8.0
613,Zakopane,2807,8.9,9.4
614,Zakopane,2282,9.1,8.1
615,Zakopane,3556,9.3,9.9
616,Zakopane,2985,9.7,8.8
617,Zakopane,1214,8.4,9.4
618,"Krupówki, Zakopane",2940,9.6,8.4
619,Zakopane,1831,9.4,9.3
620,Zakopane,2738,8.9,9.3
621,Zakopane,3310,9.4,9.7
622,Zakopane,2145,9.0,8.6
623,Zakopane,1463,8.9,9.4
624,Zakopane,2205,8.6,8.8
625,Zakopane,1484,9.0,9.5
626,Zakopane,2360,7.9,9.7
627,Zakopane,4725,9.8,9.4
628,Zakopane,2180,9.7,9.3
629,Zakopane,1164,9.7,9.3
630,Zakopane,1977,9.3,9.2
631,Zakopane,1799,8.6,9.6
632,Zakopane,3399,8.6,8.7
633,Zakopane,1778,9.5,9.2
634,Zakopane,2165,8.2,9.4
635,Zakopane,3439,8.6,9.7
636,Zakopane,2304,9.7,9.6
637,Zakopane,2608,8.3,10.0
638,Zakopane,2624,10.0,9.6
639,Zakopane,1283,9.3,9.3
640,Zakopane,1834,9.1,9.4
641,Zakopane,2534,8.7,9.3
642,Zakopane,1218,8.2,9.7
643,Zakopane,714,8.1,9.6
644,Zakopane,1085,9.5,9.4
645,Zakopane,2954,8.3,8.7
646,Zakopane,1064,9.8,9.7
647,Zakopane,1190,9.0,8.7
648,Zakopane,2114,9.4,9.8
649,Zakopane,1727,8.9,8.6
650,Zakopane,1144,9.1,9.2
651,Zakopane,2187,9.3,8.5
652,Zakopane,1400,9.6,9.7
653,Zakopane,2415,7.6,8.5
654,Zakopane,1633,8.4,9.8
655,"Krupówki, Zakopane",469,9.3,9.4
656,"Krupówki, Zakopane",3864,8.8,9.5
657,Zakopane,2459,9.3,9.2
658,Zakopane,2513,9.6,9.3
659,Zakopane,4180,9.6,9.3
660,Zakopane,3242,9.3,9.2
661,Zakopane,1414,9.1,9.9
662,Zakopane,1652,8.7,9.3
663,Zakopane,1772,9.4,8.2
664,Zakopane,1888,8.6,9.7
665,Zakopane,1274,9.1,8.4
666,Zakopane,4597,9.1,8.0
667,Zakopane,1449,8.9,9.8
668,"Krupówki, Zakopane",1687,9.2,8.5
669,Zakopane,1414,10.0,8.9
670,Zakopane,2502,9.3,8.8
671,Zakopane,938,9.4,9.3
672,Zakopane,1306,9.6,9.3
673,Zakopane,4496,9.2,8.8
674,Zakopane,2604,9.7,9.4
675,Zakopane,4214,9.5,8.2
676,Zakopane,4819,9.4,8.4
677,Zakopane,2079,8.8,8.8
678,Zakopane,1719,9.8,8.0
679,Zakopane,3407,9.1,9.3
680,"Krupówki, Zakopane",3488,9.8,8.8
681,Zakopane,4626,8.7,8.8
