,City,Cost,Rating,Comfort
0,Żywiec,1666,8.0,10.0
1,Żywiec,1085,9.9,9.2
2,Żywiec,1499,9.2,8.2
3,Żywiec,1330,7.4,8.3
4,Żywiec,910,8.2,9.6
5,Żywiec,1297,8.7,9.7
6,Żywiec,1463,9.6,8.7
7,Żywiec,1575,9.7,10.0
8,Żywiec,1750,8.8,9.0
9,Żywiec,1890,9.8,9.3
10,Żywiec,2094,8.9,8.7
11,Żywiec,1701,9.5,10.0
12,Żywiec,2800,8.6,8.9
13,Żywiec,1540,10.0,9.6
14,Żywiec,2380,8.7,9.7
15,Żywiec,2100,9.5,9.7
16,Żywiec,4550,9.8,10.0
17,Żywiec,3735,9.4,10.0
18,Żywiec,2982,10.0,9.6
19,Żywiec,7088,9.5,9.7
20,Żywiec,3783,9.7,9.7
21,Żywiec,3650,9.7,10.0
22,Żywiec,3581,9.8,8.3
23,Żywiec,4900,9.8,8.1
24,Żywiec,5978,7.8,8.1
25,Żywiec,4900,8.6,9.5
26,Żywiec,3360,8.7,9.2
27,Żywiec,3635,9.6,10.0
28,Żywiec,4345,9.2,10.0
29,Żywiec,1330,9.9,9.6
