,City,Cost,Rating,Comfort
0,Białka Tatrzańska,2276,9.9,10.0
1,Białka Tatrzańska,1607,9.3,9.5
2,Białka Tatrzańska,1995,9.5,9.6
3,Białka Tatrzańska,2380,9.1,9.1
4,Białka Tatrzańska,2640,10.0,10.0
5,Białka Tatrzańska,1410,8.8,8.7
6,Białka Tatrzańska,2933,9.1,9.1
7,Białka Tatrzańska,1694,9.3,9.5
8,Białka Tatrzańska,1750,8.9,8.8
9,Białka Tatrzańska,1634,9.0,8.9
10,Białka Tatrzańska,1821,9.2,8.9
11,Białka Tatrzańska,1984,9.0,8.8
12,Białka Tatrzańska,1278,10.0,10.0
13,Białka Tatrzańska,998,9.1,9.0
14,Białka Tatrzańska,2645,9.4,9.5
15,Białka Tatrzańska,774,9.4,9.4
16,Białka Tatrzańska,1523,9.5,9.7
17,Białka Tatrzańska,1428,8.8,8.6
18,Białka Tatrzańska,1823,9.0,9.3
19,Białka Tatrzańska,1680,9.5,9.6
20,Białka Tatrzańska,1886,9.4,9.3
21,Białka Tatrzańska,2800,9.2,9.1
22,Białka Tatrzańska,1898,9.3,9.5
23,Białka Tatrzańska,980,9.6,9.6
24,Białka Tatrzańska,840,10.0,10.0
25,Białka Tatrzańska,5689,9.1,9.1
26,Białka Tatrzańska,1178,9.0,8.7
27,Białka Tatrzańska,1488,9.3,9.4
28,Białka Tatrzańska,980,9.2,9.3
29,Białka Tatrzańska,2520,9.2,9.2
30,Białka Tatrzańska,1428,8.5,8.6
31,Białka Tatrzańska,3444,9.1,9.3
32,Białka Tatrzańska,1680,9.5,9.4
33,Białka Tatrzańska,1757,9.6,9.6
34,Białka Tatrzańska,1680,8.9,8.8
35,Białka Tatrzańska,2940,9.5,9.5
36,Białka Tatrzańska,1720,9.3,9.2
37,Białka Tatrzańska,1068,8.9,9.0
38,Białka Tatrzańska,1126,9.0,9.0
39,Białka Tatrzańska,2100,9.2,9.2
40,Białka Tatrzańska,2388,8.7,8.6
41,Białka Tatrzańska,2793,8.7,8.6
42,Białka Tatrzańska,1120,9.2,9.2
43,Białka Tatrzańska,903,9.3,9.6
44,Białka Tatrzańska,1460,9.2,9.0
45,Białka Tatrzańska,1978,9.2,9.4
46,Białka Tatrzańska,1400,8.7,8.9
47,Białka Tatrzańska,2303,10.0,10.0
48,Białka Tatrzańska,949,9.0,9.1
49,Białka Tatrzańska,1377,9.7,9.8
50,Białka Tatrzańska,1612,9.0,9.1
51,Białka Tatrzańska,17929,9.1,8.9
52,Białka Tatrzańska,5284,8.6,8.5
53,Białka Tatrzańska,3007,9.6,9.7
54,Białka Tatrzańska,1487,9.2,9.2
55,Białka Tatrzańska,1487,9.1,9.4
56,Białka Tatrzańska,1729,9.4,9.6
57,Białka Tatrzańska,1330,9.4,9.1
58,Białka Tatrzańska,1278,9.1,9.3
59,Białka Tatrzańska,882,8.6,8.9
