,City,Cost,Rating,Comfort
0,Brenna,1652,8.9,9.0
1,Brenna,3062,8.7,8.7
2,Brenna,1463,9.7,9.6
3,Brenna,1170,9.2,9.0
4,Brenna,1168,8.7,8.7
5,Brenna,1715,8.8,8.5
6,Brenna,2114,9.7,10.0
7,Brenna,1022,9.7,9.6
8,Brenna,12054,8.7,8.4
9,Brenna,2464,9.8,9.6
10,Brenna,1638,8.8,8.4
11,Brenna,1839,9.4,9.4
12,Brenna,1428,9.0,10.0
13,Brenna,1764,9.5,9.5
14,Brenna,3864,9.0,8.9
15,Brenna,1400,9.4,8.9
16,Brenna,1694,8.7,8.4
17,Brenna,5504,9.4,9.1
18,Brenna,2554,9.5,10.0
19,Brenna,1956,9.5,9.5
20,Brenna,1008,8.5,8.6
21,Brenna,3264,9.6,9.3
22,Brenna,1288,9.7,9.8
23,Brenna,7457,9.6,9.6
24,Brenna,5024,9.9,9.7
25,Brenna,5387,9.0,8.9
26,Brenna,2058,9.1,9.3
27,Brenna,2478,10.0,8.8
28,Brenna,2093,9.9,10.0
29,Brenna,1772,9.7,10.0
30,Brenna,3287,9.5,10.0
31,Brenna,3202,9.5,9.1
32,Brenna,3786,9.5,9.5
33,Brenna,3024,9.7,9.7
34,Brenna,2548,9.5,9.4
35,Brenna,5400,9.0,9.4
36,Brenna,9414,9.1,9.0
37,Brenna,3969,9.4,9.4
38,Brenna,2289,9.4,9.5
39,Brenna,2198,9.6,9.5
40,Brenna,2814,10.0,10.0
41,Brenna,2814,9.9,9.6
42,Brenna,2516,8.7,10.0
43,Brenna,2624,10.0,10.0
44,Brenna,3610,9.7,9.6
45,Brenna,4438,9.7,9.7
46,Brenna,3493,9.1,8.6
47,Brenna,7378,9.6,9.8
48,Brenna,4564,9.6,9.5
49,Brenna,4198,9.5,9.3
50,Brenna,2534,9.8,10.0
51,Brenna,5355,8.9,8.9
