,City,Cost,Rating,Comfort
0,Krynica-Zdrój,1327,8.2,8.6
1,Krynica-Zdrój,2404,8.6,10.0
2,Krynica-Zdrój,2111,10.0,10.0
3,Krynica-Zdrój,1069,9.0,9.6
4,Krynica-Zdrój,2622,9.4,9.5
5,Krynica-Zdrój,1829,9.4,10.0
6,Krynica-Zdrój,1277,9.0,8.9
7,Krynica-Zdrój,2628,9.2,9.4
8,Krynica-Zdrój,2218,8.3,8.5
9,Krynica-Zdrój,984,9.4,9.2
10,Krynica-Zdrój,985,8.7,9.5
11,Krynica-Zdrój,2520,9.2,8.6
12,Krynica-Zdrój,3309,9.2,10.0
13,Krynica-Zdrój,1966,8.6,8.0
14,Krynica-Zdrój,2099,10.0,9.2
15,Krynica-Zdrój,2203,8.1,8.9
16,Krynica-Zdrój,1355,9.4,9.1
17,Krynica-Zdrój,1476,9.1,8.0
18,Krynica-Zdrój,932,9.1,9.6
19,Krynica-Zdrój,1018,8.4,9.7
20,Krynica-Zdrój,1450,9.5,8.8
21,Krynica-Zdrój,1126,9.6,9.6
22,Krynica-Zdrój,2301,8.7,9.0
23,Krynica-Zdrój,1746,9.1,8.4
24,Krynica-Zdrój,3041,9.2,8.6
25,Krynica-Zdrój,4183,8.2,8.3
26,Krynica-Zdrój,2316,8.7,8.9
27,Krynica-Zdrój,3284,7.0,10.0
28,Krynica-Zdrój,1646,8.8,8.1
29,Krynica-Zdrój,1266,8.7,9.0
30,Krynica-Zdrój,2141,10.0,9.6
31,Krynica-Zdrój,2088,8.0,9.1
32,Krynica-Zdrój,4610,8.5,9.5
33,Krynica-Zdrój,1371,8.1,9.0
34,Krynica-Zdrój,2258,9.1,10.0
35,Krynica-Zdrój,1932,9.4,9.3
36,Krynica-Zdrój,2306,9.3,9.2
37,Krynica-Zdrój,1240,9.6,9.1
38,Krynica-Zdrój,2176,8.9,8.6
39,Krynica-Zdrój,2176,9.7,8.3
40,Krynica-Zdrój,1685,9.3,9.3
41,Krynica-Zdrój,2687,9.0,8.8
42,Krynica-Zdrój,3549,9.0,9.5
43,Krynica-Zdrój,2266,9.3,9.0
44,Krynica-Zdrój,1892,8.3,8.9
45,Krynica-Zdrój,4846,9.2,9.9
46,Krynica-Zdrój,2227,9.0,8.8
47,Krynica-Zdrój,1239,9.5,8.9
48,Krynica-Zdrój,1114,9.2,8.8
49,Krynica-Zdrój,1702,9.3,8.1
