,City,Cost,Rating,Comfort
0,Kudowa-Zdrój,1778,8.7,8.7
1,Kudowa-Zdrój,3780,10.0,10.0
2,Kudowa-Zdrój,3021,8.4,8.4
3,Kudowa-Zdrój,2583,10.0,10.0
4,Kudowa-Zdrój,2583,9.5,10.0
5,Kudowa-Zdrój,2513,8.6,8.3
6,Kudowa-Zdrój,2520,9.4,9.3
7,Kudowa-Zdrój,1295,9.5,9.5
8,Kudowa-Zdrój,1316,9.5,9.3
9,Kudowa-Zdrój,1201,8.9,8.8
10,Kudowa-Zdrój,2051,9.5,9.4
11,Kudowa-Zdrój,1449,8.8,8.8
12,Kudowa-Zdrój,2513,8.6,8.7
13,Kudowa-Zdrój,1386,8.9,8.9
14,Kudowa-Zdrój,3791,10.0,10.0
15,Kudowa-Zdrój,2609,9.4,9.6
16,Kudowa-Zdrój,3423,8.7,8.9
17,Kudowa-Zdrój,2373,8.7,9.0
18,Kudowa-Zdrój,4341,8.9,9.0
19,Kudowa-Zdrój,1736,9.0,8.9
20,Kudowa-Zdrój,4193,9.2,9.1
21,Kudowa-Zdrój,2363,10.0,10.0
22,Kudowa-Zdrój,3430,5.9,10.0
23,Kudowa-Zdrój,1246,10.0,9.2
24,Kudowa-Zdrój,2394,9.3,9.4
25,Kudowa-Zdrój,3664,9.0,9.4
26,Kudowa-Zdrój,1460,9.4,9.3
27,Kudowa-Zdrój,4153,9.2,10.0
28,Kudowa-Zdrój,1183,10.0,9.4
29,Kudowa-Zdrój,2303,9.3,8.8
30,Kudowa-Zdrój,1743,8.9,8.0
31,Kudowa-Zdrój,1633,8.4,8.8
32,Kudowa-Zdrój,2941,8.8,8.0
33,Kudowa-Zdrój,1323,8.2,9.0
34,Kudowa-Zdrój,2443,9.2,9.8
35,Kudowa-Zdrój,1253,9.7,9.2
36,Kudowa-Zdrój,2513,9.1,9.4
37,Kudowa-Zdrój,1484,9.4,9.7
38,Kudowa-Zdrój,1526,9.4,8.8
39,Kudowa-Zdrój,2583,8.8,9.8
40,Kudowa-Zdrój,1813,9.6,9.3
41,Kudowa-Zdrój,2716,9.5,9.6
42,Kudowa-Zdrój,2153,9.5,10.0
43,Kudowa-Zdrój,4053,9.4,9.9
44,Kudowa-Zdrój,2926,9.9,9.6
45,Kudowa-Zdrój,1900,9.6,9.5
46,Kudowa-Zdrój,2933,9.5,8.6
47,Kudowa-Zdrój,2583,8.7,8.5
48,Kudowa-Zdrój,4233,8.4,9.6
49,Kudowa-Zdrój,2723,9.7,9.2
50,Kudowa-Zdrój,2933,9.3,8.1
51,Kudowa-Zdrój,1743,7.9,9.5
52,Kudowa-Zdrój,2625,8.3,10.0
53,Kudowa-Zdrój,1668,9.4,8.1
54,Kudowa-Zdrój,1545,9.0,9.0
55,Kudowa-Zdrój,3512,8.2,9.2
56,Kudowa-Zdrój,2296,9.1,9.7
57,Kudowa-Zdrój,2793,9.2,9.7
58,Kudowa-Zdrój,2163,9.6,9.2
59,Kudowa-Zdrój,1883,9.8,9.0
60,Kudowa-Zdrój,2343,9.4,8.8
61,Kudowa-Zdrój,2143,9.0,9.1
62,Kudowa-Zdrój,2583,8.0,10.0
63,Kudowa-Zdrój,2884,8.1,9.7
64,Kudowa-Zdrój,1638,8.9,8.6
65,Kudowa-Zdrój,3003,9.0,8.9
66,Kudowa-Zdrój,2626,10.0,8.7
67,Kudowa-Zdrój,2023,9.7,9.6
68,Kudowa-Zdrój,2450,8.6,9.4
69,Kudowa-Zdrój,1852,9.1,9.1
70,Kudowa-Zdrój,2163,9.2,8.8
71,Kudowa-Zdrój,2289,9.6,9.5
72,Kudowa-Zdrój,2491,9.3,10.0
73,Kudowa-Zdrój,1799,9.2,8.8
74,Kudowa-Zdrój,2373,9.5,9.5
75,Kudowa-Zdrój,2954,7.6,9.4
76,Kudowa-Zdrój,2086,9.0,8.6
77,Kudowa-Zdrój,3038,9.0,9.6
78,Kudowa-Zdrój,2191,8.7,9.8
79,Kudowa-Zdrój,2491,9.5,10.0
80,Kudowa-Zdrój,2854,9.6,8.3
81,Kudowa-Zdrój,2205,8.4,8.8
82,Kudowa-Zdrój,3563,9.2,8.8
83,Kudowa-Zdrój,2131,9.8,10.0
84,Kudowa-Zdrój,2723,6.2,10.0
85,Kudowa-Zdrój,1463,10.0,9.3
86,Kudowa-Zdrój,3549,8.4,9.7
87,Kudowa-Zdrój,2933,8.8,9.5
88,Kudowa-Zdrój,5037,9.0,9.5
89,Kudowa-Zdrój,3683,9.0,9.3
90,Kudowa-Zdrój,2583,9.6,10.0
91,Kudowa-Zdrój,2331,9.5,8.8
92,Kudowa-Zdrój,2793,9.1,8.6
93,Kudowa-Zdrój,4599,9.5,8.7
94,Kudowa-Zdrój,2016,9.4,8.8
95,Kudowa-Zdrój,4215,9.7,9.7
96,Kudowa-Zdrój,3633,9.4,8.9
97,Kudowa-Zdrój,2373,9.0,10.0
98,Kudowa-Zdrój,3791,6.9,9.9
99,Kudowa-Zdrój,3791,8.8,9.2
100,Kudowa-Zdrój,3633,8.3,9.3
101,Kudowa-Zdrój,4860,9.0,9.0
102,Kudowa-Zdrój,4603,8.6,10.0
103,Kudowa-Zdrój,4592,9.5,10.0
104,Kudowa-Zdrój,3563,9.2,9.3
105,Kudowa-Zdrój,4046,9.7,8.6
106,Kudowa-Zdrój,4263,9.9,10.0
107,Kudowa-Zdrój,3519,8.8,8.1
108,Kudowa-Zdrój,3127,9.1,9.6
109,Kudowa-Zdrój,2911,9.2,9.8
110,Kudowa-Zdrój,2863,7.0,9.8
111,Kudowa-Zdrój,4303,8.3,9.5
112,Kudowa-Zdrój,1463,9.0,9.4
113,Kudowa-Zdrój,3267,8.0,9.3
114,Kudowa-Zdrój,3003,7.0,9.2
115,Kudowa-Zdrój,2723,9.1,8.3
116,Kudowa-Zdrój,3150,8.1,8.2
117,Kudowa-Zdrój,4026,10.0,9.6
