,City,Cost,Rating,Comfort
0,Nowy Targ,980,8.4,8.3
1,Nowy Targ,1121,8.7,8.7
2,Nowy Targ,1400,8.7,8.8
3,Nowy Targ,1162,9.3,9.2
4,Nowy Targ,3970,9.0,9.3
5,Nowy Targ,1662,8.8,8.9
6,Nowy Targ,1983,8.4,8.3
7,Nowy Targ,1256,8.2,8.1
8,Nowy Targ,1750,9.1,9.0
9,Nowy Targ,1050,9.4,9.6
10,Nowy Targ,2029,9.0,9.0
11,Nowy Targ,1715,9.6,9.8
12,Nowy Targ,1618,8.8,8.7
13,Nowy Targ,1565,9.7,9.9
14,Nowy Targ,1750,10.0,10.0
15,Nowy Targ,1260,10.0,10.0
16,Nowy Targ,1642,9.8,10.0
17,Nowy Targ,2023,9.8,9.7
18,Nowy Targ,1701,9.4,9.7
19,Nowy Targ,2298,9.9,10.0
20,Nowy Targ,1950,9.2,9.5
21,Nowy Targ,1960,10.0,10.0
22,Nowy Targ,1673,9.4,9.4
23,Nowy Targ,2155,9.0,9.1
24,Nowy Targ,2450,9.9,10.0
25,Nowy Targ,3052,9.2,9.1
26,Nowy Targ,1071,9.2,9.2
27,Nowy Targ,1400,9.5,8.8
28,Nowy Targ,2471,9.4,8.8
29,Nowy Targ,1330,9.6,9.7
30,Nowy Targ,1642,9.5,9.4
31,Nowy Targ,1120,10.0,10.0
32,Nowy Targ,2240,9.0,9.1
33,Nowy Targ,1575,8.8,9.7
34,Nowy Targ,2079,9.7,9.7
35,Nowy Targ,4820,9.9,9.9
36,Nowy Targ,1463,9.9,10.0
37,Nowy Targ,4373,9.5,9.6
38,Nowy Targ,5313,9.2,9.5
39,Nowy Targ,1540,9.7,9.4
40,Nowy Targ,2499,9.4,9.4
41,Nowy Targ,1883,9.3,9.1
42,Nowy Targ,2800,9.5,9.3
43,Nowy Targ,3748,9.7,9.7
44,Nowy Targ,1540,10.0,10.0
45,Nowy Targ,3110,9.9,10.0
46,Nowy Targ,1674,8.5,8.0
47,Nowy Targ,2870,9.6,9.5
48,Nowy Targ,2890,9.3,9.1
49,Nowy Targ,5831,9.8,10.0
50,Nowy Targ,1512,9.5,9.4
51,Nowy Targ,2048,10.0,10.0
52,Nowy Targ,2184,8.9,8.6
53,Nowy Targ,4536,8.4,9.5
54,Nowy Targ,2843,9.5,10.0
55,Nowy Targ,6615,9.3,9.1
56,Nowy Targ,5950,9.7,9.8
57,Nowy Targ,3570,8.2,9.3
58,Nowy Targ,1860,9.3,9.8
59,Nowy Targ,11305,9.8,9.2
60,Nowy Targ,2290,9.7,9.2
61,Nowy Targ,3850,9.3,9.4
62,Nowy Targ,2940,9.6,9.6
63,Nowy Targ,2100,9.3,8.9
