,City,Cost,Rating,Comfort
0,Szczawnica,3416,8.7,8.8
1,Szczawnica,994,9.3,9.2
2,Szczawnica,4545,10.0,10.0
3,Szczawnica,1239,9.0,8.8
4,Szczawnica,2481,8.6,8.7
5,Szczawnica,3124,8.5,8.5
6,Szczawnica,980,9.1,8.5
7,Szczawnica,3856,9.1,9.3
8,Szczawnica,3847,9.2,9.2
9,Szczawnica,3584,9.4,9.4
10,Szczawnica,1650,8.9,8.7
11,Szczawnica,1827,9.1,9.1
12,Szczawnica,1976,10.0,10.0
13,Szczawnica,1246,9.5,9.4
14,Szczawnica,2279,9.7,9.8
15,Szczawnica,3080,8.8,8.9
16,Szczawnica,1509,9.4,9.5
17,Szczawnica,2747,9.3,9.4
18,Szczawnica,3606,8.6,8.6
19,Szczawnica,2985,9.4,9.3
20,Szczawnica,2730,9.1,9.1
21,Szczawnica,2271,8.6,8.8
22,Szczawnica,1267,8.5,8.5
23,Szczawnica,1804,9.3,9.4
24,Szczawnica,3122,9.9,9.7
25,Szczawnica,2355,8.8,8.5
26,Szczawnica,1781,7.2,9.8
27,Szczawnica,3298,9.5,9.8
28,Szczawnica,2702,7.5,8.5
29,Szczawnica,2279,9.7,8.0
30,Szczawnica,1382,8.6,9.0
31,Szczawnica,2961,8.2,9.0
32,Szczawnica,1666,9.1,9.3
33,Szczawnica,2002,9.4,8.9
34,Szczawnica,5739,9.0,9.1
35,Szczawnica,3080,8.8,9.8
36,Szczawnica,1176,9.3,9.0
37,Szczawnica,1638,9.7,9.6
38,Szczawnica,1687,9.1,8.3
39,Szczawnica,1673,9.5,9.2
40,Szczawnica,2982,8.5,9.4
41,Szczawnica,1890,9.4,9.8
42,Szczawnica,2303,9.5,9.6
43,Szczawnica,1719,9.5,8.3
44,Szczawnica,2282,9.4,9.5
45,Szczawnica,2002,8.4,8.7
46,Szczawnica,2149,9.3,9.8
47,Szczawnica,4228,8.8,8.1
48,Szczawnica,2996,9.7,9.3
49,Szczawnica,3942,8.0,9.1
50,Szczawnica,2190,9.2,8.5
51,Szczawnica,2446,9.2,9.4
52,Szczawnica,2816,8.2,9.3
53,Szczawnica,3883,9.2,8.8
54,Szczawnica,2985,9.4,10.0
55,Szczawnica,2310,8.9,8.6
56,Szczawnica,6118,9.8,9.2
57,Szczawnica,3462,8.8,8.6
58,Szczawnica,2583,9.5,9.1
59,Szczawnica,2506,8.9,9.0
60,Szczawnica,2730,9.1,9.5
61,Szczawnica,2716,9.0,9.5
62,Szczawnica,2114,7.9,9.2
63,Szczawnica,1736,9.3,9.6
64,Szczawnica,3234,9.6,9.5
65,Szczawnica,2374,9.2,9.2
66,Szczawnica,2800,8.9,9.3
67,Szczawnica,3192,9.5,9.4
68,Szczawnica,1246,9.2,10.0
69,Szczawnica,2772,9.3,10.0
70,Szczawnica,3542,9.5,9.7
71,Szczawnica,9142,10.0,8.9
72,Szczawnica,4196,10.0,9.1
73,Szczawnica,4116,9.8,9.3
74,Szczawnica,4578,8.9,9.3
75,Szczawnica,2702,8.6,9.7
76,Szczawnica,2142,9.2,10.0
77,Szczawnica,2842,9.1,9.6
78,Szczawnica,4130,9.9,9.2
79,Szczawnica,3122,9.8,9.5
80,Szczawnica,2525,9.4,8.6
81,Szczawnica,3424,9.3,9.8
82,Szczawnica,3328,9.7,9.8
83,Szczawnica,2492,8.4,9.4
84,Szczawnica,2842,9.5,8.4
85,Szczawnica,3298,9.6,9.7
86,Szczawnica,4459,9.8,9.1
87,Szczawnica,3080,8.7,9.3
88,Szczawnica,2842,9.9,8.6
89,Szczawnica,7056,9.3,8.2
90,Szczawnica,2212,9.3,9.1
91,Szczawnica,2506,8.7,9.6
92,Szczawnica,4568,8.1,9.2
93,Szczawnica,2576,7.7,9.7
94,Szczawnica,3192,9.3,8.4
95,Szczawnica,2702,9.5,8.7
96,Szczawnica,2022,8.9,9.6
97,Szczawnica,1792,9.9,9.0
98,Szczawnica,2156,8.2,9.7
99,Szczawnica,1442,8.0,9.7
100,Szczawnica,1456,8.5,9.2
101,Szczawnica,2382,8.7,9.4
102,Szczawnica,1456,9.5,9.4
103,Szczawnica,2842,9.1,9.8
104,Szczawnica,1666,9.5,8.4
105,Szczawnica,1869,9.7,9.2
106,Szczawnica,4592,9.2,9.6
107,Szczawnica,2877,9.2,9.1
108,Szczawnica,1862,9.5,9.5
109,Szczawnica,3472,9.8,9.5
110,Szczawnica,2303,8.6,9.1
111,Szczawnica,5320,6.4,10.0
112,Szczawnica,1498,9.1,9.5
113,Szczawnica,1638,9.3,9.4
114,Szczawnica,3399,9.4,9.4
115,Szczawnica,1862,9.5,8.8
