,City,Cost,Rating,Comfort
0,Szczyrk,1291,9.7,8.3
1,Szczyrk,951,7.7,10.0
2,Szczyrk,1739,10.0,8.5
3,Szczyrk,1069,8.6,9.8
4,Szczyrk,3255,9.8,10.0
5,Szczyrk,4643,10.0,9.7
6,Szczyrk,1680,9.5,8.9
7,Szczyrk,5598,8.8,8.6
8,Szczyrk,1652,5.3,9.2
9,Szczyrk,1071,8.5,8.7
10,Szczyrk,3500,9.1,9.0
11,Szczyrk,1260,8.6,10.0
12,Szczyrk,2608,9.2,9.1
13,Szczyrk,1115,10.0,9.3
14,Szczyrk,2846,9.3,8.6
15,Szczyrk,1190,9.3,8.5
16,Szczyrk,1781,8.8,8.6
17,Szczyrk,1328,8.9,9.6
18,Szczyrk,980,8.4,9.1
19,Szczyrk,4206,9.7,10.0
20,Szczyrk,1431,9.1,9.7
21,Szczyrk,3010,10.0,8.1
22,Szczyrk,2254,9.5,10.0
23,Szczyrk,2174,8.1,9.7
24,Szczyrk,3715,9.9,9.7
25,Szczyrk,2846,9.8,9.7
26,Szczyrk,2349,9.5,9.1
27,Szczyrk,1538,9.8,9.7
28,Szczyrk,1082,9.2,8.9
29,Szczyrk,9016,9.8,8.3
30,Szczyrk,1533,8.6,8.9
31,Szczyrk,7263,8.2,8.1
32,Szczyrk,3790,9.1,9.8
33,Szczyrk,2614,8.4,8.7
34,Szczyrk,2066,9.6,9.3
35,Szczyrk,1011,8.6,8.9
36,Szczyrk,2800,9.1,8.3
37,Szczyrk,2600,8.6,8.8
38,Szczyrk,1910,8.3,9.3
39,Szczyrk,1823,8.9,9.6
40,Szczyrk,4366,9.4,9.5
41,Szczyrk,1755,9.5,9.3
42,Szczyrk,1067,9.5,9.5
43,Szczyrk,2831,9.2,9.8
44,Szczyrk,2352,9.4,10.0
45,Szczyrk,2100,9.8,10.0
46,Szczyrk,2999,9.8,9.6
47,Szczyrk,1624,9.9,9.7
48,Szczyrk,3874,9.5,9.9
49,Szczyrk,6386,9.8,9.8
50,Szczyrk,2736,9.9,9.7
51,Szczyrk,3221,9.7,9.2
52,Szczyrk,3536,9.7,9.4
53,Szczyrk,4219,9.3,9.6
54,Szczyrk,2929,8.9,9.8
55,Szczyrk,4815,9.7,9.4
56,Szczyrk,2131,9.6,9.7
57,Szczyrk,3584,9.4,9.2
58,Szczyrk,4493,9.5,9.6
59,Szczyrk,5183,9.4,8.9
60,Szczyrk,3898,9.1,8.5
61,Szczyrk,5362,8.9,9.3
62,Szczyrk,2061,8.2,9.7
63,Szczyrk,5600,7.6,9.1
64,Szczyrk,4712,9.3,9.3
65,Szczyrk,1512,9.6,9.3
66,Szczyrk,1704,9.0,8.8
67,Szczyrk,2430,9.3,9.1
68,Szczyrk,3156,9.3,9.3
69,Szczyrk,1807,9.5,9.8
70,Szczyrk,1400,8.7,10.0
71,Szczyrk,1134,9.2,9.3
72,Szczyrk,2030,9.8,8.9
73,Szczyrk,3053,10.0,8.9
74,Szczyrk,1190,9.2,9.4
75,Szczyrk,2708,9.1,9.6
76,Szczyrk,5050,8.9,9.0
77,Szczyrk,1050,9.3,9.5
78,Szczyrk,1641,9.7,9.6
79,Szczyrk,1874,9.6,8.5
80,Szczyrk,2870,9.5,10.0
81,Szczyrk,1937,9.3,9.0
82,Szczyrk,1711,8.8,8.6
83,Szczyrk,1960,10.0,9.3
84,Szczyrk,2287,8.9,9.6
85,Szczyrk,1610,8.8,9.9
86,Szczyrk,1221,9.5,9.1
87,Szczyrk,2254,9.5,9.0
88,Szczyrk,2044,9.7,9.8
89,Szczyrk,1330,9.0,8.6
90,Szczyrk,3190,9.0,9.7
91,Szczyrk,4385,9.7,9.4
92,Szczyrk,2534,8.7,8.6
93,Szczyrk,1421,9.7,9.3
94,Szczyrk,1291,9.2,9.4
95,Szczyrk,2590,7.5,9.8
96,Szczyrk,1874,8.7,9.8
97,Szczyrk,2677,9.3,9.3
98,Szczyrk,2215,9.0,9.0
99,Szczyrk,1680,9.9,9.9
100,Szczyrk,1361,9.8,9.7
101,Szczyrk,1960,9.2,10.0
102,Szczyrk,2551,9.4,9.3
103,Szczyrk,3331,9.8,9.2
104,Szczyrk,8015,9.9,9.6
105,Szczyrk,1777,9.0,9.8
106,Szczyrk,7450,9.1,10.0
107,Szczyrk,3924,8.9,9.6
108,Szczyrk,3589,9.4,9.5
109,Szczyrk,5195,9.5,9.6
110,Szczyrk,7341,9.7,9.8
111,Szczyrk,4358,9.7,9.6
112,Szczyrk,6986,8.8,9.6
113,Szczyrk,5921,9.7,9.1
114,Szczyrk,4638,9.5,9.4
115,Szczyrk,3759,9.4,9.4
116,Szczyrk,3669,9.5,9.2
117,Szczyrk,2607,9.3,10.0
118,Szczyrk,4482,9.3,10.0
119,Szczyrk,3825,9.2,9.8
120,Szczyrk,2802,9.2,9.9
121,Szczyrk,4055,9.3,9.5
122,Szczyrk,1456,9.7,9.7
123,Szczyrk,3184,9.6,9.4
124,Szczyrk,1576,9.7,9.2
125,Szczyrk,3669,9.3,8.3
126,Szczyrk,5383,9.4,9.4
127,Szczyrk,3742,9.2,8.5
128,Szczyrk,5013,9.2,9.2
129,Szczyrk,2866,8.4,9.1
130,Szczyrk,4320,9.3,9.3
131,Szczyrk,4937,8.1,9.5
132,Szczyrk,1922,9.2,9.7
133,Szczyrk,2775,9.0,8.5
134,Szczyrk,2701,9.4,8.6
135,Szczyrk,2447,9.4,9.4
136,Szczyrk,2291,9.8,9.5
137,Szczyrk,1803,8.5,9.8
138,Szczyrk,1898,8.4,9.1
139,Szczyrk,2240,9.5,9.9
140,Szczyrk,1474,9.5,9.0
141,Szczyrk,2065,9.6,9.3
142,Szczyrk,4844,9.1,8.1
143,Szczyrk,1434,9.9,9.3
144,Szczyrk,2491,7.7,9.2
145,Szczyrk,2761,9.1,9.6
146,Szczyrk,1260,9.5,9.6
147,Szczyrk,2083,8.0,8.9
148,Szczyrk,1991,9.4,8.3
149,Szczyrk,1012,9.2,9.5
150,Szczyrk,2831,9.3,8.9
151,Szczyrk,2171,9.5,8.5
152,Szczyrk,1352,9.0,9.2
153,Szczyrk,2025,8.4,10.0
154,Szczyrk,2400,9.7,10.0
155,Szczyrk,1991,8.7,9.3
156,Szczyrk,1260,8.8,10.0
157,Szczyrk,1294,9.2,10.0
158,Szczyrk,1152,10.0,8.3
159,Szczyrk,1641,10.0,10.0
160,Szczyrk,1081,9.3,9.8
161,Szczyrk,2173,9.9,10.0
162,Szczyrk,4366,9.8,10.0
163,Szczyrk,9131,8.7,9.1
164,Szczyrk,1417,10.0,10.0
165,Szczyrk,3471,8.4,10.0
166,Szczyrk,3881,9.7,10.0
167,Szczyrk,8361,8.9,10.0
168,Szczyrk,3000,9.9,10.0
169,Szczyrk,10102,9.4,10.0
170,Szczyrk,3881,10.0,10.0
171,Szczyrk,3514,9.7,10.0
172,Szczyrk,21031,10.0,8.8
173,Szczyrk,3898,9.2,10.0
174,Szczyrk,4553,9.6,9.5
175,Szczyrk,4686,10.0,10.0
176,Szczyrk,3568,9.7,9.5
177,Szczyrk,3928,10.0,10.0
178,Szczyrk,3863,8.5,10.0
179,Szczyrk,3969,9.6,8.8
180,Szczyrk,2113,8.8,9.9
181,Szczyrk,4009,9.9,9.2
182,Szczyrk,4381,9.5,9.5
183,Szczyrk,5118,10.0,10.0
184,Szczyrk,7891,10.0,9.7
185,Szczyrk,6300,8.7,10.0
186,Szczyrk,2205,9.7,9.8
187,Szczyrk,6424,9.5,9.9
188,Szczyrk,16531,9.8,10.0
189,Szczyrk,2663,9.8,9.7
190,Szczyrk,1956,9.5,10.0
191,Szczyrk,4931,9.8,9.8
192,Szczyrk,3789,9.7,9.4
193,Szczyrk,5806,9.7,9.9
194,Szczyrk,3006,9.6,10.0
195,Szczyrk,2993,9.8,9.9
196,Szczyrk,2880,9.7,9.5
197,Szczyrk,2724,10.0,9.7
198,Szczyrk,3284,9.7,9.7
199,Szczyrk,4231,9.5,9.5
200,Szczyrk,2651,10.0,10.0
201,Szczyrk,4550,9.7,9.8
202,Szczyrk,3698,9.3,9.9
203,Szczyrk,4748,9.9,9.8
204,Szczyrk,2831,9.6,9.4
205,Szczyrk,3611,9.0,9.2
206,Szczyrk,4088,9.9,9.8
207,Szczyrk,2131,7.8,9.4
208,Szczyrk,2831,9.7,9.8
209,Szczyrk,1991,9.5,9.5
210,Szczyrk,3881,9.7,9.7
211,Szczyrk,1921,9.2,9.6
212,Szczyrk,9087,8.8,9.8
213,Szczyrk,4493,9.5,9.4
214,Szczyrk,3524,9.4,9.9
215,Szczyrk,4081,9.8,9.7
216,Szczyrk,5647,9.0,9.8
217,Szczyrk,4615,9.7,9.6
218,Szczyrk,12809,9.2,9.5
219,Szczyrk,3600,9.4,9.9
220,Szczyrk,6368,9.3,9.7
221,Szczyrk,2600,9.4,10.0
222,Szczyrk,4480,9.3,9.5
223,Szczyrk,3781,9.8,9.3
224,Szczyrk,3090,9.5,9.8
225,Szczyrk,3150,9.5,9.2
226,Szczyrk,2831,9.5,9.2
227,Szczyrk,5743,9.4,9.1
228,Szczyrk,4618,9.5,8.6
229,Szczyrk,2814,9.4,8.4
230,Szczyrk,3006,9.3,9.0
231,Szczyrk,2538,9.6,9.0
232,Szczyrk,6111,8.9,8.3
233,Szczyrk,2660,9.3,8.7
234,Szczyrk,2535,9.3,9.5
235,Szczyrk,2831,8.8,9.9
236,Szczyrk,2643,8.7,9.3
237,Szczyrk,9131,9.2,9.2
238,Szczyrk,1501,9.3,9.7
239,Szczyrk,4200,8.8,9.5
240,Szczyrk,2134,8.4,9.4
241,Szczyrk,1015,9.3,8.8
242,Szczyrk,5118,9.8,9.6
243,Szczyrk,2280,9.2,9.5
244,Szczyrk,15200,9.2,9.4
245,Szczyrk,2438,9.8,9.4
246,Szczyrk,1253,9.2,9.1
247,Szczyrk,4779,9.6,9.3
248,Szczyrk,2194,8.7,9.5
249,Szczyrk,1292,9.1,8.6
250,Szczyrk,2226,9.5,9.5
251,Szczyrk,2493,9.5,9.2
252,Szczyrk,1921,9.2,9.3
253,Szczyrk,1431,9.2,9.3
254,Szczyrk,2140,9.3,9.5
255,Szczyrk,1426,9.5,9.1
256,Szczyrk,1151,9.2,10.0
257,Szczyrk,2880,9.7,10.0
258,Szczyrk,2482,9.2,9.2
259,Szczyrk,2002,9.4,10.0
260,Szczyrk,2551,9.0,10.0
261,Szczyrk,984,9.6,8.8
262,Szczyrk,2275,9.1,9.8
263,Szczyrk,2411,9.0,10.0
264,Szczyrk,2006,8.0,9.8
265,Szczyrk,3443,9.7,10.0
266,Szczyrk,2761,9.3,9.5
267,Szczyrk,1452,9.5,9.3
268,Szczyrk,7811,10.0,10.0
269,Szczyrk,3559,8.5,9.6
270,Szczyrk,3811,9.5,9.5
271,Szczyrk,3869,8.7,9.7
272,Szczyrk,4271,9.5,9.8
273,Szczyrk,3220,10.0,10.0
274,Szczyrk,3181,9.4,10.0
275,Szczyrk,3524,9.0,9.8
276,Szczyrk,2799,9.4,10.0
277,Szczyrk,2171,9.7,9.6
278,Szczyrk,11371,9.8,9.4
279,Szczyrk,3821,9.8,9.5
280,Szczyrk,3950,9.9,9.6
281,Szczyrk,2271,10.0,9.1
282,Szczyrk,5141,9.9,9.5
283,Szczyrk,2929,9.5,9.1
284,Szczyrk,4756,10.0,10.0
285,Szczyrk,7591,8.9,9.9
286,Szczyrk,5569,9.7,9.9
287,Szczyrk,3297,9.4,9.8
288,Szczyrk,2694,9.3,9.4
289,Szczyrk,3753,9.2,8.9
290,Szczyrk,4945,8.9,8.8
291,Szczyrk,7379,8.6,9.0
292,Szczyrk,3461,9.6,9.2
293,Szczyrk,4248,9.6,9.8
294,Szczyrk,4105,9.7,8.9
295,Szczyrk,1151,9.4,9.5
296,Szczyrk,4435,9.4,10.0
297,Szczyrk,4248,8.9,9.8
298,Szczyrk,4248,9.0,9.6
299,Szczyrk,3446,9.4,8.8
300,Szczyrk,4353,9.2,10.0
301,Szczyrk,3842,9.4,9.7
302,Szczyrk,4585,9.2,9.2
303,Szczyrk,4220,9.1,9.7
304,Szczyrk,4163,9.5,9.3
305,Szczyrk,3841,9.7,9.5
306,Szczyrk,3193,9.5,10.0
307,Szczyrk,4133,7.5,9.7
308,Szczyrk,3731,9.4,10.0
309,Szczyrk,3600,9.4,9.8
310,Szczyrk,5823,9.3,9.8
311,Szczyrk,3596,9.9,9.9
312,Szczyrk,3670,9.3,9.9
313,Szczyrk,3024,9.6,9.8
314,Szczyrk,4445,9.5,9.9
315,Szczyrk,3842,9.4,9.8
316,Szczyrk,4861,10.0,9.9
317,Szczyrk,4934,9.7,9.5
318,Szczyrk,3055,9.7,9.8
319,Szczyrk,4095,9.8,9.6
320,Szczyrk,1921,9.9,9.3
321,Szczyrk,3200,9.9,9.6
322,Szczyrk,3623,9.7,9.7
323,Szczyrk,2402,9.7,9.6
324,Szczyrk,3824,9.9,9.5
325,Szczyrk,2621,9.2,9.8
326,Szczyrk,3197,9.7,9.8
327,Szczyrk,9322,9.7,9.4
328,Szczyrk,4536,9.5,9.6
329,Szczyrk,5131,9.4,10.0
330,Szczyrk,4465,9.7,9.7
331,Szczyrk,4070,9.4,10.0
332,Szczyrk,4351,9.4,9.8
333,Szczyrk,1851,9.6,9.6
334,Szczyrk,4567,9.7,9.9
335,Szczyrk,6331,9.5,9.6
336,Szczyrk,1970,9.3,8.6
337,Szczyrk,2831,9.3,10.0
338,Szczyrk,5250,9.6,9.1
339,Szczyrk,4089,9.7,9.3
340,Szczyrk,4231,7.9,9.4
341,Szczyrk,3330,9.3,8.1
342,Szczyrk,4970,9.3,9.2
343,Szczyrk,6576,9.8,10.0
344,Szczyrk,2550,8.2,9.6
345,Szczyrk,12231,9.8,10.0
346,Szczyrk,2450,9.1,9.6
347,Szczyrk,3996,9.4,9.6
348,Szczyrk,3531,9.3,9.4
349,Szczyrk,3350,9.4,8.4
350,Szczyrk,3671,9.5,9.0
351,Szczyrk,4261,8.2,9.8
352,Szczyrk,3842,9.1,9.7
353,Szczyrk,6331,9.9,9.7
354,Szczyrk,6958,9.6,9.8
355,Szczyrk,3842,9.7,9.6
356,Szczyrk,3391,9.6,9.8
357,Szczyrk,2412,9.5,10.0
358,Szczyrk,3811,9.0,9.5
359,Szczyrk,5218,8.9,9.1
360,Szczyrk,3356,9.2,9.8
361,Szczyrk,2350,9.9,10.0
362,Szczyrk,2803,9.0,9.2
363,Szczyrk,4937,8.2,9.6
364,Szczyrk,4581,9.8,9.6
365,Szczyrk,3779,9.6,9.2
366,Szczyrk,5040,9.0,9.1
367,Szczyrk,6681,9.8,9.0
368,Szczyrk,2016,9.9,9.9
369,Szczyrk,7383,9.5,9.2
370,Szczyrk,3842,8.8,9.1
371,Szczyrk,2835,9.8,8.8
372,Szczyrk,4584,9.9,8.9
373,Szczyrk,3512,9.3,9.3
374,Szczyrk,2981,9.5,10.0
375,Szczyrk,2831,9.5,8.9
376,Szczyrk,4932,9.3,8.7
377,Szczyrk,2554,9.0,8.8
378,Szczyrk,3812,9.1,9.7
379,Szczyrk,3724,9.8,9.1
380,Szczyrk,2227,7.0,9.4
381,Szczyrk,3181,9.1,8.4
382,Szczyrk,5082,8.8,9.1
