,City,Cost,Rating,Comfort
0,Wałbrzych,1588,9.9,10.0
1,Wałbrzych,1540,9.3,9.1
2,Wałbrzych,1134,8.0,8.3
3,Wałbrzych,2320,9.4,9.6
4,Wałbrzych,1720,8.5,9.6
5,Wałbrzych,863,8.5,8.7
6,Wałbrzych,1260,7.5,8.0
7,Wałbrzych,1365,8.1,8.0
8,Wałbrzych,811,8.1,9.1
9,Wałbrzych,2240,9.3,8.9
10,Wałbrzych,1666,7.5,8.7
11,Wałbrzych,1820,8.9,8.8
12,Wałbrzych,1050,8.6,9.2
13,Wałbrzych,2049,8.7,9.5
14,Wałbrzych,1645,7.3,9.2
15,Wałbrzych,980,6.9,9.4
16,Wałbrzych,1182,8.0,8.3
17,Wałbrzych,2680,9.1,8.4
18,Wałbrzych,2193,9.5,9.5
19,Wałbrzych,1671,8.7,9.3
20,Wałbrzych,2464,9.8,9.4
21,Wałbrzych,2061,8.5,9.7
22,Wałbrzych,1779,8.5,8.6
23,Wałbrzych,2594,7.7,8.6
24,Wałbrzych,866,7.1,9.2
25,Wałbrzych,1435,9.4,8.1
26,Wałbrzych,1173,9.2,9.5
27,Wałbrzych,2443,9.4,9.4
28,Wałbrzych,2240,9.4,9.2
29,Wałbrzych,2400,8.7,9.6
30,Wałbrzych,2749,8.6,9.3
31,Wałbrzych,1995,7.6,8.8
32,Wałbrzych,1839,9.1,9.6
33,Wałbrzych,2000,8.1,8.5
