,City,Cost,Rating,Comfort
0,Wisła,1148,8.8,9.0
1,Wisła,1890,9.8,10.0
2,Wisła,2348,9.1,8.6
3,Wisła,934,9.7,9.7
4,Wisła,2277,8.1,8.0
5,Wisła,1546,10.0,10.0
6,Wisła,1218,9.3,9.6
7,Wisła,2611,9.0,9.0
8,Wisła,1960,8.9,8.8
9,Wisła,1228,9.2,9.2
10,Wisła,1400,9.7,9.2
11,Wisła,1295,8.9,9.1
12,Wisła,2879,10.0,10.0
13,Wisła,2131,8.9,8.9
14,Wisła,3164,8.0,8.0
15,Wisła,2548,8.3,8.3
16,Wisła,1885,9.4,9.3
17,Wisła,1365,9.5,9.6
18,Wisła,3264,8.8,8.6
19,Wisła,1857,8.6,8.7
20,Wisła,1323,9.5,9.3
21,Wisła,1505,9.3,9.4
22,Wisła,3662,10.0,8.8
23,Wisła,1778,9.0,9.0
24,Wisła,1540,8.3,8.2
25,Wisła,3164,9.7,9.8
26,Wisła,2731,9.3,9.5
27,Wisła,1393,8.5,8.1
28,Wisła,2037,8.4,8.1
29,Wisła,2828,9.9,10.0
30,Wisła,2032,9.4,9.4
31,Wisła,1155,9.5,10.0
32,Wisła,5029,9.4,9.3
33,Wisła,1225,9.6,9.7
34,Wisła,3394,9.7,10.0
35,Wisła,1155,9.4,9.8
36,Wisła,2667,8.7,8.8
37,Wisła,2823,8.5,8.4
38,Wisła,3471,9.2,9.6
39,Wisła,868,9.6,9.8
40,Wisła,1898,8.1,8.0
41,Wisła,2971,8.8,8.9
42,Wisła,2318,9.8,9.8
43,Wisła,2394,8.8,9.0
44,Wisła,1508,9.7,9.7
45,Wisła,3507,9.4,9.1
46,Wisła,1285,8.8,8.7
47,Wisła,1218,8.5,8.0
48,Wisła,1939,9.3,9.3
49,Wisła,2756,8.7,8.6
50,Wisła,1316,9.0,8.9
51,Wisła,1260,9.4,9.2
52,Wisła,3304,8.6,8.4
53,Wisła,1498,8.8,8.4
54,Wisła,1092,9.8,10.0
55,Wisła,3036,9.5,10.0
56,Wisła,1050,9.4,9.7
57,Wisła,798,9.4,9.6
58,Wisła,1932,9.4,9.5
59,Wisła,4076,9.6,9.7
60,Wisła,7119,9.3,9.2
61,Wisła,3144,9.7,9.5
62,Wisła,3530,9.8,9.8
63,Wisła,3119,7.2,9.6
64,Wisła,2354,9.6,9.1
65,Wisła,1581,8.8,9.2
66,Wisła,6599,9.4,9.1
67,Wisła,7069,9.4,9.0
68,Wisła,3094,9.1,9.6
69,Wisła,2263,9.5,9.5
70,Wisła,3350,9.5,9.2
71,Wisła,4036,9.4,8.7
72,Wisła,2093,10.0,9.3
73,Wisła,3380,8.5,8.8
74,Wisła,2975,9.2,9.1
75,Wisła,805,7.9,8.9
76,Wisła,2044,8.7,10.0
77,Wisła,1428,8.8,9.5
78,Wisła,2467,9.0,8.9
79,Wisła,1771,9.6,9.2
80,Wisła,1831,9.4,9.6
81,Wisła,2135,9.1,9.5
82,Wisła,2485,9.2,9.4
83,Wisła,6580,9.4,9.4
84,Wisła,1645,9.3,8.9
85,Wisła,2861,9.3,10.0
86,Wisła,2523,9.6,8.2
87,Wisła,1008,9.0,9.3
88,Wisła,1295,9.8,8.8
89,Wisła,4242,8.5,9.7
90,Wisła,1826,9.5,9.5
