,City,Cost,Rating,Comfort
0,Bielsko-Biała,2131,9.0,9.0
1,Bielsko-Biała,1950,10.0,10.0
2,Bielsko-Biała,2187,9.4,9.5
3,Bielsko-Biała,1870,10.0,8.8
4,Bielsko-Biała,1897,9.9,10.0
5,Bielsko-Biała,2793,10.0,10.0
6,Bielsko-Biała,2275,8.2,8.4
7,Bielsko-Biała,1819,9.2,9.1
8,Bielsko-Biała,2142,9.5,10.0
9,Bielsko-Biała,1841,8.9,8.7
10,Bielsko-Biała,1230,9.5,9.4
11,Bielsko-Biała,1616,9.3,9.4
12,Bielsko-Biała,1701,9.9,9.4
13,Bielsko-Biała,2510,9.5,9.5
14,Bielsko-Biała,2450,8.4,8.7
15,Bielsko-Biała,4550,9.6,9.7
16,Bielsko-Biała,2142,8.8,8.9
17,Bielsko-Biała,1662,8.7,9.0
18,Bielsko-Biała,2450,8.4,8.3
19,Bielsko-Biała,3780,9.4,9.6
20,Bielsko-Biała,2134,9.4,9.4
21,Bielsko-Biała,1183,8.7,8.8
22,Bielsko-Biała,1540,7.0,9.2
23,Bielsko-Biała,2493,9.3,9.2
24,Bielsko-Biała,2956,9.1,10.0
25,Bielsko-Biała,1667,9.8,8.9
26,Bielsko-Biała,2592,8.9,8.7
27,Bielsko-Biała,2001,8.6,9.5
28,Bielsko-Biała,2170,9.4,9.5
29,Bielsko-Biała,2187,9.3,9.0
30,Bielsko-Biała,2898,9.0,10.0
31,Bielsko-Biała,1120,9.8,9.8
32,Bielsko-Biała,2125,9.8,9.6
33,Bielsko-Biała,11362,9.5,8.8
34,Bielsko-Biała,3864,10.0,9.6
35,Bielsko-Biała,1870,9.7,9.8
36,Bielsko-Biała,3617,9.9,9.5
37,Bielsko-Biała,2647,9.3,9.1
38,Bielsko-Biała,3462,9.0,9.4
39,Bielsko-Biała,2550,9.4,9.6
40,Bielsko-Biała,3220,9.6,9.6
41,Bielsko-Biała,2389,9.5,9.5
42,Bielsko-Biała,3441,9.4,8.5
43,Bielsko-Biała,2302,7.6,9.5
44,Bielsko-Biała,2170,8.6,9.6
45,Bielsko-Biała,2296,9.4,9.9
46,Bielsko-Biała,1750,9.6,8.9
47,Bielsko-Biała,1650,9.9,9.3
48,Bielsko-Biała,2843,9.1,9.3
49,Bielsko-Biała,1400,9.4,9.4
50,Bielsko-Biała,2052,9.4,9.5
51,Bielsko-Biała,1522,9.6,10.0
52,Bielsko-Biała,1488,9.4,9.5
53,Bielsko-Biała,2590,9.9,9.7
54,Bielsko-Biała,1897,9.4,9.4
55,Bielsko-Biała,1793,9.5,9.8
56,Bielsko-Biała,1750,9.3,10.0
57,Bielsko-Biała,2520,9.8,9.9
58,Bielsko-Biała,1828,7.7,8.6
59,Bielsko-Biała,2926,10.0,9.7
60,Bielsko-Biała,2793,7.2,9.3
61,Bielsko-Biała,1050,9.9,8.4
62,Bielsko-Biała,2520,8.4,9.1
63,Bielsko-Biała,3850,9.5,9.7
64,Bielsko-Biała,2660,9.2,9.6
65,Bielsko-Biała,1739,8.0,10.0
66,Bielsko-Biała,2520,9.1,10.0
67,Bielsko-Biała,2450,9.1,9.7
68,Bielsko-Biała,2170,9.6,10.0
69,Bielsko-Biała,2624,10.0,9.9
70,Bielsko-Biała,1763,9.9,10.0
71,Bielsko-Biała,2483,7.5,8.9
72,Bielsko-Biała,3483,9.8,9.1
73,Bielsko-Biała,4949,9.4,9.8
74,Bielsko-Biała,2212,9.9,9.7
75,Bielsko-Biała,2380,10.0,9.3
76,Bielsko-Biała,2142,8.6,10.0
77,Bielsko-Biała,3332,9.2,9.5
78,Bielsko-Biała,2443,9.8,10.0
79,Bielsko-Biała,1819,9.9,8.3
80,Bielsko-Biała,2041,9.3,9.1
81,Bielsko-Biała,3119,9.8,9.7
82,Bielsko-Biała,2056,9.4,9.7
83,Bielsko-Biała,2030,9.5,9.7
84,Bielsko-Biała,2030,8.2,8.2
85,Bielsko-Biała,2142,8.9,9.2
86,Bielsko-Biała,2212,9.6,9.4
87,Bielsko-Biała,2721,9.5,9.1
88,Bielsko-Biała,2106,9.7,9.9
89,Bielsko-Biała,4315,8.2,9.6
90,Bielsko-Biała,5421,9.2,9.8
91,Bielsko-Biała,2506,9.4,8.8
92,Bielsko-Biała,2753,8.9,10.0
93,Bielsko-Biała,1680,9.8,9.4
94,Bielsko-Biała,2030,9.6,8.8
95,Bielsko-Biała,2520,9.0,9.3
96,Bielsko-Biała,2261,9.8,8.7
97,Bielsko-Biała,2800,9.0,8.9
98,Bielsko-Biała,2394,9.8,9.5
99,Bielsko-Biała,1546,9.2,9.3
100,Bielsko-Biała,2910,8.5,9.5
101,Bielsko-Biała,8239,9.2,10.0
102,Bielsko-Biała,2759,8.9,9.4
103,Bielsko-Biała,3150,8.5,9.4
104,Bielsko-Biała,1841,9.4,8.8
105,Bielsko-Biała,3060,9.0,8.8
106,Bielsko-Biała,2520,9.5,9.1
107,Bielsko-Biała,2520,10.0,9.8
108,Bielsko-Biała,2590,9.5,8.0
109,Bielsko-Biała,15622,9.2,8.5
110,Bielsko-Biała,1230,8.3,9.3
111,Bielsko-Biała,2877,9.0,9.6
112,Bielsko-Biała,2900,8.9,8.8
113,Bielsko-Biała,2622,9.8,8.7
114,Bielsko-Biała,2622,7.9,9.1
115,Bielsko-Biała,3150,8.3,9.1
116,Bielsko-Biała,2590,9.1,8.7
117,Bielsko-Biała,3080,9.4,10.0
118,Bielsko-Biała,2800,8.6,8.1
119,Bielsko-Biała,3704,8.6,9.0
120,Bielsko-Biała,4683,8.9,8.2
121,Bielsko-Biała,2940,8.9,9.4
122,Bielsko-Biała,6406,8.6,9.5
123,Bielsko-Biała,7842,9.9,9.3
124,Bielsko-Biała,6143,8.7,9.6
125,Bielsko-Biała,4967,8.8,10.0
126,Bielsko-Biała,1849,8.3,9.8
