,City,Cost,Rating,Comfort
0,Jelenia Góra,2058,9.7,9.6
1,Jelenia Góra,2331,9.1,9.1
2,"Cieplice, Jelenia Góra",1890,10.0,10.0
3,Jelenia Góra,2310,9.4,9.5
4,Jelenia Góra,1567,10.0,10.0
5,"Cieplice, Jelenia Góra",2590,10.0,10.0
6,Jelenia Góra,2035,9.7,9.9
7,"Cieplice, Jelenia Góra",1680,9.0,8.9
8,Jelenia Góra,1863,8.0,8.1
9,Jelenia Góra,4060,9.4,9.7
10,"Cieplice, Jelenia Góra",2344,9.9,9.8
11,Jelenia Góra,2100,10.0,10.0
12,Jelenia Góra,2030,8.8,8.7
13,"Cieplice, Jelenia Góra",3611,8.8,8.3
14,Jelenia Góra,2058,9.5,9.6
15,Jelenia Góra,1581,9.7,9.8
16,Jelenia Góra,2390,8.0,10.0
17,Jelenia Góra,1400,10.0,9.4
18,Jelenia Góra,2678,9.3,8.3
19,Jelenia Góra,1450,8.1,10.0
20,Jelenia Góra,3395,9.0,9.2
21,Jelenia Góra,1413,9.2,8.8
22,Jelenia Góra,1428,9.0,8.8
23,Jelenia Góra,2025,8.9,10.0
24,"Cieplice, Jelenia Góra",1533,9.0,9.7
25,"Cieplice, Jelenia Góra",2384,9.7,9.2
26,"Cieplice, Jelenia Góra",2410,10.0,9.4
27,Jelenia Góra,2070,9.4,9.1
28,Jelenia Góra,2330,9.1,9.4
29,"Cieplice, Jelenia Góra",1890,10.0,9.7
30,Jelenia Góra,4463,9.2,9.6
31,"Cieplice, Jelenia Góra",2083,9.6,10.0
32,Jelenia Góra,1575,9.9,9.3
33,Jelenia Góra,3091,9.6,10.0
34,"Cieplice, Jelenia Góra",1780,10.0,9.6
35,Jelenia Góra,2310,9.5,9.5
36,Jelenia Góra,1790,9.4,9.1
37,Jelenia Góra,1810,8.9,9.4
38,Jelenia Góra,1767,9.2,10.0
39,Jelenia Góra,1680,9.0,9.4
40,"Cieplice, Jelenia Góra",1729,9.4,9.4
41,Jelenia Góra,2016,9.4,10.0
42,Jelenia Góra,2188,10.0,8.9
43,Jelenia Góra,3119,8.8,9.3
44,Jelenia Góra,2108,9.2,8.6
45,Jelenia Góra,1428,8.7,9.7
46,"Cieplice, Jelenia Góra",3823,9.6,9.5
47,"Cieplice, Jelenia Góra",2520,9.5,9.9
48,Jelenia Góra,2030,9.8,9.0
49,Jelenia Góra,2185,9.8,10.0
50,"Cieplice, Jelenia Góra",2860,10.0,8.9
51,Jelenia Góra,3150,8.9,9.5
52,Jelenia Góra,4555,9.3,9.5
53,"Cieplice, Jelenia Góra",2730,9.4,9.7
54,Jelenia Góra,1567,9.5,9.8
55,Jelenia Góra,2703,9.7,9.6
56,Jelenia Góra,2800,8.0,9.2
57,"Cieplice, Jelenia Góra",2149,9.5,10.0
58,"Cieplice, Jelenia Góra",2310,9.3,9.3
59,Jelenia Góra,2800,10.0,9.1
60,"Cieplice, Jelenia Góra",2590,9.4,9.0
61,Jelenia Góra,2155,9.0,9.5
62,Jelenia Góra,4584,8.9,9.3
63,Jelenia Góra,6240,9.6,9.6
64,Jelenia Góra,1835,9.3,9.2
65,Jelenia Góra,1939,9.8,9.6
66,Jelenia Góra,1863,9.3,9.5
67,Jelenia Góra,1605,9.0,9.3
68,Jelenia Góra,1895,9.3,9.6
69,Jelenia Góra,2240,9.6,9.4
70,Jelenia Góra,1953,9.2,9.5
71,Jelenia Góra,2894,9.7,9.6
72,Jelenia Góra,2450,9.4,9.2
73,Jelenia Góra,1498,9.4,10.0
74,"Cieplice, Jelenia Góra",1652,9.3,9.1
75,Jelenia Góra,2072,9.0,10.0
76,Jelenia Góra,2256,9.8,9.8
77,Jelenia Góra,2179,9.0,9.2
78,"Cieplice, Jelenia Góra",1785,10.0,9.2
79,Jelenia Góra,2035,9.6,8.9
80,Jelenia Góra,2485,9.0,9.3
81,Jelenia Góra,2425,9.3,8.9
82,"Cieplice, Jelenia Góra",1862,8.9,8.7
83,"Cieplice, Jelenia Góra",1260,9.7,10.0
84,Jelenia Góra,1323,9.0,8.2
85,Jelenia Góra,1863,8.3,9.2
86,Jelenia Góra,2909,9.5,9.4
87,Jelenia Góra,1975,8.6,10.0
88,Jelenia Góra,1555,9.1,9.8
89,Jelenia Góra,1607,9.4,9.7
90,Jelenia Góra,2312,10.0,9.7
91,Jelenia Góra,4195,9.8,10.0
92,Jelenia Góra,2726,9.6,9.2
93,Jelenia Góra,2331,9.9,9.2
94,Jelenia Góra,1995,10.0,9.1
95,Jelenia Góra,1827,9.4,9.2
96,Jelenia Góra,2450,9.3,9.2
97,Jelenia Góra,2632,9.2,9.6
98,Jelenia Góra,2380,9.4,9.5
99,Jelenia Góra,2165,9.3,8.9
100,"Cieplice, Jelenia Góra",2100,9.5,9.7
101,Jelenia Góra,2120,9.4,8.6
102,Jelenia Góra,2450,9.1,9.5
103,Jelenia Góra,2100,9.4,9.9
104,"Cieplice, Jelenia Góra",2344,8.8,9.8
105,"Cieplice, Jelenia Góra",2096,9.3,10.0
106,"Cieplice, Jelenia Góra",1725,9.7,9.6
107,Jelenia Góra,2228,7.5,9.2
108,Jelenia Góra,3344,10.0,9.1
109,Jelenia Góra,2527,10.0,9.7
110,Jelenia Góra,2030,9.4,9.5
111,Jelenia Góra,2380,9.5,9.7
112,Jelenia Góra,1890,9.0,10.0
113,"Cieplice, Jelenia Góra",2210,9.6,9.7
114,"Cieplice, Jelenia Góra",2554,9.6,9.4
