,City,Cost,Rating,Comfort
0,Krynica-Zdrój,1781,8.2,8.6
1,Krynica-Zdrój,5024,8.6,10.0
2,Krynica-Zdrój,2279,10.0,10.0
3,Krynica-Zdrój,1720,9.0,10.0
4,Krynica-Zdrój,3535,8.3,9.6
5,Krynica-Zdrój,2026,9.0,9.3
6,Krynica-Zdrój,2619,9.4,10.0
7,Krynica-Zdrój,2303,9.3,9.5
8,Krynica-Zdrój,2255,10.0,8.4
9,Krynica-Zdrój,2766,9.4,9.2
10,Krynica-Zdrój,2216,8.2,9.4
11,Krynica-Zdrój,6838,9.4,8.8
12,Krynica-Zdrój,2773,9.1,9.6
13,Krynica-Zdrój,2796,8.7,10.0
14,Krynica-Zdrój,5599,9.5,9.6
15,Krynica-Zdrój,2493,8.3,8.8
16,Krynica-Zdrój,1788,10.0,9.2
17,Krynica-Zdrój,4942,9.1,8.4
18,Krynica-Zdrój,9163,8.6,8.7
19,Krynica-Zdrój,2350,8.9,9.1
20,Krynica-Zdrój,2377,8.4,8.3
21,Krynica-Zdrój,2570,8.3,9.0
22,Krynica-Zdrój,2584,9.0,8.9
23,Krynica-Zdrój,7105,8.8,9.3
24,Krynica-Zdrój,8953,9.1,10.0
25,Krynica-Zdrój,2308,7.7,9.5
26,Krynica-Zdrój,2218,8.9,9.6
27,Krynica-Zdrój,2173,9.3,8.9
28,Krynica-Zdrój,5004,9.9,9.9
29,Krynica-Zdrój,1650,7.9,8.4
30,Krynica-Zdrój,2883,9.6,8.8
31,Krynica-Zdrój,2033,9.8,8.1
32,Krynica-Zdrój,2152,8.9,8.7
33,Krynica-Zdrój,4828,9.8,9.5
34,Krynica-Zdrój,7599,8.5,9.1
35,Krynica-Zdrój,2328,9.0,8.7
36,Krynica-Zdrój,2133,8.0,8.8
37,Krynica-Zdrój,3330,8.8,9.2
38,Krynica-Zdrój,2380,8.2,9.6
39,Krynica-Zdrój,2973,9.5,8.6
40,Krynica-Zdrój,4080,9.2,9.2
41,Krynica-Zdrój,3229,8.7,9.6
