,City,Cost,Rating,Comfort
0,Kudowa-Zdrój,1949,8.7,8.7
1,Kudowa-Zdrój,3851,10.0,10.0
2,Kudowa-Zdrój,3052,10.0,10.0
3,Kudowa-Zdrój,2614,9.5,10.0
4,Kudowa-Zdrój,3284,9.5,9.5
5,Kudowa-Zdrój,2552,8.6,8.3
6,Kudowa-Zdrój,2079,10.0,10.0
7,Kudowa-Zdrój,1299,9.2,9.1
8,Kudowa-Zdrój,1610,5.9,10.0
9,Kudowa-Zdrój,3823,10.0,10.0
10,Kudowa-Zdrój,4246,10.0,8.4
11,Kudowa-Zdrój,4715,8.4,9.0
12,Kudowa-Zdrój,1635,8.9,9.3
13,Kudowa-Zdrój,4185,9.5,9.6
14,Kudowa-Zdrój,3696,9.4,9.0
15,Kudowa-Zdrój,3874,8.7,9.4
16,Kudowa-Zdrój,3923,9.0,9.2
17,Kudowa-Zdrój,2125,9.3,10.0
18,Kudowa-Zdrój,2324,9.4,8.9
19,Kudowa-Zdrój,4015,8.7,10.0
20,Kudowa-Zdrój,2789,10.0,8.0
21,Kudowa-Zdrój,3544,8.4,8.8
22,Kudowa-Zdrój,4265,8.9,9.3
23,Kudowa-Zdrój,7655,9.5,9.2
24,Kudowa-Zdrój,4334,9.4,9.6
25,Kudowa-Zdrój,4372,9.6,9.3
26,Kudowa-Zdrój,1495,9.4,8.0
27,Kudowa-Zdrój,4155,8.2,9.8
28,Kudowa-Zdrój,3003,9.6,9.4
29,Kudowa-Zdrój,2654,9.4,9.8
30,Kudowa-Zdrój,3035,9.7,9.4
31,Kudowa-Zdrój,2632,9.5,8.8
32,Kudowa-Zdrój,1631,8.8,10.0
33,Kudowa-Zdrój,2195,8.1,8.3
34,Kudowa-Zdrój,5432,10.0,9.0
35,Kudowa-Zdrój,3245,8.4,8.6
36,Kudowa-Zdrój,2386,9.1,9.7
37,Kudowa-Zdrój,4330,8.6,9.6
38,Kudowa-Zdrój,1880,9.4,9.6
39,Kudowa-Zdrój,2665,9.7,10.0
40,Kudowa-Zdrój,2451,9.6,8.8
41,Kudowa-Zdrój,2965,9.0,8.8
42,Kudowa-Zdrój,2475,8.9,9.5
43,Kudowa-Zdrój,2675,9.5,8.7
44,Kudowa-Zdrój,1895,9.5,9.4
45,Kudowa-Zdrój,3070,8.6,9.6
46,Kudowa-Zdrój,2935,9.3,8.5
47,Kudowa-Zdrój,2665,9.2,8.9
48,Kudowa-Zdrój,3874,8.4,9.5
49,Kudowa-Zdrój,2237,9.1,8.8
50,Kudowa-Zdrój,3549,9.0,9.5
51,Kudowa-Zdrój,3714,8.8,9.9
52,Kudowa-Zdrój,6846,9.4,9.1
53,Kudowa-Zdrój,2719,9.9,9.7
54,Kudowa-Zdrój,2614,9.0,9.7
55,Kudowa-Zdrój,2679,9.8,9.3
56,Kudowa-Zdrój,3304,9.6,8.9
57,Kudowa-Zdrój,2975,9.2,10.0
58,Kudowa-Zdrój,4155,8.9,8.6
59,Kudowa-Zdrój,2828,8.8,8.8
60,Kudowa-Zdrój,3551,10.0,9.1
61,Kudowa-Zdrój,3734,8.4,8.8
62,Kudowa-Zdrój,2317,8.9,8.9
63,Kudowa-Zdrój,4155,9.2,8.1
64,Kudowa-Zdrój,1984,8.8,9.5
65,Kudowa-Zdrój,2765,9.2,9.4
66,Kudowa-Zdrój,4746,8.3,9.5
67,Kudowa-Zdrój,4324,9.5,9.3
68,Kudowa-Zdrój,2405,6.9,9.4
69,Kudowa-Zdrój,4631,9.4,10.0
70,Kudowa-Zdrój,10084,7.6,9.0
71,Kudowa-Zdrój,2684,9.7,9.8
72,Kudowa-Zdrój,2886,9.1,8.8
73,Kudowa-Zdrój,3664,9.6,10.0
74,Kudowa-Zdrój,2895,9.6,8.8
75,Kudowa-Zdrój,3634,9.2,10.0
76,Kudowa-Zdrój,3150,9.8,9.0
77,Kudowa-Zdrój,2544,9.0,9.7
78,Kudowa-Zdrój,2768,9.0,8.7
79,Kudowa-Zdrój,4518,9.0,9.5
80,Kudowa-Zdrój,3486,9.5,9.6
81,Kudowa-Zdrój,3594,9.0,9.3
82,Kudowa-Zdrój,4074,9.5,8.1
83,Kudowa-Zdrój,4635,9.2,9.7
84,Kudowa-Zdrój,3318,9.4,9.2
85,Kudowa-Zdrój,3664,9.5,9.9
86,Kudowa-Zdrój,4662,9.4,9.2
87,Kudowa-Zdrój,1834,7.9,8.6
88,Kudowa-Zdrój,2614,6.2,8.2
89,Kudowa-Zdrój,3979,8.2,9.3
90,Kudowa-Zdrój,4883,9.5,10.0
91,Kudowa-Zdrój,3823,9.1,8.8
92,Kudowa-Zdrój,4892,7.0,8.8
93,Kudowa-Zdrój,4046,9.9,10.0
94,Kudowa-Zdrój,4623,8.8,9.8
95,Kudowa-Zdrój,4214,8.7,10.0
96,Kudowa-Zdrój,3664,8.5,9.3
97,Kudowa-Zdrój,5446,9.1,8.6
98,Kudowa-Zdrój,4295,9.7,10.0
99,Kudowa-Zdrój,6706,8.6,8.1
100,Kudowa-Zdrój,5552,8.7,9.6
101,Kudowa-Zdrój,3225,8.3,9.8
102,Kudowa-Zdrój,2755,9.7,9.5
103,Kudowa-Zdrój,3976,8.0,9.4
104,Kudowa-Zdrój,4186,9.0,9.3
105,Kudowa-Zdrój,3874,7.0,9.2
106,Kudowa-Zdrój,2873,9.1,9.7
107,Kudowa-Zdrój,5250,8.1,8.7
108,Kudowa-Zdrój,4239,10.0,9.6
