,City,Cost,Rating,Comfort
0,Nowy Sącz,2396,8.9,9.0
1,Nowy Sącz,1869,9.8,9.8
2,Nowy Sącz,3150,9.6,9.5
3,Nowy Sącz,3010,9.0,9.6
4,Nowy Sącz,4687,9.8,9.9
5,Nowy Sącz,1540,9.0,9.4
6,Nowy Sącz,2083,9.9,10.0
7,Nowy Sącz,2335,10.0,10.0
8,Nowy Sącz,2485,9.8,9.8
9,Nowy Sącz,2601,9.4,9.4
10,Nowy Sącz,1883,9.3,9.4
11,Nowy Sącz,2313,9.0,9.2
12,Nowy Sącz,1832,9.2,9.4
13,Nowy Sącz,2625,8.8,9.1
14,Nowy Sącz,1870,8.8,8.6
15,Nowy Sącz,1540,8.6,8.5
16,Nowy Sącz,2715,9.8,10.0
17,Nowy Sącz,1750,8.5,8.4
18,Nowy Sącz,5640,9.7,9.7
19,Nowy Sącz,1654,9.3,9.3
20,Nowy Sącz,1708,9.6,9.7
21,Nowy Sącz,3115,9.5,9.6
22,Nowy Sącz,1708,9.4,10.0
23,Nowy Sącz,2490,9.8,9.9
24,Nowy Sącz,3745,9.9,10.0
25,Nowy Sącz,5976,9.8,9.6
26,Nowy Sącz,3034,10.0,10.0
27,Nowy Sącz,2030,9.8,9.7
28,Nowy Sącz,4585,9.6,9.6
