,City,Cost,Rating,Comfort
0,Szczyrk,3478,9.6,9.7
1,Szczyrk,1586,9.7,8.3
2,Szczyrk,3270,10.0,10.0
3,Szczyrk,2100,10.0,10.0
4,Szczyrk,2862,7.7,9.7
5,Szczyrk,1812,9.5,8.6
6,Szczyrk,5614,8.4,10.0
7,Szczyrk,9174,5.3,10.0
8,Szczyrk,2049,9.9,9.1
9,Szczyrk,2510,10.0,8.9
10,Szczyrk,2611,9.3,8.1
11,Szczyrk,2862,8.8,9.8
12,Szczyrk,1540,8.1,8.9
13,Szczyrk,1988,9.8,9.3
14,Szczyrk,4908,8.6,9.3
15,Szczyrk,4658,9.1,9.7
16,Szczyrk,1823,9.3,9.1
17,Szczyrk,4381,9.8,9.7
18,Szczyrk,2029,9.2,9.0
19,Szczyrk,3196,9.8,9.1
20,Szczyrk,9016,9.2,10.0
21,Szczyrk,3027,9.0,8.9
22,Szczyrk,7279,10.0,9.0
23,Szczyrk,1656,8.9,8.6
24,Szczyrk,2427,8.9,8.5
25,Szczyrk,5066,8.8,9.0
26,Szczyrk,1889,8.9,9.7
27,Szczyrk,2697,9.6,9.5
28,Szczyrk,1729,9.5,8.3
29,Szczyrk,3270,9.5,10.0
30,Szczyrk,1680,8.2,9.4
31,Szczyrk,1726,10.0,9.0
32,Szczyrk,2821,9.3,9.8
33,Szczyrk,2100,9.4,9.9
34,Szczyrk,3685,9.8,9.7
35,Szczyrk,2100,9.8,10.0
36,Szczyrk,4400,9.9,9.6
37,Szczyrk,2870,9.9,10.0
38,Szczyrk,7630,9.5,9.7
39,Szczyrk,3910,9.7,9.7
40,Szczyrk,4039,9.8,9.6
41,Szczyrk,4002,9.8,9.6
42,Szczyrk,3137,9.7,9.6
43,Szczyrk,3236,9.4,9.7
44,Szczyrk,5485,9.5,9.2
45,Szczyrk,3536,9.7,9.4
46,Szczyrk,2233,9.3,9.8
47,Szczyrk,2944,8.9,10.0
48,Szczyrk,4012,9.6,9.8
49,Szczyrk,3846,10.0,9.4
50,Szczyrk,4830,9.6,9.7
51,Szczyrk,4246,9.4,9.2
52,Szczyrk,3758,9.5,8.9
53,Szczyrk,4193,9.4,9.7
54,Szczyrk,2862,8.9,9.4
55,Szczyrk,5198,9.5,8.5
56,Szczyrk,4156,9.2,8.3
57,Szczyrk,5490,7.6,9.5
58,Szczyrk,4637,8.4,9.7
59,Szczyrk,4712,9.4,8.7
60,Szczyrk,5614,9.8,9.3
61,Szczyrk,5452,8.6,8.9
62,Szczyrk,3408,9.2,9.6
63,Szczyrk,6463,8.6,8.5
64,Szczyrk,3325,9.7,8.6
65,Szczyrk,3575,8.6,9.6
66,Szczyrk,5828,8.5,10.0
67,Szczyrk,5834,9.5,9.4
68,Szczyrk,7258,10.0,9.5
69,Szczyrk,2065,9.0,9.6
70,Szczyrk,2087,9.5,9.2
71,Szczyrk,6580,9.7,9.8
72,Szczyrk,3190,9.1,10.0
73,Szczyrk,1495,9.9,9.8
74,Szczyrk,2566,9.9,8.8
75,Szczyrk,3254,9.6,9.7
76,Szczyrk,3002,9.5,9.2
77,Szczyrk,1884,9.5,9.9
78,Szczyrk,3346,9.2,10.0
79,Szczyrk,2510,9.8,9.3
80,Szczyrk,2776,10.0,9.8
81,Szczyrk,2520,9.3,9.3
82,Szczyrk,2304,9.8,9.8
83,Szczyrk,2148,9.2,8.7
84,Szczyrk,6247,9.8,9.2
85,Szczyrk,2611,8.6,9.8
86,Szczyrk,2100,9.2,9.3
87,Szczyrk,4108,9.6,10.0
88,Szczyrk,2209,9.2,9.3
89,Szczyrk,8030,10.0,9.6
90,Szczyrk,5474,9.1,9.8
91,Szczyrk,2307,9.4,9.6
92,Szczyrk,4200,9.5,9.5
93,Szczyrk,2281,9.7,9.9
94,Szczyrk,4381,8.8,9.4
95,Szczyrk,7522,9.9,10.0
96,Szczyrk,7001,9.2,10.0
97,Szczyrk,5937,9.3,8.8
98,Szczyrk,3959,9.7,9.9
99,Szczyrk,3669,8.9,9.6
100,Szczyrk,4235,9.7,9.6
101,Szczyrk,3199,9.7,9.7
102,Szczyrk,3669,9.1,8.9
103,Szczyrk,5398,9.4,9.3
104,Szczyrk,2862,8.8,9.4
105,Szczyrk,1967,9.3,8.5
106,Szczyrk,5013,9.3,9.5
107,Szczyrk,4508,8.1,9.1
108,Szczyrk,5600,9.4,9.3
109,Szczyrk,4880,9.0,8.6
110,Szczyrk,1988,9.4,8.5
111,Szczyrk,3057,8.7,8.6
112,Szczyrk,2718,8.5,9.7
113,Szczyrk,6105,7.5,9.1
