,City,Cost,Rating,Comfort
0,Szklarska Poręba,3973,8.8,8.9
1,Szklarska Poręba,1928,10.0,10.0
2,Szklarska Poręba,2439,10.0,10.0
3,Szklarska Poręba,2207,8.3,9.4
4,Szklarska Poręba,2195,10.0,10.0
5,Szklarska Poręba,2649,9.0,10.0
6,Szklarska Poręba,3099,9.0,8.8
7,Szklarska Poręba,2340,9.5,10.0
8,Szklarska Poręba,2810,9.2,9.3
9,Szklarska Poręba,3150,9.4,9.4
10,Szklarska Poręba,3275,8.8,8.9
11,Szklarska Poręba,2737,9.8,9.7
12,Szklarska Poręba,2539,8.6,8.7
13,Szklarska Poręba,4861,10.0,10.0
14,Szklarska Poręba,4294,9.5,9.5
15,Szklarska Poręba,2602,10.0,10.0
16,Szklarska Poręba,4324,10.0,10.0
17,Szklarska Poręba,4425,9.0,9.2
18,Szklarska Poręba,5019,8.5,8.8
19,Szklarska Poręba,2599,8.5,8.8
20,Szklarska Poręba,2775,8.2,8.5
21,Szklarska Poręba,3336,10.0,10.0
22,Szklarska Poręba,3450,9.0,9.5
23,Szklarska Poręba,2233,9.5,8.8
24,Szklarska Poręba,2709,9.8,9.5
25,Szklarska Poręba,3450,10.0,10.0
26,Szklarska Poręba,2233,9.1,9.2
27,Szklarska Poręba,2709,8.9,8.6
28,Szklarska Poręba,1947,8.8,8.8
29,Szklarska Poręba,2439,8.4,8.8
30,Szklarska Poręba,3705,9.6,10.0
31,Szklarska Poręba,2784,8.7,8.8
32,Szklarska Poręba,2588,10.0,10.0
33,Szklarska Poręba,3209,10.0,10.0
34,Szklarska Poręba,2289,9.3,8.8
35,Szklarska Poręba,2207,8.6,8.3
36,Szklarska Poręba,2968,8.9,8.7
37,Szklarska Poręba,2585,7.9,8.1
38,Szklarska Poręba,5076,8.3,10.0
39,Szklarska Poręba,2891,9.7,9.8
40,Szklarska Poręba,2393,8.3,8.0
41,Szklarska Poręba,7269,8.5,10.0
42,Szklarska Poręba,2572,10.0,10.0
43,Szklarska Poręba,3455,9.3,9.7
44,Szklarska Poręba,4609,9.6,9.2
45,Szklarska Poręba,3724,10.0,10.0
46,Szklarska Poręba,12880,7.4,8.0
47,Szklarska Poręba,3548,7.9,8.7
48,Szklarska Poręba,3938,8.4,8.8
49,Szklarska Poręba,2369,8.5,8.5
50,Szklarska Poręba,3272,8.5,10.0
51,Szklarska Poręba,2369,10.0,10.0
52,Szklarska Poręba,2006,8.0,8.7
53,Szklarska Poręba,2736,8.8,8.7
54,Szklarska Poręba,2649,8.9,10.0
55,Szklarska Poręba,3271,9.8,10.0
56,Szklarska Poręba,2289,9.9,9.0
57,Szklarska Poręba,3500,9.3,9.6
58,Szklarska Poręba,2975,9.6,9.7
59,Szklarska Poręba,2778,9.8,8.1
60,Szklarska Poręba,3099,7.0,10.0
61,Szklarska Poręba,2495,8.8,9.1
62,Szklarska Poręba,2433,8.9,9.5
63,Szklarska Poręba,2350,9.4,9.7
64,Szklarska Poręba,4359,9.7,9.8
65,Szklarska Poręba,4109,9.8,8.5
66,Szklarska Poręba,2339,8.2,9.7
67,Szklarska Poręba,2218,9.6,9.0
68,Szklarska Poręba,2408,9.0,9.7
69,Szklarska Poręba,8495,9.7,9.7
70,Szklarska Poręba,4315,9.3,8.8
