,City,Cost,Rating,Comfort
0,Ustroń,1374,9.4,9.1
1,Ustroń,2590,10.0,10.0
2,Ustroń,2580,10.0,10.0
3,Ustroń,1890,9.7,10.0
4,Ustroń,4725,9.6,9.5
5,Ustroń,2902,10.0,10.0
6,Ustroń,3337,10.0,10.0
7,Ustroń,1520,9.4,9.6
8,Ustroń,1703,9.7,10.0
9,Ustroń,1603,9.5,9.4
10,Ustroń,2787,9.2,9.6
11,Ustroń,5110,8.1,9.5
12,Ustroń,2472,9.6,9.1
13,Ustroń,2975,8.7,8.9
14,Ustroń,1673,8.7,10.0
15,Ustroń,8845,9.3,9.2
16,Ustroń,3778,9.4,8.7
17,Ustroń,2102,8.9,9.8
18,Ustroń,1505,9.7,9.5
19,Ustroń,2242,9.5,9.7
20,Ustroń,2170,9.6,8.3
21,Ustroń,1785,8.2,9.8
22,Ustroń,1995,9.7,9.6
23,Ustroń,7236,9.8,9.8
24,Ustroń,1785,8.0,9.6
25,Ustroń,2542,9.8,8.6
26,Ustroń,3235,9.5,8.4
27,Ustroń,1956,8.4,9.0
28,Ustroń,1772,8.7,9.2
29,Ustroń,2195,8.0,9.4
30,Ustroń,2205,9.0,8.9
31,Ustroń,3801,9.2,9.2
32,Ustroń,3339,9.3,9.9
33,Ustroń,2434,9.1,8.7
34,Ustroń,2128,9.2,9.8
35,Ustroń,2668,9.8,9.3
36,Ustroń,2379,8.7,10.0
37,Ustroń,2466,9.8,9.8
38,Ustroń,3920,9.2,9.0
39,Ustroń,2959,9.8,9.4
40,Ustroń,2137,9.8,8.4
41,Ustroń,5148,9.4,8.2
42,Ustroń,3014,9.4,8.7
43,Ustroń,2961,8.5,9.8
44,Ustroń,4305,8.2,8.8
45,Ustroń,2463,8.7,9.6
46,Ustroń,3272,9.8,9.4
47,Ustroń,3570,8.4,8.5
48,Ustroń,4200,9.6,9.0
49,Ustroń,8596,9.2,9.5
50,Ustroń,2056,8.7,9.4
51,Ustroń,1983,9.0,9.6
52,Ustroń,2288,9.8,8.8
53,Ustroń,2415,9.3,8.9
54,Ustroń,1834,9.6,9.3
55,Ustroń,3423,9.5,9.3
56,Ustroń,1298,9.1,8.9
57,Ustroń,2234,9.5,9.7
58,Ustroń,2123,9.4,9.3
59,Ustroń,2415,9.0,9.9
60,Ustroń,1960,9.7,9.7
61,Ustroń,2450,9.3,9.7
62,Ustroń,2205,9.7,9.1
63,Ustroń,2089,9.5,9.2
64,Ustroń,2230,9.5,9.0
65,Ustroń,1918,9.2,9.2
66,Ustroń,2379,9.0,8.8
67,Ustroń,1772,9.2,9.0
68,Ustroń,2862,8.1,9.2
69,Ustroń,1788,9.2,8.8
