,City,Cost,Rating,Comfort
0,Zakopane,2359,9.4,9.4
1,Zakopane,1435,8.9,9.1
2,Zakopane,1736,7.9,9.3
3,Zakopane,2576,9.4,9.5
4,Zakopane,4041,9.3,10.0
5,Zakopane,2856,10.0,10.0
6,Zakopane,2583,9.0,9.9
7,Zakopane,2452,9.7,9.6
8,Zakopane,3848,10.0,9.6
9,Zakopane,2614,9.3,10.0
10,Zakopane,2479,10.0,8.5
11,Zakopane,2723,8.5,9.4
12,Zakopane,2611,9.4,8.7
13,Zakopane,3346,8.9,8.3
14,Zakopane,3985,8.4,9.9
15,Zakopane,3892,9.8,9.3
16,Zakopane,4065,9.3,8.9
17,"Krupówki, Zakopane",3843,9.2,9.5
18,Zakopane,2541,9.3,10.0
19,Zakopane,1302,10.0,9.8
20,Zakopane,2487,9.8,9.4
21,Zakopane,3884,9.1,9.1
22,Zakopane,4902,9.2,8.1
23,Zakopane,1939,8.4,10.0
24,Zakopane,4173,10.0,10.0
25,Zakopane,3556,9.0,8.7
26,"Krupówki, Zakopane",3545,8.7,8.6
27,Zakopane,1863,9.2,8.7
28,Zakopane,2982,8.6,9.8
29,Zakopane,3848,9.9,9.0
30,Zakopane,5656,9.1,9.7
31,"Krupówki, Zakopane",1845,9.6,9.6
32,Zakopane,4242,9.7,8.9
33,Zakopane,1210,8.9,9.0
34,Zakopane,1617,9.2,9.3
35,Zakopane,2614,9.0,9.6
36,Zakopane,2002,9.3,9.6
37,Zakopane,5512,7.6,8.1
38,Zakopane,1302,9.4,9.2
39,Zakopane,2142,8.3,8.7
40,Zakopane,2720,9.3,9.9
41,"Krupówki, Zakopane",3381,8.8,9.2
42,Zakopane,4829,9.7,9.0
43,Zakopane,1372,9.1,9.7
44,Zakopane,3542,7.9,9.6
45,Zakopane,3614,8.0,9.9
46,Zakopane,2142,8.9,9.6
47,Zakopane,4128,9.4,9.5
48,Zakopane,3353,9.3,9.6
49,Zakopane,1260,9.7,8.8
50,Zakopane,2652,9.5,10.0
51,Zakopane,1386,9.2,9.3
52,Zakopane,1697,9.5,9.5
53,Zakopane,3015,8.7,9.1
54,Zakopane,2479,9.9,8.9
55,Zakopane,4930,9.1,9.3
56,Zakopane,3168,9.3,8.2
57,Zakopane,3665,9.1,9.1
58,"Krupówki, Zakopane",3710,8.6,9.3
59,Zakopane,6170,9.2,9.3
60,Zakopane,2611,8.5,8.5
61,Zakopane,4041,9.0,8.8
62,Zakopane,4442,9.3,10.0
63,Zakopane,4064,9.4,8.4
64,Zakopane,5363,8.3,10.0
65,Zakopane,4571,9.0,8.9
66,Zakopane,6310,10.0,9.7
67,Zakopane,2632,8.5,8.9
68,Zakopane,3884,9.0,9.6
69,"Krupówki, Zakopane",4484,9.0,9.7
70,Zakopane,4105,9.6,8.4
71,Zakopane,2776,8.5,9.7
72,Zakopane,3452,9.5,8.7
73,Zakopane,3060,9.5,9.4
74,Zakopane,4613,8.3,9.9
75,Zakopane,2177,9.6,9.2
76,Zakopane,3925,7.9,8.9
77,Zakopane,1960,8.8,8.6
78,Zakopane,2142,9.1,8.6
79,Zakopane,3346,9.8,8.8
80,Zakopane,2172,9.4,9.8
81,Zakopane,2492,8.9,9.3
82,Zakopane,4242,9.0,9.0
83,Zakopane,2776,8.9,9.4
84,"Krupówki, Zakopane",2693,8.8,9.4
85,Zakopane,3985,9.7,9.6
86,"Krupówki, Zakopane",5336,9.1,8.9
87,Zakopane,3256,9.1,9.2
88,Zakopane,2352,9.3,9.4
89,Zakopane,2612,9.4,8.7
90,Zakopane,2652,9.5,8.5
91,Zakopane,3918,8.8,10.0
92,Zakopane,3833,9.2,9.1
93,Zakopane,2206,9.4,9.7
94,Zakopane,1415,8.8,9.3
95,Zakopane,2945,8.5,9.2
96,Zakopane,2310,10.0,8.8
97,Zakopane,1826,8.8,9.5
98,Zakopane,6645,9.6,9.7
99,Zakopane,3304,9.0,8.4
100,Zakopane,5427,8.3,8.9
101,Zakopane,2142,8.9,9.4
102,Zakopane,1871,9.2,9.5
103,Zakopane,1820,9.6,8.5
104,Zakopane,3892,8.2,9.2
105,Zakopane,4385,8.8,9.0
106,Zakopane,2745,9.3,8.9
107,Zakopane,2737,9.2,9.4
108,Zakopane,1806,9.0,9.4
109,Zakopane,5376,9.2,8.2
110,Zakopane,4065,9.1,9.0
111,Zakopane,2740,8.9,8.5
112,Zakopane,8072,9.4,8.5
113,Zakopane,1831,9.6,8.2
114,Zakopane,2088,5.0,10.0
115,Zakopane,3511,8.2,9.6
116,Zakopane,3391,8.9,9.6
117,Zakopane,2632,8.2,8.3
118,Zakopane,3578,8.4,8.8
119,Zakopane,2581,8.0,9.2
120,Zakopane,2324,10.0,8.4
121,Zakopane,2715,9.5,9.6
122,Zakopane,2632,9.4,8.8
123,Zakopane,2639,8.3,8.8
124,Zakopane,3318,9.2,8.4
125,Zakopane,1932,9.5,9.5
126,Zakopane,1946,8.4,9.4
127,Zakopane,3372,9.6,9.1
128,"Krupówki, Zakopane",5152,8.7,9.1
129,"Krupówki, Zakopane",3843,8.8,9.9
130,Zakopane,1491,8.4,9.5
131,Zakopane,1890,9.5,9.7
132,Zakopane,2352,9.3,9.9
133,Zakopane,2702,8.9,9.7
134,Zakopane,3848,8.9,8.3
135,Zakopane,2541,9.8,9.1
136,Zakopane,3391,9.3,8.3
137,Zakopane,2360,9.5,9.2
138,Zakopane,3022,8.0,8.8
139,Zakopane,2639,9.8,9.5
140,Zakopane,2712,7.7,10.0
141,Zakopane,3757,9.5,8.4
142,Zakopane,9760,8.2,9.2
143,Zakopane,2852,9.0,9.2
144,Zakopane,3190,8.4,8.8
145,Zakopane,3449,9.2,9.0
146,Zakopane,6318,9.0,9.1
147,Zakopane,3276,9.5,9.4
148,Zakopane,3180,9.8,9.3
149,Zakopane,3848,8.6,8.8
150,Zakopane,3893,8.8,8.7
151,"Krupówki, Zakopane",6463,9.1,10.0
152,Zakopane,7017,8.8,8.4
153,Zakopane,2967,8.6,9.6
154,Zakopane,3884,8.8,9.4
155,"Krupówki, Zakopane",3718,9.2,8.7
156,Zakopane,3244,9.4,9.4
157,Zakopane,4806,8.6,9.8
158,Zakopane,4248,8.7,8.7
159,Zakopane,1950,10.0,9.5
160,Zakopane,3556,8.3,8.7
161,Zakopane,7506,9.5,9.8
162,Zakopane,3696,9.4,8.9
163,Zakopane,2296,8.8,10.0
164,Zakopane,4016,9.3,8.0
165,Zakopane,3237,9.8,8.7
166,Zakopane,2013,8.5,8.2
167,"Krupówki, Zakopane",10232,9.3,9.4
168,Zakopane,8442,8.5,9.6
169,Zakopane,2752,9.8,9.5
170,Zakopane,3276,9.1,8.9
171,Zakopane,3465,10.0,9.3
172,Zakopane,4061,8.5,9.1
173,Zakopane,4394,8.1,8.7
174,Zakopane,7572,8.8,9.9
175,Zakopane,6380,8.3,9.9
176,Zakopane,2940,9.2,8.5
177,Zakopane,2998,9.5,9.4
178,Zakopane,4724,9.5,9.6
179,"Krupówki, Zakopane",3545,9.0,9.5
180,"Krupówki, Zakopane",3295,9.0,9.0
181,"Krupówki, Zakopane",4104,7.4,9.1
182,"Krupówki, Zakopane",2912,9.0,8.7
