,City,Cost,Rating,Comfort
0,Żywiec,2083,9.7,9.7
1,Żywiec,1750,8.7,8.3
2,Żywiec,1967,9.6,9.6
3,Żywiec,2520,9.5,9.6
4,Żywiec,4550,9.5,9.3
5,Żywiec,2975,8.6,8.7
6,Żywiec,1960,10.0,10.0
7,Żywiec,2520,9.8,9.7
8,Żywiec,4900,8.7,8.1
9,Żywiec,3635,9.7,9.6
10,Żywiec,3650,9.8,9.7
11,Żywiec,3735,8.0,10.0
12,Żywiec,3150,10.0,8.9
13,Żywiec,8032,8.7,8.2
14,Żywiec,2590,8.2,8.1
15,Żywiec,3259,8.6,10.0
16,Żywiec,3360,7.4,10.0
17,Żywiec,2450,9.9,10.0
18,Żywiec,4077,9.8,9.7
19,Żywiec,5978,10.0,10.0
20,Żywiec,4410,9.7,9.5
21,Żywiec,3581,9.5,9.7
22,Żywiec,3865,9.6,8.3
23,Żywiec,4345,9.4,9.6
