,City,Cost,Rating,Comfort
0,Białka Tatrzańska,2463,9.5,9.6
1,Białka Tatrzańska,4900,10.0,10.0
2,Białka Tatrzańska,3138,9.3,9.5
3,Białka Tatrzańska,3351,9.0,9.3
4,Białka Tatrzańska,2024,10.0,10.0
5,Białka Tatrzańska,2516,9.3,9.5
6,Białka Tatrzańska,3195,9.1,9.1
7,Białka Tatrzańska,3990,8.9,8.9
8,Białka Tatrzańska,2821,8.8,8.7
9,Białka Tatrzańska,3104,8.5,8.6
10,Białka Tatrzańska,3388,9.2,9.3
11,Białka Tatrzańska,1546,8.8,8.9
12,Białka Tatrzańska,1889,9.1,9.1
13,Białka Tatrzańska,7654,8.7,8.9
14,Białka Tatrzańska,2127,9.1,9.0
15,Białka Tatrzańska,3180,9.3,9.4
16,Białka Tatrzańska,5896,10.0,10.0
17,Białka Tatrzańska,1548,8.7,8.9
18,Białka Tatrzańska,2428,9.2,8.9
19,Białka Tatrzańska,2737,9.4,9.4
20,Białka Tatrzańska,3237,9.0,8.8
21,Białka Tatrzańska,2355,9.5,9.7
22,Białka Tatrzańska,2648,9.3,9.6
23,Białka Tatrzańska,1840,8.9,8.8
24,Białka Tatrzańska,3646,9.5,9.6
25,Białka Tatrzańska,2331,9.9,9.9
26,Białka Tatrzańska,2496,8.8,8.9
27,Białka Tatrzańska,5740,9.6,9.6
28,Białka Tatrzańska,3864,8.9,9.1
29,Białka Tatrzańska,3150,9.7,9.9
30,Białka Tatrzańska,2356,8.5,8.4
31,Białka Tatrzańska,3154,9.6,9.6
32,Białka Tatrzańska,4970,9.2,9.1
33,Białka Tatrzańska,1067,9.3,9.5
34,Białka Tatrzańska,2451,9.1,9.3
35,Białka Tatrzańska,2310,10.0,10.0
36,Białka Tatrzańska,11378,9.0,9.1
37,Białka Tatrzańska,4766,8.8,8.9
38,Białka Tatrzańska,18135,9.7,9.8
39,Białka Tatrzańska,5569,9.2,9.4
40,Białka Tatrzańska,9800,9.3,9.4
41,Białka Tatrzańska,4869,9.0,8.5
42,Białka Tatrzańska,5408,9.0,9.1
43,Białka Tatrzańska,3735,8.7,8.8
44,Białka Tatrzańska,3812,9.1,8.9
45,Białka Tatrzańska,2973,8.6,8.5
46,Białka Tatrzańska,5580,9.4,9.5
47,Białka Tatrzańska,2973,8.9,9.0
48,Białka Tatrzańska,3458,9.3,9.1
49,Białka Tatrzańska,3220,8.7,8.6
50,Białka Tatrzańska,1845,8.4,8.4
51,Białka Tatrzańska,4816,8.9,9.0
52,Białka Tatrzańska,3956,9.0,8.7
53,Białka Tatrzańska,4376,9.1,9.1
54,Białka Tatrzańska,5866,9.0,9.2
55,Białka Tatrzańska,5040,9.3,9.7
56,Białka Tatrzańska,1812,9.2,9.1
57,Białka Tatrzańska,1916,9.2,9.6
58,Białka Tatrzańska,2900,9.5,9.4
59,Białka Tatrzańska,1680,8.9,9.1
60,Białka Tatrzańska,2691,9.1,9.2
61,Białka Tatrzańska,2268,9.4,9.5
62,Białka Tatrzańska,2875,8.8,8.6
63,Białka Tatrzańska,3134,9.0,9.0
64,Białka Tatrzańska,3786,9.3,9.2
65,Białka Tatrzańska,3360,8.8,8.6
66,Białka Tatrzańska,1803,9.7,9.8
67,Białka Tatrzańska,4776,9.5,9.5
68,Białka Tatrzańska,2136,9.2,9.2
69,Białka Tatrzańska,2254,9.4,9.6
70,Białka Tatrzańska,4340,8.9,8.8
71,Białka Tatrzańska,2392,9.2,9.0
72,Białka Tatrzańska,5018,9.2,9.2
73,Białka Tatrzańska,1481,9.8,9.8
74,Białka Tatrzańska,1656,9.3,9.5
75,Białka Tatrzańska,3360,9.9,9.8
76,Białka Tatrzańska,3257,9.2,9.2
77,Białka Tatrzańska,2190,9.7,9.6
78,Białka Tatrzańska,4087,9.2,9.2
79,Białka Tatrzańska,1898,9.6,9.6
80,Białka Tatrzańska,3570,10.0,10.0
81,Białka Tatrzańska,1646,8.7,9.0
82,Białka Tatrzańska,3147,9.6,9.8
83,Białka Tatrzańska,3961,9.8,9.8
84,Białka Tatrzańska,5925,9.1,9.0
85,Białka Tatrzańska,3850,9.5,9.7
86,Białka Tatrzańska,3890,9.4,9.6
87,Białka Tatrzańska,5600,9.4,9.5
88,Białka Tatrzańska,3385,9.1,8.8
89,Białka Tatrzańska,4200,9.0,8.6
90,Białka Tatrzańska,2145,8.8,8.4
91,Białka Tatrzańska,2548,9.0,9.2
92,Białka Tatrzańska,3645,9.0,9.0
93,Białka Tatrzańska,2715,8.9,8.9
94,Białka Tatrzańska,3385,9.3,9.3
95,Białka Tatrzańska,2842,9.3,9.6
96,Białka Tatrzańska,5538,9.2,9.6
97,Białka Tatrzańska,3684,8.6,9.0
98,Białka Tatrzańska,3085,9.4,9.2
99,Białka Tatrzańska,4057,9.3,9.7
100,Białka Tatrzańska,1926,9.3,9.8
101,Białka Tatrzańska,1288,9.6,9.6
102,Białka Tatrzańska,2775,9.3,9.0
103,Białka Tatrzańska,2644,9.1,9.5
104,Białka Tatrzańska,3831,9.4,8.6
105,Białka Tatrzańska,2576,8.3,9.4
106,Białka Tatrzańska,2888,8.6,9.3
107,Białka Tatrzańska,2954,9.5,9.6
108,Białka Tatrzańska,1204,9.4,9.1
109,Białka Tatrzańska,1868,9.8,9.7
110,Białka Tatrzańska,2876,9.3,9.6
111,Białka Tatrzańska,2724,9.6,9.2
112,Białka Tatrzańska,2520,9.7,9.5
113,Białka Tatrzańska,2800,9.4,9.2
114,Białka Tatrzańska,2499,9.6,9.1
115,Białka Tatrzańska,3226,9.3,8.0
116,Białka Tatrzańska,2520,9.0,9.4
117,Białka Tatrzańska,3500,8.2,9.4
118,Białka Tatrzańska,2447,9.8,9.4
119,Białka Tatrzańska,3011,9.2,9.4
120,Białka Tatrzańska,4656,9.3,9.5
121,Białka Tatrzańska,1677,9.2,10.0
122,Białka Tatrzańska,2512,8.3,9.4
123,Białka Tatrzańska,3462,9.5,8.3
124,Białka Tatrzańska,2666,9.0,10.0
125,Białka Tatrzańska,3351,8.3,8.8
126,Białka Tatrzańska,4186,8.7,9.8
127,Białka Tatrzańska,3351,8.8,9.4
128,Białka Tatrzańska,2597,8.7,9.6
129,Białka Tatrzańska,3351,9.2,9.4
130,Białka Tatrzańska,3351,8.4,10.0
131,Białka Tatrzańska,3351,9.3,10.0
132,Białka Tatrzańska,3282,9.1,10.0
133,Białka Tatrzańska,3351,9.5,10.0
134,Białka Tatrzańska,4865,9.0,9.4
135,Białka Tatrzańska,2029,9.5,10.0
136,Białka Tatrzańska,2331,9.9,9.3
137,Białka Tatrzańska,2061,9.3,9.6
138,Białka Tatrzańska,2560,9.6,9.2
139,Białka Tatrzańska,3640,9.2,9.9
140,Białka Tatrzańska,2898,9.9,9.3
141,Białka Tatrzańska,4341,9.9,9.5
142,Białka Tatrzańska,3864,7.2,8.7
143,Białka Tatrzańska,3538,9.6,9.5
144,Białka Tatrzańska,3003,9.3,9.7
145,Białka Tatrzańska,1288,9.3,9.6
146,Białka Tatrzańska,3542,9.3,9.8
147,Białka Tatrzańska,10304,8.9,9.6
148,Białka Tatrzańska,5873,9.1,9.8
149,Białka Tatrzańska,4186,9.3,9.8
150,Białka Tatrzańska,4768,9.7,9.8
151,Białka Tatrzańska,10127,8.0,9.8
152,Białka Tatrzańska,2318,9.4,8.3
153,Białka Tatrzańska,4167,9.5,8.5
154,Białka Tatrzańska,1913,9.7,9.8
155,Białka Tatrzańska,3628,9.7,9.8
156,Białka Tatrzańska,4637,9.7,9.5
157,Białka Tatrzańska,4956,9.7,9.4
158,Białka Tatrzańska,4612,9.7,9.4
159,Białka Tatrzańska,2898,8.4,9.6
160,Białka Tatrzańska,3478,8.7,9.8
161,Białka Tatrzańska,2834,9.7,9.1
162,Białka Tatrzańska,2576,9.8,9.9
163,Białka Tatrzańska,3349,9.5,8.9
164,Białka Tatrzańska,5332,9.5,8.7
165,Białka Tatrzańska,5255,9.5,9.4
166,Białka Tatrzańska,3080,9.3,8.8
167,Białka Tatrzańska,2576,9.5,9.5
168,Białka Tatrzańska,2087,9.4,9.3
169,Białka Tatrzańska,4508,9.9,8.4
170,Białka Tatrzańska,4252,9.0,9.1
171,Białka Tatrzańska,5345,8.8,9.4
172,Białka Tatrzańska,3981,9.2,9.5
173,Białka Tatrzańska,1803,8.9,9.2
174,Białka Tatrzańska,3276,9.4,8.9
175,Białka Tatrzańska,5330,9.1,9.8
176,Białka Tatrzańska,3643,8.4,9.6
177,Białka Tatrzańska,2686,9.1,9.5
178,Białka Tatrzańska,6187,9.3,9.5
179,Białka Tatrzańska,2162,9.5,9.5
180,Białka Tatrzańska,2800,9.1,9.3
181,Białka Tatrzańska,2240,9.0,9.8
182,Białka Tatrzańska,5950,9.4,9.8
183,Białka Tatrzańska,3640,9.6,9.7
184,Białka Tatrzańska,3606,9.5,8.6
185,Białka Tatrzańska,5189,9.5,9.9
186,Białka Tatrzańska,2856,9.5,8.5
187,Białka Tatrzańska,3678,9.6,8.9
188,Białka Tatrzańska,7000,9.8,9.2
189,Białka Tatrzańska,1880,9.6,9.5
190,Białka Tatrzańska,3668,9.8,9.0
191,Białka Tatrzańska,2486,8.6,9.5
192,Białka Tatrzańska,3742,9.8,9.5
193,Białka Tatrzańska,2272,8.7,9.5
194,Białka Tatrzańska,1532,9.0,9.7
195,Białka Tatrzańska,1988,9.3,9.0
196,Białka Tatrzańska,1674,9.5,9.2
197,Białka Tatrzańska,3213,9.1,9.5
198,Białka Tatrzańska,1365,9.6,9.8
199,Białka Tatrzańska,1968,9.5,10.0
200,Białka Tatrzańska,3950,9.4,9.5
201,Białka Tatrzańska,4991,9.6,9.7
202,Białka Tatrzańska,3010,8.8,9.7
203,Białka Tatrzańska,6776,8.8,10.0
204,Białka Tatrzańska,5489,9.2,9.5
205,Białka Tatrzańska,3229,9.9,9.7
206,Białka Tatrzańska,4939,9.9,9.7
207,Białka Tatrzańska,2254,9.4,9.6
208,Białka Tatrzańska,3188,9.7,9.7
209,Białka Tatrzańska,5474,9.5,9.7
210,Białka Tatrzańska,5796,10.0,10.0
211,Białka Tatrzańska,3542,9.5,9.7
212,Białka Tatrzańska,3478,9.6,9.6
213,Białka Tatrzańska,4106,9.5,8.8
214,Białka Tatrzańska,2318,9.5,8.3
215,Białka Tatrzańska,2267,9.6,9.0
216,Białka Tatrzańska,2870,9.5,9.2
217,Białka Tatrzańska,4186,10.0,9.7
218,Białka Tatrzańska,2492,9.4,9.8
219,Białka Tatrzańska,3912,9.6,9.0
220,Białka Tatrzańska,5345,8.9,8.8
221,Białka Tatrzańska,5410,8.9,9.5
222,Białka Tatrzańska,2576,9.1,9.4
223,Białka Tatrzańska,3349,8.7,9.2
224,Białka Tatrzańska,4766,9.8,8.8
225,Białka Tatrzańska,2705,9.8,9.1
226,Białka Tatrzańska,2061,9.2,9.4
