,City,Cost,Rating,Comfort
0,Brenna,3304,9.7,9.6
1,Brenna,2478,9.0,8.9
2,Brenna,2128,8.9,9.0
3,Brenna,2883,9.0,10.0
4,Brenna,6124,10.0,8.8
5,Brenna,3878,8.8,8.5
6,Brenna,1810,8.8,8.4
7,Brenna,1540,9.7,9.6
8,Brenna,2576,9.5,9.5
9,Brenna,2156,8.7,8.4
10,Brenna,3278,9.7,10.0
11,Brenna,2582,9.4,9.1
12,Brenna,12068,9.5,10.0
13,Brenna,2418,9.9,9.7
14,Brenna,3786,9.4,8.9
15,Brenna,2506,8.7,8.7
16,Brenna,5518,9.8,9.6
17,Brenna,4088,8.7,8.7
18,Brenna,3958,9.1,9.3
19,Brenna,2926,9.5,9.5
20,Brenna,2121,9.2,9.0
21,Brenna,2576,9.4,9.4
22,Brenna,3619,9.1,9.0
23,Brenna,3528,9.9,10.0
24,Brenna,2303,9.6,9.3
25,Brenna,3301,9.7,9.8
26,Brenna,8130,9.6,9.6
27,Brenna,5486,10.0,8.8
28,Brenna,6692,9.4,9.4
29,Brenna,1810,9.5,10.0
30,Brenna,2366,9.5,9.5
31,Brenna,1736,9.5,9.1
32,Brenna,2800,9.9,9.6
33,Brenna,3038,9.5,9.5
34,Brenna,4802,9.6,9.5
35,Brenna,3278,9.7,10.0
36,Brenna,3178,8.7,8.4
37,Brenna,3594,9.7,9.7
38,Brenna,3920,9.5,9.4
39,Brenna,5400,9.0,9.4
40,Brenna,9428,10.0,10.0
41,Brenna,3969,9.4,9.5
42,Brenna,2638,9.1,8.6
43,Brenna,2828,9.0,8.9
44,Brenna,2863,9.7,9.6
45,Brenna,4956,8.5,8.6
46,Brenna,4578,9.7,9.7
47,Brenna,2646,8.9,8.9
48,Brenna,4311,8.7,10.0
49,Brenna,4056,10.0,10.0
50,Brenna,3507,9.6,9.8
51,Brenna,7392,9.6,9.5
52,Brenna,5355,8.7,8.4
53,Brenna,8400,9.5,9.3
54,Brenna,2582,9.8,10.0
