,City,Cost,Rating,Comfort
0,Bukowina Tatrzańska,2507,8.5,8.6
1,Bukowina Tatrzańska,1998,9.6,9.6
2,Bukowina Tatrzańska,2184,9.7,9.8
3,Bukowina Tatrzańska,1680,9.4,9.4
4,Bukowina Tatrzańska,3709,9.6,9.6
5,Bukowina Tatrzańska,2587,9.6,9.4
6,Bukowina Tatrzańska,4865,8.8,8.6
7,Bukowina Tatrzańska,1750,9.3,9.2
8,Bukowina Tatrzańska,1756,8.6,8.5
9,Bukowina Tatrzańska,8260,9.1,9.1
10,Bukowina Tatrzańska,1718,9.1,9.2
11,Bukowina Tatrzańska,2075,9.9,10.0
12,Bukowina Tatrzańska,1652,9.4,9.5
13,Bukowina Tatrzańska,2898,9.2,9.0
14,Bukowina Tatrzańska,2370,9.7,9.5
15,Bukowina Tatrzańska,2100,9.4,9.3
16,Bukowina Tatrzańska,1837,9.5,9.5
17,Bukowina Tatrzańska,1779,8.4,8.2
18,Bukowina Tatrzańska,2073,9.7,9.8
19,Bukowina Tatrzańska,3147,9.7,9.5
20,Bukowina Tatrzańska,2240,9.5,9.3
21,Bukowina Tatrzańska,3772,9.1,9.1
22,Bukowina Tatrzańska,2383,9.6,9.3
23,Bukowina Tatrzańska,10162,9.7,9.7
24,Bukowina Tatrzańska,4263,9.6,9.7
25,Bukowina Tatrzańska,3284,9.2,9.1
26,Bukowina Tatrzańska,3192,9.2,9.1
27,Bukowina Tatrzańska,3220,8.4,8.4
28,Bukowina Tatrzańska,4480,7.4,9.7
29,Bukowina Tatrzańska,1820,9.4,8.8
30,Bukowina Tatrzańska,3739,8.9,9.7
31,Bukowina Tatrzańska,3270,9.6,9.1
32,Bukowina Tatrzańska,4158,9.0,9.5
33,Bukowina Tatrzańska,5950,9.5,9.2
34,Bukowina Tatrzańska,7204,9.1,10.0
35,Bukowina Tatrzańska,2017,9.7,9.1
36,Bukowina Tatrzańska,2324,9.2,8.9
37,Bukowina Tatrzańska,2258,8.6,9.3
38,Bukowina Tatrzańska,1820,9.4,9.8
39,Bukowina Tatrzańska,2460,9.5,9.7
40,Bukowina Tatrzańska,2346,9.5,8.8
41,Bukowina Tatrzańska,1925,9.1,9.5
42,Bukowina Tatrzańska,2800,9.5,9.8
43,Bukowina Tatrzańska,3080,9.7,9.6
44,Bukowina Tatrzańska,1490,9.8,9.8
45,Bukowina Tatrzańska,2940,9.8,9.1
46,Bukowina Tatrzańska,3150,8.9,9.5
47,Bukowina Tatrzańska,3514,9.5,8.3
48,Bukowina Tatrzańska,5798,8.5,9.7
