,City,Cost,Rating,Comfort
0,Karpacz,1538,7.2,10.0
1,Karpacz,2940,9.7,9.0
2,Karpacz,2671,8.9,10.0
3,Karpacz,2834,9.0,8.9
4,Karpacz,2650,9.0,8.8
5,Karpacz,2523,9.2,8.9
6,Karpacz,2939,8.8,9.1
7,Karpacz,2944,8.8,8.0
8,Karpacz,10254,8.3,8.5
9,Karpacz,2651,8.5,9.7
10,Karpacz,4886,9.9,8.7
11,Karpacz,3050,8.6,10.0
12,Karpacz,2512,10.0,8.0
13,Karpacz,3447,8.1,8.9
14,Karpacz,3126,8.8,9.6
15,Karpacz,6761,9.6,8.6
16,Karpacz,4220,8.5,8.6
17,Karpacz,2325,8.9,9.2
18,Karpacz,5958,9.7,9.2
19,Karpacz,2271,9.1,10.0
20,Karpacz,6457,10.0,8.6
21,Karpacz,2531,8.8,9.3
22,Karpacz,2780,7.5,9.2
23,Karpacz,2942,9.3,8.9
24,Karpacz,2906,9.3,8.7
25,Karpacz,2388,8.7,9.2
26,Karpacz,2018,8.6,8.8
27,Karpacz,2788,8.8,8.5
28,Karpacz,2071,8.7,10.0
29,Karpacz,2834,8.3,8.7
30,Karpacz,2690,9.0,8.8
31,Karpacz,2542,8.7,8.4
32,Karpacz,9794,9.3,9.0
33,Karpacz,2719,8.8,9.4
34,Karpacz,2795,8.9,9.0
35,Karpacz,2650,9.0,8.9
36,Karpacz,2471,8.9,9.0
37,Karpacz,1810,8.8,9.0
38,Karpacz,9011,8.6,10.0
39,Karpacz,3277,9.0,9.8
40,Karpacz,3308,6.0,9.3
41,Karpacz,3555,9.7,8.8
42,Karpacz,4018,9.7,9.3
43,Karpacz,2797,9.1,8.2
44,Karpacz,2170,9.0,8.3
45,Karpacz,2882,9.2,9.2
46,Karpacz,3634,8.3,8.8
47,Karpacz,2610,8.6,9.4
48,Karpacz,2999,9.2,8.5
49,Karpacz,2561,9.2,9.5
50,Karpacz,2522,9.4,8.7
51,Karpacz,2722,8.7,8.7
52,Karpacz,1694,9.6,8.9
53,Karpacz,3128,8.7,8.8
54,Karpacz,2939,9.0,9.6
55,Karpacz,2641,8.8,8.6
56,Karpacz,2797,8.8,9.2
57,Karpacz,2461,9.2,9.0
58,Karpacz,2767,8.8,8.6
59,Karpacz,2471,9.3,8.9
60,Karpacz,2944,9.0,9.9
61,Karpacz,4018,8.9,8.4
62,Karpacz,2263,8.8,9.0
63,Karpacz,2034,9.9,9.2
64,Karpacz,1981,7.2,8.2
65,Karpacz,3101,8.6,9.7
66,Karpacz,2300,8.9,9.0
67,Karpacz,3419,9.0,9.6
68,Karpacz,2347,8.4,10.0
69,Karpacz,2070,9.7,9.5
70,Karpacz,2657,9.1,8.0
71,Karpacz,2210,9.3,9.2
72,Karpacz,2550,10.0,9.5
73,Karpacz,2384,9.4,9.8
74,Karpacz,2916,8.3,9.4
75,Karpacz,2893,8.9,9.0
76,Karpacz,4324,9.3,8.4
77,Karpacz,3355,9.2,8.0
78,Karpacz,3627,9.0,8.8
79,Karpacz,2651,8.8,8.9
80,Karpacz,3627,8.4,8.4
81,Karpacz,8140,7.4,8.5
82,Karpacz,10614,8.1,9.4
83,Karpacz,4018,8.8,8.8
84,Karpacz,3355,9.1,8.4
85,Karpacz,3050,8.5,8.8
86,Karpacz,3173,8.7,10.0
87,Karpacz,2408,9.4,9.8
88,Karpacz,2860,8.9,9.8
89,Karpacz,4198,8.1,9.5
90,Karpacz,4400,9.6,9.3
91,Karpacz,7293,10.0,9.6
92,Karpacz,4019,9.8,9.8
93,Karpacz,3126,9.6,8.8
94,Karpacz,2633,9.2,9.6
95,Karpacz,3686,9.1,8.2
96,Karpacz,3058,9.5,9.6
97,Karpacz,6660,9.6,8.5
98,Karpacz,3459,8.2,9.7
99,Karpacz,3459,9.4,9.5
100,Karpacz,2887,8.6,9.1
101,Karpacz,2924,9.5,9.2
102,Karpacz,3686,8.9,9.3
103,Karpacz,2631,9.9,8.3
104,Karpacz,3447,9.5,8.3
105,Karpacz,4327,9.0,8.9
106,Karpacz,3449,9.2,8.2
107,Karpacz,3529,9.2,9.4
108,Karpacz,3349,8.4,9.5
109,Karpacz,3120,8.4,8.6
110,Karpacz,3126,9.1,9.4
111,Karpacz,3565,8.5,9.2
112,Karpacz,7126,9.3,8.8
113,Karpacz,5510,9.6,8.8
114,Karpacz,3161,8.7,8.8
115,Karpacz,3052,9.5,9.2
116,Karpacz,4112,9.1,8.7
117,Karpacz,2567,8.8,9.1
118,Karpacz,2940,8.9,8.5
119,Karpacz,6370,8.7,9.1
120,Karpacz,6378,7.8,10.0
121,Karpacz,2619,9.2,9.2
122,Karpacz,4118,8.6,9.2
123,Karpacz,7202,7.9,8.5
124,Karpacz,2833,9.0,8.7
125,Karpacz,3543,8.2,8.6
126,Karpacz,8694,7.3,8.1
127,Karpacz,5001,9.1,9.1
