,City,Cost,Rating,Comfort
0,Nowy Targ,1960,9.1,9.0
1,Nowy Targ,3970,9.3,9.2
2,Nowy Targ,2029,9.6,9.8
3,Nowy Targ,1662,9.4,9.6
4,Nowy Targ,1750,8.4,8.3
5,Nowy Targ,1715,10.0,10.0
6,Nowy Targ,1904,10.0,10.0
7,Nowy Targ,2237,8.7,8.8
8,Nowy Targ,2380,9.0,9.3
9,Nowy Targ,3388,9.9,10.0
10,Nowy Targ,1701,8.7,8.7
11,Nowy Targ,2325,9.7,9.9
12,Nowy Targ,4946,8.8,8.9
13,Nowy Targ,2499,9.2,9.5
14,Nowy Targ,2800,9.0,9.0
15,Nowy Targ,2383,8.4,8.3
16,Nowy Targ,2254,9.9,10.0
17,Nowy Targ,2818,9.8,10.0
18,Nowy Targ,3130,10.0,10.0
19,Nowy Targ,3500,9.3,9.1
20,Nowy Targ,2521,9.7,9.4
21,Nowy Targ,1989,9.2,9.5
22,Nowy Targ,3064,9.3,9.1
23,Nowy Targ,3499,9.9,10.0
24,Nowy Targ,4165,9.6,9.5
25,Nowy Targ,2800,9.1,9.0
26,Nowy Targ,2184,10.0,10.0
27,Nowy Targ,3763,9.8,9.7
28,Nowy Targ,2320,9.2,9.2
29,Nowy Targ,2029,10.0,10.0
30,Nowy Targ,4820,9.0,9.1
31,Nowy Targ,2450,9.3,9.2
32,Nowy Targ,2383,9.5,9.4
33,Nowy Targ,2890,9.2,9.1
34,Nowy Targ,1960,9.3,9.2
35,Nowy Targ,1662,9.4,9.7
36,Nowy Targ,2933,9.3,9.3
37,Nowy Targ,2282,9.7,9.2
38,Nowy Targ,3500,8.8,9.7
39,Nowy Targ,2723,9.7,9.7
40,Nowy Targ,2450,9.4,9.4
41,Nowy Targ,3500,8.5,8.0
42,Nowy Targ,4920,9.5,9.4
43,Nowy Targ,5313,9.6,9.4
44,Nowy Targ,1925,9.7,9.7
45,Nowy Targ,2117,9.7,9.8
46,Nowy Targ,2970,10.0,10.0
47,Nowy Targ,2653,8.9,8.6
48,Nowy Targ,3570,8.4,9.5
49,Nowy Targ,4550,9.6,9.8
50,Nowy Targ,6615,9.5,10.0
51,Nowy Targ,5950,8.2,9.6
52,Nowy Targ,4080,9.3,9.1
53,Nowy Targ,2268,9.0,9.8
54,Nowy Targ,1750,9.8,9.6
55,Nowy Targ,11305,9.5,8.9
