,City,Cost,Rating,Comfort
0,Solina,2828,9.5,9.4
1,Solina,3878,8.8,9.2
2,Solina,3878,9.3,9.0
3,Solina,3109,9.5,8.8
4,Solina,3556,9.1,8.3
5,Solina,2065,8.7,9.1
6,Solina,2100,9.1,9.6
7,Solina,1708,7.6,9.1
8,Solina,2128,9.4,9.5
9,Solina,6578,9.2,9.5
10,Solina,3850,9.7,9.2
11,Solina,2294,7.8,8.8
12,Solina,2450,9.5,9.5
13,Solina,4627,9.3,8.5
14,Solina,2828,9.0,9.4
15,Solina,7115,9.2,9.3
16,Solina,4049,8.6,9.0
17,Solina,3220,9.3,9.5
18,Solina,2268,9.5,9.3
19,Solina,2506,9.0,9.5
20,Solina,3109,9.2,8.8
21,Solina,2436,9.6,8.5
22,Solina,3528,9.6,8.0
23,Solina,2338,9.4,9.5
24,Solina,2517,9.0,8.8
25,Solina,2478,8.3,9.7
26,Solina,2828,9.3,9.8
27,Solina,1694,8.5,9.0
28,Solina,4508,9.6,9.3
29,Solina,3388,9.7,8.5
30,Solina,6969,9.2,9.9
31,Solina,3883,7.9,9.4
32,Solina,2590,9.4,8.9
33,Solina,4718,8.0,8.8
34,Solina,3178,9.8,9.4
35,Solina,7588,7.2,9.2
36,Solina,4319,9.4,9.1
37,Solina,2608,9.4,9.0
38,Solina,3633,8.6,8.5
39,Solina,4942,9.0,10.0
40,Solina,3296,9.3,9.2
41,Solina,3717,9.4,9.1
42,Solina,9660,9.0,8.6
