,City,Cost,Rating,Comfort
0,Szczawnica,9090,10.0,10.0
1,Szczawnica,3080,8.8,8.9
2,Szczawnica,3584,9.9,9.7
3,Szczawnica,3434,9.6,9.5
4,Szczawnica,3727,9.4,9.3
5,Szczawnica,6832,8.7,8.8
6,Szczawnica,6286,9.3,9.4
7,Szczawnica,2744,9.3,9.1
8,Szczawnica,4235,9.3,9.4
9,Szczawnica,3286,8.9,8.7
10,Szczawnica,2310,9.4,9.2
11,Szczawnica,2114,7.9,8.5
12,Szczawnica,6776,8.5,9.6
13,Szczawnica,2800,8.9,8.4
14,Szczawnica,2884,8.7,9.1
15,Szczawnica,3699,9.1,9.5
16,Szczawnica,2492,9.7,9.1
17,Szczawnica,3514,9.1,8.7
18,Szczawnica,5522,8.6,9.3
19,Szczawnica,8869,9.1,8.5
20,Szczawnica,3052,8.8,9.4
21,Szczawnica,8362,9.2,9.8
22,Szczawnica,3794,7.2,8.8
23,Szczawnica,4040,9.5,8.1
24,Szczawnica,4542,8.6,8.6
25,Szczawnica,6384,7.5,9.5
26,Szczawnica,9530,7.9,9.5
27,Szczawnica,7312,8.6,9.6
28,Szczawnica,3234,9.5,9.3
29,Szczawnica,3434,9.6,8.8
30,Szczawnica,3452,9.4,9.2
31,Szczawnica,2730,9.2,8.6
32,Szczawnica,3066,9.0,9.3
33,Szczawnica,2772,9.5,10.0
34,Szczawnica,2884,8.4,8.6
35,Szczawnica,3727,9.4,9.4
36,Szczawnica,2567,9.8,8.0
37,Szczawnica,2562,8.9,9.2
38,Szczawnica,3003,9.5,8.2
39,Szczawnica,5334,8.2,10.0
40,Szczawnica,3328,9.3,9.1
41,Szczawnica,3598,8.1,9.8
42,Szczawnica,6650,9.8,8.3
43,Szczawnica,1834,9.2,9.0
44,Szczawnica,3752,9.7,8.4
45,Szczawnica,5754,8.5,9.3
46,Szczawnica,3304,9.4,9.3
47,Szczawnica,2424,8.5,8.5
48,Szczawnica,11478,9.0,9.1
49,Szczawnica,3234,9.3,9.4
50,Szczawnica,3955,8.2,9.4
51,Szczawnica,3384,9.4,9.1
52,Szczawnica,7609,9.4,8.8
53,Szczawnica,4244,9.2,8.5
54,Szczawnica,2744,9.3,8.6
55,Szczawnica,3374,8.9,9.2
56,Szczawnica,2912,8.5,8.7
57,Szczawnica,3801,8.8,9.4
58,Szczawnica,6503,9.2,9.0
59,Szczawnica,8456,8.8,9.4
60,Szczawnica,4235,9.3,10.0
61,Szczawnica,2079,9.1,9.4
62,Szczawnica,3780,9.5,9.5
63,Szczawnica,6692,9.6,9.7
64,Szczawnica,4284,9.8,9.7
65,Szczawnica,3080,9.4,9.7
66,Szczawnica,3160,9.8,8.9
67,Szczawnica,4865,9.9,9.4
68,Szczawnica,3612,9.5,10.0
69,Szczawnica,2604,8.9,9.3
70,Szczawnica,2987,9.5,9.1
71,Szczawnica,9184,10.0,9.9
72,Szczawnica,4158,6.4,8.5
73,Szczawnica,3444,9.1,9.6
74,Szczawnica,4130,9.3,9.4
75,Szczawnica,2744,7.7,9.5
76,Szczawnica,3234,9.6,9.2
77,Szczawnica,3080,8.6,8.7
78,Szczawnica,2824,7.9,9.6
79,Szczawnica,2114,9.7,9.2
80,Szczawnica,2884,9.3,9.4
81,Szczawnica,3608,9.3,9.0
82,Szczawnica,4298,8.9,9.1
83,Szczawnica,2814,9.1,9.5
84,Szczawnica,2562,8.9,9.2
85,Szczawnica,2800,9.1,9.0
86,Szczawnica,3399,9.5,9.5
87,Szczawnica,4606,9.1,10.0
88,Szczawnica,3306,9.0,9.7
89,Szczawnica,2534,9.5,9.8
90,Szczawnica,3234,9.2,8.4
91,Szczawnica,2604,9.0,9.6
92,Szczawnica,4634,9.3,9.5
93,Szczawnica,5494,10.0,8.7
94,Szczawnica,4270,9.7,8.3
95,Szczawnica,4462,9.8,8.4
96,Szczawnica,2919,8.6,9.3
97,Szczawnica,6020,9.5,8.6
98,Szczawnica,2996,8.0,9.4
99,Szczawnica,4290,9.3,9.6
100,Szczawnica,2912,8.7,8.8
