,City,Cost,Rating,Comfort
0,Wałbrzych,2023,8.5,9.6
1,Wałbrzych,2320,9.4,9.6
2,Wałbrzych,1996,8.5,8.7
3,Wałbrzych,3465,9.5,9.5
4,Wałbrzych,1856,7.5,9.5
5,Wałbrzych,1995,9.4,9.2
6,Wałbrzych,2443,8.7,9.1
7,Wałbrzych,2801,9.3,9.4
8,Wałbrzych,4060,9.4,8.0
9,Wałbrzych,2720,8.1,9.3
10,Wałbrzych,2730,9.2,9.3
11,Wałbrzych,2590,9.3,9.7
12,Wałbrzych,1981,9.4,8.8
13,Wałbrzych,3055,8.7,8.9
14,Wałbrzych,4410,8.9,8.7
15,Wałbrzych,3640,7.6,9.2
16,Wałbrzych,2000,8.0,9.2
17,Wałbrzych,5050,8.6,8.6
18,Wałbrzych,2800,7.5,8.1
19,Wałbrzych,3332,9.1,8.4
20,Wałbrzych,2485,9.3,9.6
21,Wałbrzych,2940,7.3,9.6
22,Wałbrzych,3290,8.6,8.5
