,City,Cost,Rating,Comfort
0,Wisła,2716,8.8,9.0
1,Wisła,2765,9.8,10.0
2,Wisła,2320,10.0,10.0
3,Wisła,2639,9.7,9.2
4,Wisła,2555,8.9,8.9
5,Wisła,3808,10.0,8.8
6,Wisła,3620,10.0,10.0
7,Wisła,1920,9.5,10.0
8,Wisła,3192,9.9,10.0
9,Wisła,2716,9.3,9.6
10,Wisła,3796,9.6,9.8
11,Wisła,5057,9.1,8.6
12,Wisła,3920,9.4,9.8
13,Wisła,2576,9.2,9.2
14,Wisła,1833,8.8,8.4
15,Wisła,5822,8.1,8.0
16,Wisła,1650,9.4,9.3
17,Wisła,2873,9.7,9.7
18,Wisła,2352,9.5,9.2
19,Wisła,4480,8.8,8.7
20,Wisła,2438,8.3,8.3
21,Wisła,3349,8.7,10.0
22,Wisła,2468,9.2,9.6
23,Wisła,2596,10.0,10.0
24,Wisła,5512,8.9,8.8
25,Wisła,6528,9.0,9.0
26,Wisła,3442,9.0,9.0
27,Wisła,3144,9.5,9.6
28,Wisła,2806,10.0,9.3
29,Wisła,2639,9.2,9.6
30,Wisła,2088,9.8,10.0
31,Wisła,2786,10.0,8.2
32,Wisła,4670,8.5,9.5
33,Wisła,3010,9.4,8.9
34,Wisła,3136,9.0,9.4
35,Wisła,2555,9.5,8.4
36,Wisła,2534,8.5,10.0
37,Wisła,2296,9.8,8.8
38,Wisła,3647,9.0,9.6
39,Wisła,2989,9.5,9.6
40,Wisła,3196,9.4,9.8
41,Wisła,5390,9.8,9.0
42,Wisła,2730,8.9,9.7
43,Wisła,1926,9.6,9.2
44,Wisła,4720,9.3,9.5
45,Wisła,3598,9.7,9.8
46,Wisła,2646,9.8,8.0
47,Wisła,3565,8.1,9.6
48,Wisła,6719,7.2,9.1
49,Wisła,3920,9.6,8.8
50,Wisła,2354,8.8,9.2
51,Wisła,2260,9.0,8.1
52,Wisła,6699,9.7,8.6
53,Wisła,7069,8.3,9.1
54,Wisła,3864,8.8,9.0
55,Wisła,2856,9.4,8.9
56,Wisła,4507,9.2,8.9
57,Wisła,3270,9.0,9.0
58,Wisła,3350,9.2,8.9
59,Wisła,3207,9.1,9.7
60,Wisła,3620,9.0,8.1
61,Wisła,1938,9.6,9.1
62,Wisła,3010,8.5,8.7
63,Wisła,3276,8.9,10.0
64,Wisła,3625,8.5,9.4
65,Wisła,4200,9.0,9.2
66,Wisła,3940,9.5,10.0
67,Wisła,3380,9.2,9.7
68,Wisła,3962,9.8,9.7
69,Wisła,5334,9.7,8.9
70,Wisła,4237,9.7,9.8
71,Wisła,5278,8.9,9.3
72,Wisła,5205,9.4,10.0
73,Wisła,1906,8.8,9.0
74,Wisła,2576,9.5,10.0
75,Wisła,2520,9.2,8.8
76,Wisła,2737,10.0,8.7
77,Wisła,3346,10.0,9.6
78,Wisła,2282,8.6,10.0
79,Wisła,1920,9.7,8.8
80,Wisła,2276,10.0,9.3
81,Wisła,10784,9.2,8.9
82,Wisła,2384,9.4,9.0
83,Wisła,3318,9.0,9.3
84,Wisła,1977,9.1,8.8
85,Wisła,3192,9.2,8.8
86,Wisła,9023,8.7,9.4
87,Wisła,2721,9.7,9.8
88,Wisła,3496,9.4,9.4
89,Wisła,1631,9.8,8.2
90,Wisła,1750,9.4,9.7
91,Wisła,2184,8.6,9.1
92,Wisła,2296,9.4,9.4
93,Wisła,2093,9.3,9.8
94,Wisła,1568,9.3,10.0
95,Wisła,2016,9.9,9.6
96,Wisła,2016,10.0,10.0
97,Wisła,3566,9.5,9.4
98,Wisła,2170,10.0,8.8
99,Wisła,1666,9.3,10.0
100,Wisła,2400,8.5,10.0
101,Wisła,2880,9.9,9.3
102,Wisła,3640,9.5,8.9
103,Wisła,2716,9.1,9.8
104,Wisła,2716,9.0,9.6
105,Wisła,2940,9.9,9.0
106,Wisła,2905,9.4,9.4
107,Wisła,2268,8.7,9.5
108,Wisła,2309,9.0,9.7
109,Wisła,4270,9.6,9.7
110,Wisła,3796,9.4,9.8
111,Wisła,2536,9.7,9.5
112,Wisła,2100,10.0,9.4
113,Wisła,3031,9.6,9.5
114,Wisła,9390,9.4,9.5
115,Wisła,1803,9.5,9.5
116,Wisła,2541,9.4,10.0
117,Wisła,4155,9.3,8.9
118,Wisła,3676,10.0,9.6
119,Wisła,6775,8.9,10.0
120,Wisła,7951,9.5,9.5
121,Wisła,7332,9.9,9.3
122,Wisła,4420,9.4,10.0
123,Wisła,4306,9.4,8.2
124,Wisła,4662,9.5,8.8
125,Wisła,6706,8.3,9.8
126,Wisła,4228,9.2,8.1
127,Wisła,3061,9.6,9.0
128,Wisła,2282,8.4,9.2
129,Wisła,5057,8.9,9.7
130,Wisła,3028,9.3,8.0
131,Wisła,2156,9.6,10.0
132,Wisła,3150,8.0,9.9
133,Wisła,2786,9.7,9.9
134,Wisła,1645,9.7,9.8
135,Wisła,2576,9.8,8.4
136,Wisła,2310,9.6,9.8
137,Wisła,3539,8.3,9.5
138,Wisła,3192,9.8,9.4
139,Wisła,2730,9.5,8.0
140,Wisła,3822,9.3,10.0
141,Wisła,3783,8.5,8.9
142,Wisła,3206,9.5,8.6
143,Wisła,2456,8.5,10.0
144,Wisła,4900,8.1,9.8
145,Wisła,2327,10.0,10.0
146,Wisła,3206,9.4,9.7
147,Wisła,3356,9.9,10.0
148,Wisła,2856,9.3,9.2
149,Wisła,3080,10.0,9.8
150,Wisła,2565,9.3,9.2
151,Wisła,2240,9.8,9.8
152,Wisła,3241,9.2,10.0
153,Wisła,21056,9.3,10.0
154,Wisła,5822,9.5,9.8
155,Wisła,3626,9.8,10.0
156,Wisła,5670,9.8,9.9
157,Wisła,9277,10.0,9.8
158,Wisła,4718,9.7,10.0
159,Wisła,3713,9.7,9.5
160,Wisła,1650,10.0,10.0
161,Wisła,4718,9.5,9.4
162,Wisła,4956,9.0,10.0
163,Wisła,3173,9.4,10.0
164,Wisła,5936,10.0,9.2
165,Wisła,3654,10.0,8.5
166,Wisła,3260,8.4,9.7
167,Wisła,3654,9.0,9.7
168,Wisła,5106,9.4,10.0
169,Wisła,3531,9.7,9.5
170,Wisła,2905,9.5,9.6
171,Wisła,3001,9.1,9.4
172,Wisła,4256,9.6,9.6
173,Wisła,4466,9.2,10.0
174,Wisła,5200,9.7,8.4
175,Wisła,4529,10.0,9.1
176,Wisła,2907,8.8,9.2
177,Wisła,4606,9.4,9.6
178,Wisła,7154,9.5,9.5
179,Wisła,3179,8.5,9.0
180,Wisła,2593,9.3,9.3
181,Wisła,4151,9.2,8.7
182,Wisła,3113,9.3,9.8
183,Wisła,1885,9.5,9.2
184,Wisła,3661,8.7,9.7
185,Wisła,2352,9.7,8.6
186,Wisła,3908,9.7,9.7
187,Wisła,3954,9.3,9.5
188,Wisła,2296,8.8,9.2
189,Wisła,2733,9.7,9.6
190,Wisła,7350,9.3,9.8
191,Wisła,2212,9.4,9.7
192,Wisła,5813,9.6,9.3
193,Wisła,2480,9.9,9.8
194,Wisła,4591,9.8,10.0
195,Wisła,3220,9.4,8.4
196,Wisła,2908,9.7,9.2
197,Wisła,2716,9.8,9.7
198,Wisła,3305,9.0,9.7
199,Wisła,3266,9.2,9.5
200,Wisła,2070,9.8,9.1
201,Wisła,4676,9.6,9.4
202,Wisła,3976,9.4,9.6
203,Wisła,4396,9.1,8.4
204,Wisła,2438,9.6,9.3
205,Wisła,2775,9.6,8.9
206,Wisła,3600,8.6,8.5
207,Wisła,2240,9.3,9.0
208,Wisła,5889,8.9,9.9
209,Wisła,4096,8.6,8.2
210,Wisła,2596,9.1,9.6
211,Wisła,4690,9.8,9.8
212,Wisła,3605,8.2,9.3
213,Wisła,3266,9.7,8.4
214,Wisła,3010,9.7,9.1
215,Wisła,3780,9.4,10.0
216,Wisła,1726,8.3,10.0
217,Wisła,2520,8.8,9.8
218,Wisła,3756,10.0,8.8
219,Wisła,5376,8.7,8.0
220,Wisła,5869,9.9,9.8
221,Wisła,5201,8.7,8.6
222,Wisła,3430,8.0,9.6
223,Wisła,3400,9.7,8.9
224,Wisła,4193,8.7,9.0
225,Wisła,3696,9.2,8.1
226,Wisła,5656,9.1,9.1
227,Wisła,2261,8.9,9.5
228,Wisła,3350,8.4,9.4
229,Wisła,3442,9.2,8.9
230,Wisła,5746,9.6,9.1
231,Wisła,4900,9.2,9.2
232,Wisła,2730,8.6,9.0
233,Wisła,3610,7.9,9.5
234,Wisła,2996,8.9,9.1
235,Wisła,3144,9.4,9.2
236,Wisła,1876,9.1,9.2
237,Wisła,3350,9.4,9.2
238,Wisła,3528,9.3,8.1
239,Wisła,4517,9.1,8.1
240,Wisła,5267,9.1,9.2
241,Wisła,4116,9.3,8.0
242,Wisła,3350,8.3,9.6
243,Wisła,3661,8.3,9.2
244,Wisła,2561,9.4,9.3
245,Wisła,6012,8.0,8.8
246,Wisła,3230,9.5,9.1
247,Wisła,3720,9.4,9.4
248,Wisła,3535,9.4,8.2
249,Wisła,2933,8.9,9.5
250,Wisła,4877,8.8,8.8
251,Wisła,2976,9.3,8.4
252,Wisła,2576,8.5,8.6
253,Wisła,3984,9.2,8.7
254,Wisła,2806,7.9,8.7
255,Wisła,3150,8.7,8.6
256,Wisła,1806,7.9,8.0
257,Wisła,2541,8.3,10.0
258,Wisła,4081,8.6,9.7
259,Wisła,4606,8.7,9.7
260,Wisła,2088,8.6,9.3
261,Wisła,13160,8.3,10.0
262,Wisła,2590,8.0,9.6
263,Wisła,2310,9.9,9.0
264,Wisła,2626,9.7,9.2
265,Wisła,5567,9.7,9.6
266,Wisła,3955,9.4,9.8
267,Wisła,2700,10.0,8.6
268,Wisła,5096,9.5,9.3
269,Wisła,4590,8.8,8.5
270,Wisła,2996,9.2,9.3
271,Wisła,5350,9.3,9.3
272,Wisła,5360,9.7,8.4
