,City,Cost,Rating,Comfort
0,Żnin,12510,9.0,9.0
1,"Stare Miasto, Toruń",3850,8.6,8.6
2,"Stare Miasto, Toruń",4692,8.8,8.8
3,Wądzyn,3114,9.5,9.2
4,Brodnica,2868,9.3,9.3
5,Kamieńczyk Dezerta,3824,9.4,9.1
6,Świedziebnia,3365,9.9,9.7
7,Ciechocinek,3044,9.8,9.6
8,Bydgoszcz,3913,7.9,8.1
9,Bydgoszcz,2267,8.0,8.1
10,Bydgoszcz,2394,9.4,9.6
11,Brzoza,2240,8.6,8.7
12,Toruń,2890,9.1,9.1
13,Chełmno,3906,9.6,9.8
14,"Stare Miasto, Toruń",4440,9.4,9.4
15,Bydgoszcz,3646,9.6,9.7
16,Inowrocław,2520,9.8,9.9
17,"Stare Miasto, Toruń",2474,8.9,8.7
18,Grudziądz,2840,9.2,9.0
19,Bydgoszcz,7541,9.3,9.4
20,Inowrocław,2808,9.2,9.4
21,"Stare Miasto, Toruń",5523,8.6,8.8
22,Włocławek,2730,9.1,9.1
23,"Stare Miasto, Toruń",5009,8.8,8.7
24,Inowrocław,2343,8.3,8.8
25,Chełmno,2366,9.4,9.3
26,Niemcz,2450,8.8,9.4
27,Toruń,2372,8.9,8.8
28,"Stare Miasto, Toruń",3493,9.7,9.8
29,Bydgoszcz,2040,9.0,9.2
30,Inowrocław,2236,8.2,8.2
31,Mstowo,2694,8.6,8.1
32,"Stare Miasto, Toruń",2260,8.9,8.9
33,Grudziądz,2240,8.6,8.4
34,Bydgoszcz,2330,8.8,8.8
35,"Stare Miasto, Toruń",3304,8.8,8.7
36,Inowrocław,1777,9.4,9.3
37,Koronowo,1986,9.7,9.9
38,"Stare Miasto, Toruń",3960,9.1,8.8
39,Toruń,3587,9.2,9.3
40,Toruń,3031,9.7,9.7
41,"Stare Miasto, Toruń",2287,9.2,9.1
42,"Stare Miasto, Toruń",3541,8.8,8.7
43,Bydgoszcz,3185,9.7,9.7
44,"Stare Miasto, Toruń",3348,8.3,8.4
45,Ciechocinek,4654,9.2,9.2
46,"Stare Miasto, Toruń",3506,9.6,9.7
47,Ciechocinek,2831,9.5,9.5
48,Chełmno,1890,9.4,9.6
49,"Stare Miasto, Toruń",2751,10.0,10.0
50,"Stare Miasto, Toruń",2751,10.0,10.0
51,"Stare Miasto, Toruń",1772,9.7,9.7
52,"Stare Miasto, Toruń",4050,9.5,9.5
53,Tuchola,1750,9.5,9.6
54,"Stare Miasto, Toruń",3182,9.5,9.5
55,"Stare Miasto, Toruń",2876,8.3,8.4
56,Bydgoszcz,2890,9.4,9.4
57,"Stare Miasto, Toruń",5587,9.1,8.9
58,"Stare Miasto, Toruń",4960,8.8,8.9
59,Bydgoszcz,1540,8.8,8.7
60,Bydgoszcz,2765,9.2,9.3
61,Bydgoszcz,2037,9.3,9.3
62,"Stare Miasto, Toruń",2443,8.2,9.8
63,Więcbork,3220,9.7,9.4
64,Golub-Dobrzyń,1993,9.4,9.2
65,Toruń,3241,8.0,9.5
66,"Stare Miasto, Toruń",3356,9.1,8.0
67,Brodnica,3360,9.5,9.2
68,"Stare Miasto, Toruń",2660,7.9,9.7
69,Bydgoszcz,2050,9.0,9.9
70,Toruń,2918,9.8,9.2
71,Toruń,3873,9.9,9.4
72,Toruń,3038,9.2,9.5
73,"Stare Miasto, Toruń",3150,9.4,9.7
74,Toruń,3667,9.6,9.1
75,"Stare Miasto, Toruń",2779,9.7,8.4
76,"Stare Miasto, Toruń",4200,9.1,9.7
77,"Stare Miasto, Toruń",3316,8.4,9.7
78,Toruń,2209,9.6,8.4
79,Toruń,4107,9.6,9.8
80,Toruń,2075,8.3,9.7
81,Włocławek,2940,9.7,9.3
82,Toruń,4591,9.7,9.0
83,"Stare Miasto, Toruń",2506,9.6,10.0
84,"Stare Miasto, Toruń",2520,9.2,9.5
85,"Stare Miasto, Toruń",3976,9.9,9.3
86,Grudziądz,5054,9.4,9.2
87,Toruń,2258,9.3,9.6
88,"Stare Miasto, Toruń",3119,9.3,9.1
89,Bydgoszcz,2235,9.5,9.5
90,"Stare Miasto, Toruń",4296,9.3,9.1
91,Toruń,3106,9.4,9.8
92,Toruń,3272,9.4,9.1
93,Brodnica,2461,9.8,9.3
94,Toruń,5168,9.2,9.1
95,Toruń,3833,9.2,9.9
96,"Stare Miasto, Toruń",2977,9.1,9.8
97,"Stare Miasto, Toruń",4060,9.9,9.3
98,Toruń,3409,9.8,9.1
99,Toruń,2786,9.2,9.9
