,City,Cost,Rating,Comfort
0,Spała,6580,8.7,8.8
1,"Śródmieście, Łódź",5744,8.9,9.4
2,Piotrków Trybunalski,3150,9.5,9.6
3,Piotrków Trybunalski,3591,7.9,9.4
4,"Śródmieście, Łódź",1108,7.4,8.4
5,Osjaków,4885,9.5,8.3
6,Zgierz,3460,8.3,8.2
7,Spała,4970,8.4,9.7
8,Łęczyca,3360,7.4,8.0
9,Leżnica Wielka,3185,8.1,8.7
10,"Śródmieście, Łódź",993,7.1,9.5
11,"Bałuty, Łódź",6306,9.5,9.4
12,Kutno,4305,7.9,8.3
13,"Śródmieście, Łódź",3586,7.7,8.1
14,Skierniewice,4585,8.3,9.0
15,Łowicz,2870,9.4,9.5
16,"Bałuty, Łódź",6956,9.1,8.2
17,Brzeźnio,3920,8.2,9.4
18,Kutno,3360,7.8,8.5
19,"Śródmieście, Łódź",6211,8.7,9.5
20,Łódź,1852,8.1,9.0
21,Uniejów,7466,9.2,9.1
22,Bolesławiec,3710,8.0,8.6
23,Łódź,6046,9.0,8.4
24,Łódź,4620,7.7,8.9
25,Kutno,4240,8.5,8.1
26,Uniejów,2044,9.4,9.4
27,Warta,3920,9.1,8.4
28,"Śródmieście, Łódź",4130,7.6,9.4
29,Wieluń,3780,8.9,9.3
30,Księże Młyny,2142,7.1,8.2
31,Łódź,4350,8.5,9.0
32,Bełchatów,4466,8.1,9.6
33,Nieborów,2520,9.1,8.6
34,Radomsko,2310,8.3,8.7
35,"Śródmieście, Łódź",5460,9.0,8.6
36,Stryków,3892,8.4,9.1
37,Wieluń,3920,9.4,8.0
38,Łódź,2994,9.1,8.4
39,Wolbórz,2940,8.3,8.5
40,Osjaków,3360,8.8,8.9
41,"Śródmieście, Łódź",3332,7.6,8.5
42,Moszczenica,5040,9.5,9.1
43,Chlebów,2450,8.7,8.9
44,Polichno,2506,7.7,8.6
45,"Śródmieście, Łódź",5599,8.5,8.6
46,Łódź,4280,8.3,8.2
47,Złoczew,2753,7.8,8.4
48,Nieborów,3640,9.1,9.3
49,Konstantynów Łódzki,2366,8.0,9.7
50,"Śródmieście, Łódź",2380,8.6,9.5
51,Łódź,4664,8.4,9.3
52,Spała,4440,8.9,9.3
53,"Śródmieście, Łódź",5168,8.3,8.4
54,Wolbórz,2926,8.9,10.0
55,Łódź,5042,8.8,8.3
56,Łowicz,3640,8.6,9.3
57,Wieluń,2520,8.2,9.3
58,"Śródmieście, Łódź",3220,8.6,8.3
59,"Śródmieście, Łódź",1903,8.1,9.0
60,"Śródmieście, Łódź",2400,8.6,9.2
61,Radomsko,3500,9.3,8.4
62,Kutno,1603,9.8,8.5
63,Uniejów,3430,9.3,8.3
64,"Śródmieście, Łódź",3790,9.2,9.2
65,Łódź,3780,7.2,8.4
66,Slok,4836,7.7,9.6
67,"Bałuty, Łódź",2266,9.2,9.3
68,Łódź,3391,8.3,9.7
69,Łódź,2585,9.8,8.5
70,Rawa Mazowiecka,2240,6.0,9.3
71,Osowa,2380,8.5,9.6
72,Łęczyca,4988,9.2,8.5
73,Kutno,3500,9.2,8.8
74,Radomsko,3010,8.4,9.8
75,Uniejów,6598,8.8,9.1
76,Skierniewice,2905,8.9,9.8
77,Piotrków Trybunalski,4110,8.4,8.2
78,"Śródmieście, Łódź",3223,8.7,9.4
79,Nowostawy Dolne,2800,8.5,9.0
80,Smardzewice,1285,9.3,9.2
81,Aleksandrów Łódzki,2926,8.4,9.2
82,Bełchatów,4346,7.7,9.0
83,Łódź,3223,9.5,9.1
84,Tomaszów Mazowiecki,7898,8.8,8.6
85,Kutno,1750,9.6,9.1
86,Pabianice,3920,8.3,8.5
87,Spała,6300,9.1,8.3
88,Łódź,3624,9.5,8.7
89,Lućmierz,2786,8.3,9.4
90,Sokolniki,2999,8.9,8.1
91,Kutno,1785,9.5,8.4
92,Pabianice,6900,8.8,8.9
93,"Śródmieście, Łódź",1376,7.0,8.3
94,"Śródmieście, Łódź",3915,9.7,8.1
95,"Śródmieście, Łódź",2597,8.1,9.6
96,"Bałuty, Łódź",2494,9.3,8.7
97,Radomsko,2660,8.9,8.9
98,Spała,4578,6.6,8.8
99,Uniejów,6678,9.1,8.1
100,Uniejów,6678,9.1,9.1
101,Łódź,4746,8.7,8.3
102,Uniejów,3133,9.3,8.9
103,"Śródmieście, Łódź",2657,8.5,9.6
104,Stryków,5354,9.0,8.8
105,Uniejów,8275,8.4,8.1
106,Łódź,4186,8.2,9.1
107,Zgierz,2121,8.8,8.3
108,"Śródmieście, Łódź",2803,8.3,8.4
109,Aleksandrów Łódzki,2100,9.2,8.0
110,Łódź,2846,8.0,8.8
111,Bełchatów,2095,8.3,8.0
112,Sieradz,3150,8.8,8.9
113,"Śródmieście, Łódź",2869,8.5,8.7
114,"Śródmieście, Łódź",4774,8.0,9.3
115,Sulejów,1820,7.9,8.1
116,Łódź,2646,7.7,8.8
117,Łódź,2938,9.5,9.1
118,"Bałuty, Łódź",3794,8.5,8.3
119,"Śródmieście, Łódź",2035,7.8,9.9
120,"Śródmieście, Łódź",2955,9.0,8.6
121,Wierzchlas,2800,8.7,9.1
122,Łódź,2940,8.3,8.5
123,Sieradz,2261,9.0,9.8
124,"Śródmieście, Łódź",2925,8.2,8.0
125,"Śródmieście, Łódź",2035,7.8,8.1
126,"Śródmieście, Łódź",2955,9.0,8.3
127,"Śródmieście, Łódź",6040,9.5,9.8
128,Wierzchlas,2800,8.7,8.6
129,Łódź,2940,8.3,8.4
130,Sieradz,2261,9.0,9.7
131,"Śródmieście, Łódź",2895,8.2,9.5
132,Łódź,2264,8.4,8.7
133,Spała,4707,8.3,8.1
134,Konstantynów Łódzki,3290,8.7,9.4
135,Piotrków Trybunalski,2310,7.9,10.0
136,"Bałuty, Łódź",2905,8.2,9.5
137,Łódź,4613,9.0,9.3
138,"Śródmieście, Łódź",1910,7.8,8.9
139,Smardzewice,3066,8.8,8.3
140,Uniejów,2772,9.4,9.0
141,Konstantynów Łódzki,1841,7.6,10.0
142,Zgierz,2240,8.1,9.3
143,Łódź,3220,9.5,8.4
144,Łódź,2135,9.0,9.4
145,Drzewica,2906,8.5,10.0
146,"Bałuty, Łódź",2786,7.6,9.5
147,Łódź,1783,7.4,9.3
148,Uniejów,3794,9.8,8.9
149,Piotrków Trybunalski,2415,8.8,8.3
150,Bełchatów,5180,8.5,9.0
151,Bełchatów,3824,8.4,10.0
