,City,Cost,Rating,Comfort
0,"Stare Miasto, Lublin",4542,9.6,9.7
1,"Stare Miasto, Lublin",5011,8.6,8.6
2,Nałęczów,3233,8.3,8.3
3,Lublin,2058,9.6,9.5
4,Lublin,2836,9.2,9.2
5,Hrubieszów,2450,10.0,10.0
6,Wojciechów,4206,9.7,9.5
7,Nałęczów,2454,9.3,9.5
8,Nielisz,3150,9.8,10.0
9,Lublin,6300,9.6,9.6
10,Łęczna,1456,9.2,9.3
11,Zamość,3220,9.7,9.7
12,Adamów,9010,9.6,9.5
13,Krasnystaw,1374,9.6,9.8
14,Lublin,2695,9.1,9.1
15,Zamość,4550,9.5,9.6
16,Łuków,2800,9.2,9.3
17,Aleksandrów,2294,9.5,8.7
18,Cyców,4971,9.8,9.5
19,Lublin,3080,8.4,8.5
20,Guciów,2520,9.5,9.2
21,Blizów,2450,8.1,9.7
22,Lublin,2443,8.0,9.4
23,Grabowiec,3039,10.0,9.9
24,Biała Podlaska,1680,9.5,8.8
25,Biłgoraj,1603,9.8,9.1
26,Krasnobród,2905,9.0,9.7
27,Ludwin,2447,9.5,9.2
28,Świdnik,2205,9.7,9.0
29,Biała Podlaska,1490,9.1,9.6
30,Lublin,2900,9.0,9.7
31,Janów Lubelski,2800,9.7,9.4
32,Wola Gardzienicka,3029,9.6,8.4
33,"Stare Miasto, Lublin",2879,9.5,9.8
34,Lublin,3080,8.5,9.5
35,Blizów,3150,9.7,9.8
36,Zwierzyniec,2635,9.4,8.4
37,Zwierzyniec,6300,9.9,9.8
38,Zaróbka,3150,8.7,8.9
39,Zamość,3500,9.7,9.7
40,Kazimierz Dolny,5187,9.1,10.0
41,Biała Podlaska,1785,9.7,8.4
42,Zwierzyniec,4200,10.0,9.6
43,Lublin,3493,8.2,9.6
44,Lublin,3486,9.5,8.4
45,Lublin,3103,9.6,9.7
46,"Stare Miasto, Lublin",3003,8.5,9.6
47,Kazimierz Dolny,2762,9.8,9.9
48,Biała Podlaska,1601,9.6,9.3
49,Biała Podlaska,2100,9.9,10.0
50,Lublin,4950,9.6,9.7
51,Janów Podlaski,2800,9.9,9.2
52,Tomaszów Lubelski,2450,9.3,9.6
53,"Stare Miasto, Lublin",3046,9.4,9.8
54,Kazimierz Dolny,13500,9.7,8.9
55,Chełm,2646,7.9,10.0
56,Lublin,2793,9.7,9.2
57,Lublin,1701,9.2,9.5
58,Kazimierz Dolny,2380,10.0,9.6
59,Zamość,1890,7.8,9.7
60,Okuninka,2485,9.1,9.1
61,"Stare Miasto, Lublin",2100,9.5,8.6
62,Okszów,2590,9.5,9.3
63,Kazimierz Dolny,3500,9.6,9.1
64,Krasnobród,4620,9.1,10.0
65,Lublin,3480,8.5,8.8
66,Lublin,2993,9.3,9.1
67,Lublin,1890,9.2,10.0
68,Kazimierz Dolny,2860,9.9,10.0
69,Lublin,1980,9.0,9.7
70,Żary,4004,9.5,8.6
71,Lublin,1904,9.8,9.7
72,Hutki,3514,10.0,8.7
73,Zamość,2830,9.7,9.4
74,Lublin,3902,8.9,9.8
75,Kazimierz Dolny,3850,9.7,9.4
76,Zamość,2240,7.5,9.4
77,Kodeń,5792,9.2,9.6
78,Lublin,2253,9.4,10.0
79,Susiec,2156,9.8,9.5
80,Lublin,4940,9.2,10.0
81,Kazimierz Dolny,6030,9.3,9.0
82,Aleksandrów,2180,9.5,9.4
83,Nielisz,4830,10.0,8.1
84,Chełm,2688,9.7,9.8
85,Lublin,2923,9.8,9.3
86,Kock,1339,8.9,9.2
87,Zamość,2875,9.8,8.5
88,Chełm,2053,8.1,9.2
89,Biała Podlaska,1540,10.0,8.6
90,Biała Podlaska,3082,9.3,8.2
91,Lublin,2273,9.2,9.5
92,"Stare Miasto, Lublin",3136,8.5,9.2
93,Kazimierz Dolny,4646,9.3,8.5
94,Zamość,2100,8.4,9.2
95,Lublin,3255,8.4,8.7
96,Zwierzyniec,3735,9.5,8.6
97,Lublin,2293,9.2,8.2
98,Lublin,1943,8.5,10.0
99,Lublin,1910,9.3,9.6
100,Zamość,2100,8.9,9.0
101,Lublin,3255,8.4,8.9
102,Zwierzyniec,3465,8.4,8.8
103,Kazimierz Dolny,4130,10.0,9.0
104,Lublin,2293,9.4,9.5
105,Lublin,1943,8.8,10.0
106,Nielisz,4830,8.8,9.6
107,"Stare Miasto, Lublin",3830,8.7,9.5
108,Lublin,2760,9.1,9.9
109,Lublin,2590,9.2,9.9
110,Lublin,3361,10.0,10.0
111,Lublin,3325,9.6,9.0
112,Nałęczów,2764,9.2,8.8
113,Janów Podlaski,3136,9.6,10.0
114,Janowiec,3290,9.5,9.8
115,Orchówek,2045,9.8,9.9
116,Lublin,1720,9.8,9.5
117,Zwierzyniec,5349,9.0,9.9
118,Chełm,2329,8.7,10.0
119,Lublin,4700,9.9,9.0
120,Lublin,2293,8.1,8.8
121,Lublin,4312,9.7,8.0
122,Koszele,5621,9.5,9.8
123,Susiec,1400,9.6,9.1
124,Zamość,3573,9.8,9.7
125,Zwierzyniec,5349,9.8,9.1
126,Stoczek Łukowski,3365,9.0,8.7
127,Chełm,2329,8.7,9.2
128,Lublin,5100,8.1,9.4
129,Lublin,2333,7.6,8.4
130,Lublin,4312,9.7,9.6
131,Susiec,1400,9.4,9.4
132,Krasne,3100,9.6,9.1
133,Zamość,3573,10.0,9.7
134,Lublin,2660,9.1,9.1
135,"Stare Miasto, Lublin",3847,8.7,8.5
136,Tomaszów Lubelski,1820,9.6,9.7
137,Skierbieszów,6300,9.5,9.8
138,Konstantynów,1755,8.5,9.9
139,Janowiec,2660,9.6,8.9
140,Lublin,2040,9.2,9.4
141,Lublin,2033,9.0,9.4
142,Lublin,2590,9.7,8.2
143,Dęblin,2079,9.1,10.0
144,Lublin,2410,8.9,9.6
145,Zamość,2328,9.4,10.0
146,Chełm,2485,9.9,8.8
147,Lublin,2713,9.9,8.5
148,Zwierzyniec,2380,8.9,9.8
149,Janowiec,3213,9.5,9.3
150,Józefów,2520,9.2,9.4
151,Zamość,2802,8.9,9.6
152,Zamość,4725,9.6,8.9
153,Kazimierz Dolny,5589,7.7,8.1
154,Krasnobród,4228,7.8,9.0
155,Lublin,2410,9.7,9.6
156,Lublin,1940,9.9,8.9
157,Lublin,1601,9.0,9.3
158,Lublin,2233,8.1,9.7
159,Lublin,4466,9.8,8.5
160,Lublin,4191,9.7,9.8
161,Świdnik,2800,9.4,9.3
162,Międzyleś,1912,9.5,9.4
163,Puławy,2800,9.1,9.6
164,Biała Podlaska,1785,7.8,8.9
165,Lublin,3095,9.0,8.1
166,Kazimierz Dolny,3595,9.6,9.0
167,Lublin,3060,8.7,9.6
168,Lublin,10710,9.4,8.9
169,Lublin,2423,9.2,9.7
170,Krasnobród,4288,8.1,9.3
171,Nowy Gaj,3850,9.8,9.7
172,Tomaszów Lubelski,2800,9.7,9.6
