,City,Cost,Rating,Comfort
0,Torzym,2765,8.1,8.0
1,Łęknica,5238,8.4,8.3
2,Słubice,3220,8.1,8.3
3,Strzelce Krajeńskie,2870,7.8,8.6
4,Lubiatów,2364,8.0,9.4
5,Łęknica,3413,7.0,8.6
6,Lubniewice,8540,8.4,8.4
7,Nowa Sól,3766,9.3,8.1
8,Żary,2366,8.7,9.2
9,Świebodzin,4098,8.4,8.7
10,Słubice,4146,7.9,8.2
11,Żary,3050,9.1,8.4
12,Szprotawa,5740,8.8,8.1
13,Świebodzin,4060,8.1,8.9
14,Olszyna,2240,8.2,9.2
15,Torzym,2940,7.6,8.8
16,Gorzów Wielkopolski,2520,6.6,8.7
17,Słubice,4060,8.1,9.5
18,Międzyrzecz,3850,8.8,9.3
19,"Centrum, Zielona Góra",7252,8.9,8.8
20,Nowa Sól,3066,8.8,8.5
21,Kostrzyn nad Odrą,1960,7.2,8.1
22,Torzym,2520,8.7,9.1
23,Torzym,3220,9.1,8.9
24,Radzyń,2722,7.8,8.7
25,Radzyń,4082,7.8,8.7
26,Kostrzyn nad Odrą,3640,7.7,8.3
27,Żary,4242,7.8,9.5
28,Gubin,4620,9.1,8.0
29,Skwierzyna,5250,8.8,8.0
30,Danków,3043,8.7,8.7
31,Brody,3640,8.0,9.7
32,Gorzów Wielkopolski,4480,7.9,8.6
33,Słubice,4060,7.8,8.0
34,Niesulice,5054,8.7,8.1
35,Słubice,2380,6.7,8.1
36,Międzyrzecz,3360,8.7,8.1
37,Żary,3640,7.1,8.0
38,Kostrzyn nad Odrą,4505,7.5,8.9
39,Żary,2800,8.7,8.6
40,Radzyń,2030,8.8,8.0
41,Łagów,4886,8.3,8.6
42,Drezdenko,6865,9.6,8.1
43,Słubice,3640,7.9,9.5
44,Żagań,5250,7.9,9.1
45,Dąbie,2380,8.6,9.3
46,Drezdenko,2473,9.6,8.0
47,Sulęcin,7206,8.4,8.7
48,Torzym,2030,7.9,9.2
49,Gubin,3710,8.1,8.4
50,Słubice,4186,8.2,8.8
51,Rzepin,2793,7.8,9.5
52,Mirostowice Górne,2020,8.2,9.5
53,Nowa Sól,2520,8.7,9.0
54,Świebodzin,4900,8.5,9.8
55,Gorzów Wielkopolski,5002,7.9,9.2
56,Gorzów Wielkopolski,5151,8.5,9.7
57,Mostki,2786,8.1,8.5
58,Brzeźnica,3150,9.3,8.6
59,Przewóz,3920,8.3,9.5
60,"Centrum, Zielona Góra",3230,7.8,9.0
61,"Centrum, Zielona Góra",2964,9.0,9.4
62,Kostrzyn nad Odrą,5880,8.9,8.6
63,Nowa Sól,2342,8.3,9.4
64,Gorzów Wielkopolski,5430,8.4,8.1
65,Żary,1890,7.6,9.4
66,Santoczno,3461,9.1,8.5
67,Olszyna,3091,8.5,9.4
68,Łagów,4256,8.6,8.6
69,Nowa Sól,2660,9.3,9.6
70,Łagów,2646,7.5,8.6
71,Gorzów Wielkopolski,2940,7.0,8.1
72,Słubice,3360,7.9,8.0
73,Gorzów Wielkopolski,2328,9.4,9.4
74,Gorzów Wielkopolski,2020,9.2,8.7
75,Żagań,3570,9.7,9.5
76,Lubniewice,4284,9.2,9.2
77,Niesulice,4832,9.5,9.4
78,Głębokie,3710,8.6,9.3
79,Jesionka,3780,8.5,8.0
80,Olszyna,1960,7.0,9.8
81,Pszczew,2309,9.5,9.3
82,Zielona Góra,1715,8.9,9.7
83,Zielona Góra,7016,7.8,9.6
84,Międzyrzecz,2800,9.1,9.8
85,Słońsk,4054,8.7,8.7
86,Lubniewice,3976,9.3,9.3
87,Zielona Góra,4200,8.6,8.6
88,Międzyrzecz,6720,9.4,9.4
89,Gorzów Wielkopolski,2030,8.3,8.5
90,Gorzów Wielkopolski,7343,8.0,9.0
91,"Centrum, Zielona Góra",1487,9.0,9.8
92,Gorzów Wielkopolski,1662,8.8,9.5
93,Radzyń,3270,9.6,8.4
94,Zielona Góra,2135,7.6,9.8
95,Witnica,2380,6.3,9.0
96,Słubice,2660,7.9,8.4
97,Przełazy,1989,8.0,9.4
98,Zielona Góra,1960,8.7,8.5
99,Przytoczna,3213,8.3,9.7
100,Wilcze,1792,7.8,8.9
101,Witnica,2450,9.4,8.5
102,Gorzów Wielkopolski,1607,8.9,8.5
103,Skwierzyna,2926,6.4,8.3
104,Żagań,3220,9.4,9.2
105,Gorzów Wielkopolski,3426,9.1,8.6
106,Jasień,3059,9.7,8.3
107,Lubiatów,4139,9.2,9.7
108,"Centrum, Zielona Góra",2459,7.8,9.7
109,Gorzów Wielkopolski,2563,9.8,8.9
110,Brzeźnica,4480,9.3,8.1
111,"Centrum, Zielona Góra",2650,9.4,8.9
112,Zielona Góra,4620,9.5,10.0
113,Ołobok,2380,7.2,9.4
114,Międzyrzecz,2800,9.8,9.2
115,Nowa Sól,2916,7.6,9.5
116,"Centrum, Zielona Góra",5180,9.0,8.0
117,Lubin,3220,9.1,9.8
118,Świebodzin,4060,8.5,8.7
119,Nowa Niedrzwica,2900,9.4,8.7
120,Gorzów Wielkopolski,3864,8.4,9.1
121,Zielona Góra,2800,9.1,9.4
122,Gorzów Wielkopolski,1960,9.5,9.9
123,Skwierzyna,4060,8.8,9.0
124,Sława,5118,8.2,9.8
125,Słońsk,3518,9.6,8.4
126,Gorzów Wielkopolski,2190,7.8,8.8
127,Łagów,2576,9.1,9.2
128,Trzebiechów,4060,8.5,9.7
129,Lubięcin,2520,9.7,8.2
130,Gorzów Wielkopolski,1944,8.7,9.2
131,Kalinowo,5040,9.5,8.7
132,Zielona Góra,4726,8.2,9.7
133,Brody,3150,8.1,9.3
134,Torzym,2240,7.5,8.7
135,"Centrum, Zielona Góra",2420,9.1,9.7
136,Zielona Góra,2427,8.6,9.3
137,Gorzów Wielkopolski,2121,8.6,9.5
138,Torzym,2240,8.6,8.3
139,Drzonków,2320,7.8,8.0
140,Słubice,2450,9.3,9.6
141,Zielona Góra,1890,7.8,8.1
142,Lubniewice,2268,8.6,9.7
143,"Centrum, Zielona Góra",5252,8.5,9.4
144,Zielona Góra,3640,9.8,9.0
145,Gorzów Wielkopolski,1720,9.5,10.0
146,"Centrum, Zielona Góra",2415,8.8,9.1
147,Zielona Góra,6860,8.1,9.4
148,"Centrum, Zielona Góra",2793,8.9,9.3
149,Międzyrzecz,3220,9.6,9.2
150,Gorzów Wielkopolski,2693,9.3,8.7
151,Gorzów Wielkopolski,2328,9.3,9.6
152,Gorzów Wielkopolski,2030,9.4,9.3
153,Gorzów Wielkopolski,2120,7.9,8.5
154,Łagów,5096,9.2,9.5
155,Radzyń,3850,9.0,9.6
156,Łagów,5068,8.8,9.7
157,"Centrum, Zielona Góra",2583,9.0,9.0
158,Zielona Góra,4895,7.8,9.5
159,Żary,4137,9.4,9.6
160,Gorzów Wielkopolski,1607,9.8,9.7
161,Zielona Góra,3080,7.6,9.0
162,Łagów,4363,9.1,8.7
163,Gorzów Wielkopolski,1987,9.7,9.7
164,Nowa Sól,2945,8.6,9.4
165,Zielona Góra,2303,8.7,8.9
166,Długie,4130,9.2,9.4
167,"Centrum, Zielona Góra",2387,9.6,9.7
168,"Centrum, Zielona Góra",1988,8.7,9.4
169,Zielona Góra,2473,9.2,8.3
170,Niesulice,6077,8.5,8.2
171,Gorzów Wielkopolski,1904,9.7,9.9
172,Wschowa,5012,9.3,9.1
173,Łagów,4606,8.5,8.5
174,Drzeńsko,3959,9.7,8.9
175,Wschowa,5012,9.3,8.0
176,Łagów,4606,9.6,9.5
177,Drzeńsko,3959,7.9,8.7
178,Nowa Sól,3155,8.3,9.6
179,Żary,4676,9.5,9.8
180,Zielona Góra,3360,8.1,9.1
181,Dąbie,4380,9.6,9.7
182,Gorzów Wielkopolski,3920,9.2,8.7
183,Zielona Góra,3168,8.7,9.3
184,Gorzów Wielkopolski,2100,9.8,9.2
185,Zielona Góra,4816,9.0,9.6
186,Gorzów Wielkopolski,2275,9.3,8.5
187,Zielona Góra,3010,9.2,8.2
188,Zielona Góra,2183,9.1,9.0
189,Gorzów Wielkopolski,2100,8.7,10.0
190,Zielona Góra,2997,9.4,9.0
191,Łagów,3085,9.2,9.1
192,Gorzów Wielkopolski,1960,7.3,9.4
193,Gorzów Wielkopolski,1890,9.3,9.4
194,Ługi,3212,9.4,10.0
195,Dychów,4589,9.1,9.4
196,"Centrum, Zielona Góra",2243,8.8,10.0
197,Gorzów Wielkopolski,2263,9.3,9.0
198,"Centrum, Zielona Góra",4600,9.4,9.1
199,Bronków,4200,9.1,9.4
200,Dychów,5736,8.8,9.4
201,"Centrum, Zielona Góra",2243,8.7,9.0
202,Gorzów Wielkopolski,2332,9.7,9.4
203,"Centrum, Zielona Góra",4600,9.1,9.1
204,Bronków,4200,8.8,9.9
205,Łagów,2436,9.3,8.6
206,Drzonków,1785,6.9,10.0
207,Zielona Góra,7126,9.6,9.6
208,Lgiń,3762,9.4,9.7
209,Zielona Góra,3150,8.3,8.8
210,Gorzów Wielkopolski,2240,8.2,9.1
211,"Centrum, Zielona Góra",2808,7.5,9.8
212,Zielona Góra,2660,9.7,9.0
213,Ośno Lubuskie,3187,9.2,9.5
214,Zielona Góra,1725,8.3,10.0
215,Skwierzyna,2100,8.9,9.1
216,Zielona Góra,2240,8.1,9.0
217,Zielona Góra,2443,9.5,8.6
218,Gorzów Wielkopolski,2443,8.8,9.5
219,Lubniewice,3570,9.5,10.0
220,Gorzów Wielkopolski,2252,9.8,8.8
221,Zielona Góra,3893,9.0,8.6
222,Sulechów,3080,3.3,9.7
223,"Centrum, Zielona Góra",2456,9.7,10.0
224,Gorzów Wielkopolski,3864,8.5,8.0
225,Gorzów Wielkopolski,1978,9.3,9.8
226,Gorzów Wielkopolski,3360,9.2,8.9
227,Zielona Góra,2467,9.4,10.0
228,Długie,3465,7.7,8.9
229,"Centrum, Zielona Góra",2590,8.7,8.8
230,Zielona Góra,3140,8.5,9.0
231,Bogaczów,5201,9.0,9.3
232,Zielona Góra,5260,6.2,9.9
233,Gorzów Wielkopolski,2407,7.9,9.6
234,Przewóz,3290,6.3,9.7
235,Zielona Góra,2793,6.1,9.8
236,Międzyrzecz,2990,6.9,10.0
237,Lubrza,2998,10.0,8.5
238,Gorzów Wielkopolski,1498,8.7,9.6
239,Zabór,2212,9.0,8.2
240,Zielona Góra,2575,9.3,8.0
241,Bytom Odrzański,1989,9.5,8.6
242,"Centrum, Zielona Góra",1750,10.0,9.9
243,Gorzów Wielkopolski,4200,9.5,10.0
244,Zielona Góra,1695,6.9,9.0
245,Zabór,2261,10.0,9.7
246,Gorzów Wielkopolski,1642,8.7,9.1
247,Gorzów Wielkopolski,1890,9.0,10.0
248,Żary,2310,9.3,9.0
249,Lubrza,7970,9.5,9.2
250,"Centrum, Zielona Góra",1750,9.0,9.3
251,Gorzów Wielkopolski,4200,9.5,9.8
252,Zielona Góra,1695,8.9,9.8
253,Zabór,2261,9.8,8.5
254,Gorzów Wielkopolski,1642,8.6,9.1
255,Gorzów Wielkopolski,1890,5.9,9.2
256,Zielona Góra,5909,10.0,8.5
257,Lubrza,7970,9.7,9.1
258,Bytnica,5277,9.7,9.2
259,Gorzów Wielkopolski,1890,8.9,10.0
260,Kuźnica Głogowska,5736,8.9,9.8
261,Babimost,3182,9.5,9.9
262,Kargowa,2753,9.2,10.0
263,Głębokie,2463,9.5,9.7
264,Gryżyna,4571,6.8,9.3
265,Lubrza,4794,10.0,8.8
266,Międzyrzecz,2678,9.1,9.5
267,Skwierzyna,2576,8.8,9.5
268,Strzelce Krajeńskie,3570,8.4,9.4
269,Zielona Góra,4060,9.2,9.0
270,Świdnica,4023,9.0,8.8
271,Zielona Góra,2212,8.5,9.8
272,Trzciel,2240,8.8,9.8
273,Lubniewice,2730,9.5,10.0
