,City,Cost,Rating,Comfort
0,Kościelisko,4264,9.5,9.5
1,Konina,3996,9.6,9.7
2,Wola Kalinowska,5850,9.5,9.3
3,Szczawnica,7609,9.4,9.4
4,Szaflary,4719,9.6,9.7
5,Zabierzów,7000,8.9,8.9
6,Tarnów,2940,9.5,9.6
7,"Stare Miasto, Kraków",8693,8.7,9.0
8,Bańska,3192,9.6,9.5
9,"Grzegórzki, Kraków",3891,8.7,8.9
10,Zakopane,7685,9.5,9.7
11,Zakopane,4779,8.5,8.5
12,Zagórnik,6618,9.7,9.6
13,Kluszkowce,3710,9.5,9.6
14,Zator,4190,9.2,9.3
15,"Krupówki, Zakopane",6347,8.9,8.9
16,Gdów,2863,9.6,9.6
17,Kluszkowce,4456,9.7,9.7
18,"Dębniki, Kraków",7975,9.2,9.5
19,Groń,3844,9.4,9.1
20,Pcim,2594,9.9,9.9
21,Wola Kalinowska,2667,9.7,9.7
22,Inwałd,5750,9.6,9.5
23,Groń,7900,9.6,9.8
24,Witów,4249,9.9,9.9
25,Zawoja,1960,8.1,8.0
26,"Stare Miasto, Kraków",3640,9.7,9.8
27,Czorsztyn,13896,9.3,9.5
28,Białka Tatrzańska,6966,7.8,8.0
29,"Stare Miasto, Kraków",3829,9.7,9.7
30,Kościelisko,7700,10.0,10.0
31,Jaworki,4095,9.5,9.4
32,Smolice,4589,9.2,9.4
33,Szczawnica,9040,9.1,9.3
34,"Łagiewniki, Kraków",6720,9.1,8.8
35,Poronin,2793,8.6,8.7
36,Szczawnica,4377,9.7,9.9
37,Zubrzyca Górna,1960,9.7,9.7
38,Suche,4382,9.6,9.6
39,Ząb,3491,8.7,8.7
40,"Stare Miasto, Kraków",3512,9.5,9.6
41,Kościelisko,3787,9.5,9.5
42,Kościelisko,3763,9.9,10.0
43,Groń,9800,9.2,9.1
44,Wieliczka,2373,9.2,9.5
45,Zakopane,5936,8.9,9.4
46,Kościelisko,7944,9.9,9.8
47,Zubrzyca Górna,2803,9.5,9.6
48,"Stare Miasto, Kraków",5943,9.1,9.1
49,Szczawnica,4224,8.3,8.4
50,Zakopane,7608,9.0,9.0
51,Dzianisz,7357,9.4,9.5
52,Myślenice,5030,9.1,9.2
53,Zakopane,6896,9.2,9.5
54,Kościelisko,5932,9.6,9.7
55,Poronin,3150,9.2,9.5
56,Białka Tatrzańska,3588,9.4,9.6
57,Rożnów,2967,9.0,8.8
58,Jurgów,3451,9.1,9.3
59,"Podgórze, Kraków",8528,9.5,9.8
60,Spytkowice,3493,8.5,8.6
61,Bukowina Tatrzańska,1998,9.2,9.3
62,"Grzegórzki, Kraków",6877,9.7,9.6
63,Kasina Wielka,3150,9.4,9.5
64,Zakopane,3707,8.9,9.3
