,City,Cost,Rating,Comfort
0,"Wola, Warszawa",3994,8.6,8.8
1,"Włochy, Warszawa",5860,8.8,9.0
2,Łochów,7270,8.5,8.8
3,Magdalenka,4270,8.8,8.9
4,"Śródmieście, Warszawa",3059,8.2,8.2
5,Nowy Dwór Mazowiecki,2380,7.9,8.2
6,Nowy Dwór Mazowiecki,5166,8.1,9.1
7,Ciechanów,2772,8.1,9.5
8,Serock,11632,8.7,8.8
9,Mińsk Mazowiecki,2653,9.3,9.5
10,Gaj,2800,8.8,8.5
11,Siedlce,4333,9.3,9.2
12,Nowy Dwór Mazowiecki,6106,8.2,8.7
13,Żyrardów,3640,8.3,8.3
14,Mińsk Mazowiecki,3360,7.4,8.8
15,Siedlce,2940,8.6,8.3
16,Płońsk,3150,8.2,8.3
17,Sierpc,2800,8.8,8.8
18,Płońsk,3010,7.7,8.8
19,Nowy Dwór Mazowiecki,3080,7.7,8.2
20,Radom,2176,7.9,8.8
21,Przasnysz,2520,8.3,9.1
22,Warszawa,1716,8.4,8.7
23,Cekanowo,6560,8.7,9.0
24,"Śródmieście, Warszawa",5303,8.7,8.6
25,Mszczonów,6290,8.1,9.2
26,Wyszków,4620,8.7,9.2
27,Konstancin-Jeziorna,7526,9.1,9.0
28,Pruszków,2450,8.7,8.8
29,Warszawa,1716,8.9,8.1
30,Góra Kalwaria,2940,8.2,8.4
31,Nowy Dwór Mazowiecki,3290,7.8,8.7
32,Jachranka,9161,9.1,8.2
33,Jadwisin,2800,9.2,8.0
34,Mszczonów,7700,9.2,9.6
35,Altanka,3315,8.7,8.3
36,Mława,2240,8.0,9.5
37,Korczew,3157,8.8,8.9
38,Mory,5356,7.6,8.9
39,Zielonka,4620,8.6,8.4
40,Radom,2380,7.9,8.6
41,Góra Kalwaria,3515,8.0,8.1
42,"Śródmieście, Warszawa",7266,8.0,8.2
43,Błonie,2660,8.0,9.2
44,"Ochota, Warszawa",2618,9.5,9.5
45,Radom,2240,8.2,8.1
46,Brochów,3600,9.3,9.1
47,Węgrów,3640,8.8,8.2
48,"Śródmieście, Warszawa",7663,8.8,9.5
49,Ostrów Mazowiecka,4480,8.7,8.5
50,Ostrów Mazowiecka,4480,8.5,9.6
51,Wyszków,3500,8.0,8.3
52,Pionki,3276,7.9,9.2
53,Ostrołęka,2100,8.7,9.4
54,"Śródmieście, Warszawa",7266,9.2,8.3
55,Otwock,5740,8.4,9.7
56,"Wola, Warszawa",7812,8.9,10.0
57,Siedlce,3290,8.6,8.7
58,"Śródmieście, Warszawa",8328,9.3,8.0
59,Mlądz,2145,8.4,8.1
60,"Śródmieście, Warszawa",7663,9.4,9.6
61,Płock,5986,8.4,9.2
62,Klaudyn,2170,8.2,8.1
