,City,Cost,Rating,Comfort
0,Ełk,1257,9.4,9.3
1,Ełk,1400,7.7,8.1
2,Ełk,1073,8.1,10.0
3,Ełk,1750,10.0,8.6
4,Ełk,2500,8.4,8.5
5,Ełk,1623,8.4,9.9
6,Ełk,1165,9.8,9.8
7,Ełk,1792,7.0,9.8
8,Ełk,1136,9.7,8.5
9,Ełk,1685,9.4,9.0
10,Ełk,1569,8.3,9.3
11,Ełk,1295,7.0,8.3
12,Ełk,2394,9.0,10.0
13,Ełk,1715,9.4,8.9
14,Ełk,2520,8.0,9.6
15,Ełk,1488,10.0,8.7
16,Ełk,1274,8.7,9.5
17,Ełk,1607,9.3,8.3
18,Ełk,1962,8.6,9.7
19,Ełk,3010,9.8,9.5
20,Ełk,1890,8.3,8.8
21,Ełk,1272,9.7,8.9
22,Ełk,4060,7.6,9.6
23,Ełk,2730,9.4,8.5
24,Ełk,1400,8.7,8.6
25,Ełk,1525,9.0,9.0
26,Ełk,1771,9.5,9.9
27,Ełk,1575,8.4,9.7
28,Ełk,1792,8.9,10.0
29,Ełk,1165,8.9,9.9
30,Ełk,3005,9.9,10.0
31,Ełk,1785,9.7,9.7
32,Ełk,2730,9.9,9.8
33,Ełk,3522,9.8,9.5
34,Ełk,10515,7.8,9.5
35,Ełk,1792,10.0,9.9
36,Ełk,1879,9.7,9.9
37,Ełk,2808,9.0,9.7
38,Ełk,2709,9.4,8.4
39,Ełk,2100,9.3,9.8
40,Ełk,3150,9.8,9.7
41,Ełk,1575,9.6,9.7
42,Ełk,2646,9.6,9.5
43,Ełk,2513,8.9,10.0
44,Ełk,2142,9.6,9.8
45,Ełk,2460,9.9,8.8
46,Ełk,2030,9.5,9.2
47,Ełk,2625,9.4,9.4
48,Ełk,2376,9.4,9.8
49,Ełk,2548,9.7,9.8
50,Ełk,2094,9.7,10.0
51,Ełk,2520,9.0,10.0
52,Ełk,1750,8.3,10.0
53,Ełk,2450,9.7,8.0
54,Ełk,1685,9.4,10.0
55,Ełk,1884,9.9,10.0
56,Ełk,2478,10.0,9.4
57,Ełk,1768,10.0,9.8
58,Ełk,2736,8.8,9.4
59,Ełk,2205,8.8,9.7
60,Ełk,1569,9.6,9.8
61,Ełk,2695,9.0,10.0
62,Ełk,5379,9.8,10.0
63,Ełk,2073,9.4,9.3
64,Ełk,2468,9.7,9.6
65,Ełk,1870,9.5,10.0
66,Ełk,2450,9.8,8.5
67,Ełk,1963,9.5,9.6
68,Ełk,2495,9.8,9.9
69,Ełk,2430,10.0,9.9
70,Ełk,2926,8.8,9.0
71,Ełk,2766,9.7,9.6
72,Ełk,6914,9.0,10.0
73,Ełk,4158,8.3,9.6
74,Ełk,4158,9.5,9.6
75,Ełk,7140,9.8,9.0
76,Ełk,1575,9.6,9.5
77,Ełk,2100,9.2,9.6
