,City,Cost,Rating,Comfort
0,Mikołajki,3500,8.9,8.8
1,Mikołajki,4408,10.0,10.0
2,Mikołajki,2940,8.5,8.6
3,Mikołajki,1928,8.7,8.9
4,Mikołajki,3150,9.8,9.7
5,Mikołajki,1470,9.0,10.0
6,Mikołajki,4620,9.2,9.2
7,Mikołajki,2848,8.9,9.1
8,Mikołajki,5738,8.7,9.0
9,Mikołajki,2450,9.2,9.3
10,Mikołajki,1430,9.5,9.3
11,Mikołajki,2470,8.7,8.7
12,Mikołajki,1770,9.4,9.5
13,Mikołajki,1915,8.3,9.0
14,Mikołajki,1642,8.8,8.9
15,Mikołajki,2310,9.1,8.4
16,Mikołajki,2240,8.6,9.0
17,Mikołajki,3325,8.9,8.8
18,Mikołajki,2408,9.0,8.2
19,Mikołajki,2185,7.0,9.2
20,Mikołajki,1400,8.3,9.1
21,Mikołajki,1607,8.9,10.0
22,Mikołajki,2205,9.1,9.1
23,Mikołajki,1540,9.7,9.6
24,Mikołajki,2823,9.4,9.5
25,Mikołajki,2401,9.7,8.9
26,Mikołajki,1120,9.4,9.0
27,Mikołajki,1470,7.4,10.0
28,Mikołajki,1625,8.7,9.5
29,Mikołajki,1840,6.5,8.4
30,Mikołajki,1980,8.8,9.1
31,Mikołajki,2233,10.0,8.8
32,Mikołajki,1910,9.5,9.8
33,Mikołajki,1375,8.3,8.8
34,Mikołajki,1547,9.4,8.8
35,Mikołajki,4200,9.0,9.0
36,Mikołajki,1960,9.7,8.7
37,Mikołajki,4360,8.7,8.1
38,Mikołajki,1975,8.7,9.1
39,Mikołajki,2205,9.0,8.6
40,Mikołajki,1762,8.2,8.8
41,Mikołajki,1220,8.7,9.5
42,Mikołajki,2330,8.2,8.7
43,Mikołajki,5595,9.2,8.6
44,Mikołajki,3096,9.0,8.1
45,Mikołajki,2013,8.4,8.2
46,Mikołajki,2590,8.8,9.4
47,Mikołajki,1280,9.6,8.7
48,Mikołajki,2570,8.6,9.3
49,Mikołajki,2146,8.9,9.2
50,Mikołajki,1750,8.4,8.4
51,Mikołajki,3080,8.3,9.5
52,Mikołajki,2092,9.2,8.4
53,Mikołajki,2030,8.7,9.6
54,Mikołajki,1680,9.2,9.6
55,Mikołajki,2065,9.1,9.0
56,Mikołajki,2743,8.4,8.8
57,Mikołajki,2100,9.2,10.0
58,Mikołajki,1525,8.1,9.8
59,Mikołajki,3150,9.3,8.5
60,Mikołajki,2195,9.5,8.8
61,Mikołajki,3240,9.1,9.1
62,Mikołajki,6768,9.2,9.2
63,Mikołajki,3815,10.0,8.9
64,Mikołajki,2898,9.8,9.2
65,Mikołajki,3710,8.7,8.4
66,Mikołajki,1926,8.9,9.3
67,Mikołajki,1750,9.0,9.4
68,Mikołajki,2205,9.4,9.2
69,Mikołajki,3740,8.0,8.4
70,Mikołajki,2520,9.3,9.1
71,Mikołajki,1490,8.3,9.5
72,Mikołajki,3150,9.3,9.4
73,Mikołajki,1330,9.3,9.3
74,Mikołajki,2832,8.7,9.1
75,Mikołajki,2835,8.9,9.0
76,Mikołajki,1610,9.1,9.1
77,Mikołajki,2913,9.3,9.7
78,Mikołajki,2125,9.1,9.6
79,Mikołajki,1840,9.4,9.8
80,Mikołajki,1555,6.4,9.6
81,Mikołajki,4095,8.8,9.6
82,Mikołajki,2785,8.9,8.8
83,Mikołajki,3310,8.9,9.2
84,Mikołajki,4215,9.6,10.0
85,Mikołajki,3360,9.5,9.0
86,Mikołajki,2840,9.6,9.5
87,Mikołajki,2508,9.6,9.9
88,Mikołajki,5332,9.7,10.0
89,Mikołajki,1446,7.1,9.6
90,Mikołajki,2450,8.2,9.5
91,Mikołajki,6300,8.7,9.3
92,Mikołajki,4150,9.2,9.5
93,Mikołajki,6300,10.0,9.6
94,Mikołajki,4046,9.0,9.7
95,Mikołajki,2730,8.0,8.8
96,Mikołajki,2118,7.3,8.1
97,Mikołajki,2000,9.6,10.0
98,Mikołajki,1700,9.9,10.0
99,Mikołajki,6984,10.0,10.0
100,Mikołajki,2394,7.4,9.6
101,Mikołajki,1540,9.3,9.5
102,Mikołajki,2465,9.2,10.0
103,Mikołajki,2899,9.6,9.3
104,Mikołajki,2647,9.5,8.8
105,Mikołajki,2450,9.4,9.5
106,Mikołajki,2617,9.6,9.2
107,Mikołajki,3080,8.7,9.2
108,Mikołajki,3510,8.1,10.0
109,Mikołajki,2660,8.0,10.0
110,Mikołajki,3378,10.0,10.0
111,Mikołajki,2820,9.7,8.6
112,Mikołajki,2800,9.7,10.0
113,Mikołajki,2918,9.7,9.3
114,Mikołajki,3500,9.5,8.9
115,Mikołajki,4253,9.5,9.6
116,Mikołajki,3380,8.4,10.0
117,Mikołajki,2205,6.3,8.8
118,Mikołajki,2561,9.5,9.6
119,Mikołajki,3967,9.3,9.6
120,Mikołajki,617,9.1,10.0
121,Mikołajki,3360,8.8,9.6
122,Mikołajki,8400,8.4,9.9
123,Mikołajki,2772,9.5,9.3
124,Mikołajki,12085,9.7,9.7
125,Mikołajki,5623,10.0,9.3
126,Mikołajki,12600,8.5,9.7
127,Mikołajki,13230,10.0,9.6
128,Mikołajki,2993,9.4,9.5
129,Mikołajki,4200,8.8,9.4
130,Mikołajki,3343,8.9,9.6
131,Mikołajki,4410,9.8,9.0
132,Mikołajki,3821,8.8,9.4
133,Mikołajki,3360,9.1,8.6
134,Mikołajki,3582,8.9,10.0
135,Mikołajki,5254,9.6,9.7
136,Mikołajki,2800,9.7,9.1
137,Mikołajki,5410,9.8,9.0
138,Mikołajki,3763,9.4,9.6
139,Mikołajki,3500,9.7,9.4
140,Mikołajki,3164,9.5,8.9
141,Mikołajki,5517,9.7,9.8
142,Mikołajki,8400,9.4,9.6
143,Mikołajki,5689,9.3,8.8
144,Mikołajki,3906,8.2,9.6
145,Mikołajki,6104,9.4,9.0
146,Mikołajki,2338,9.6,8.8
147,Mikołajki,2470,8.9,8.1
148,Mikołajki,3150,9.6,9.0
149,Mikołajki,4500,8.6,9.9
150,Mikołajki,4257,10.0,8.7
151,Mikołajki,2800,9.6,9.9
152,Mikołajki,5600,9.1,9.1
153,Mikołajki,4465,9.0,8.5
154,Mikołajki,5040,9.4,9.6
155,Mikołajki,7118,9.2,10.0
156,Mikołajki,3500,8.4,8.6
157,Mikołajki,3640,9.6,8.4
158,Mikołajki,2777,7.2,8.5
159,Mikołajki,4913,9.4,10.0
160,Mikołajki,7300,8.6,9.2
161,Mikołajki,4382,9.5,9.0
162,Mikołajki,1841,8.9,10.0
163,Mikołajki,4200,6.9,8.7
164,Mikołajki,4186,8.6,8.4
165,Mikołajki,5690,7.1,9.0
166,Mikołajki,3150,7.6,9.5
167,Mikołajki,3542,9.0,10.0
168,Mikołajki,3430,9.8,9.0
169,Mikołajki,3850,8.4,8.6
170,Mikołajki,3115,9.8,9.1
171,Mikołajki,3500,8.8,9.4
