,City,Cost,Rating,Comfort
0,Giżycko,2548,8.2,8.1
1,Giżycko,2855,9.8,10.0
2,Giżycko,2828,9.0,10.0
3,Giżycko,2338,7.8,8.1
4,Giżycko,885,9.3,9.3
5,Giżycko,1043,10.0,10.0
6,Giżycko,2478,8.4,8.0
7,Giżycko,2408,8.9,9.1
8,Giżycko,1842,8.3,8.2
9,Giżycko,1603,10.0,10.0
10,Giżycko,980,10.0,10.0
11,Giżycko,4890,10.0,10.0
12,Giżycko,1691,9.9,10.0
13,Giżycko,2758,10.0,10.0
14,Giżycko,2209,8.0,8.2
15,Giżycko,2677,9.4,9.4
16,Giżycko,2696,9.1,9.0
17,Giżycko,3821,7.7,10.0
18,Giżycko,3547,7.4,9.6
19,Giżycko,2596,9.0,10.0
20,Giżycko,2478,9.6,10.0
21,Giżycko,3586,9.4,9.6
22,Giżycko,2419,10.0,9.0
23,Giżycko,2478,9.6,9.4
24,Giżycko,3002,8.7,8.8
25,Giżycko,2374,9.2,8.5
26,Giżycko,2330,9.0,8.0
27,Giżycko,2489,8.3,9.5
28,Giżycko,2433,8.3,8.1
29,Giżycko,2828,9.3,9.8
30,Giżycko,7752,7.6,8.9
31,Giżycko,3493,8.2,9.3
32,Giżycko,3767,9.8,9.2
33,Giżycko,2030,8.5,8.8
34,Giżycko,2615,8.9,10.0
35,Giżycko,2338,9.3,10.0
36,Giżycko,1788,9.0,8.1
37,Giżycko,5100,8.6,10.0
38,Giżycko,2296,10.0,8.3
39,Giżycko,1680,9.0,9.2
40,Giżycko,2456,7.8,9.4
41,Giżycko,2524,10.0,9.5
42,Giżycko,2408,8.5,8.0
43,Giżycko,4771,9.1,9.0
44,Giżycko,2269,9.1,10.0
45,Giżycko,1689,7.5,8.9
46,Giżycko,2128,9.0,8.5
47,Giżycko,2527,7.6,9.3
48,Giżycko,1190,8.8,9.2
49,Giżycko,3668,10.0,8.8
50,Giżycko,1838,8.9,10.0
51,Giżycko,3158,8.3,9.9
52,Giżycko,2452,9.9,9.2
53,Giżycko,3178,9.1,10.0
54,Giżycko,885,9.5,9.7
55,Giżycko,3528,10.0,9.7
56,Giżycko,1999,9.7,9.7
57,Giżycko,2128,9.2,9.0
58,Giżycko,2128,10.0,8.9
59,Giżycko,1568,9.6,10.0
60,Giżycko,2478,9.6,9.4
61,Giżycko,2051,9.5,9.1
62,Giżycko,2268,9.2,8.7
63,Giżycko,4521,8.4,8.8
64,Giżycko,2706,10.0,9.3
65,Giżycko,1778,9.0,9.0
66,Giżycko,1778,9.3,8.9
67,Giżycko,3528,8.6,8.7
68,Giżycko,1445,9.5,8.2
69,Giżycko,2278,9.0,9.0
70,Giżycko,3178,8.4,10.0
71,Giżycko,8007,8.8,10.0
72,Giżycko,2233,9.1,8.1
73,Giżycko,2233,8.5,9.4
74,Giżycko,3795,9.2,9.9
75,Giżycko,2758,8.6,9.8
76,Giżycko,3058,9.2,9.3
77,Giżycko,2478,8.6,9.5
78,Giżycko,1424,9.8,9.2
79,Giżycko,2408,9.9,9.6
80,Giżycko,2253,9.7,9.8
81,Giżycko,3423,9.3,8.7
82,Giżycko,2016,9.8,9.1
83,Giżycko,1953,9.0,10.0
84,Giżycko,9044,9.8,9.5
85,Giżycko,1842,9.7,9.9
86,Giżycko,2128,8.8,8.8
87,Giżycko,2184,9.1,10.0
88,Giżycko,2338,9.7,8.2
89,Giżycko,2422,9.5,9.3
90,Giżycko,2587,9.5,9.1
91,Giżycko,4676,8.0,9.5
92,Giżycko,5346,9.1,8.5
93,Giżycko,3055,9.5,8.4
94,Giżycko,6448,7.6,9.2
95,Giżycko,2926,9.6,9.5
96,Giżycko,3433,9.1,9.9
97,Giżycko,3356,9.4,9.1
98,Giżycko,3292,8.9,8.8
99,Giżycko,3420,8.0,9.8
100,Giżycko,3356,8.8,9.4
101,Giżycko,4001,8.3,8.3
102,Giżycko,4549,9.5,9.4
103,Giżycko,5278,9.7,9.5
104,Giżycko,1691,9.1,9.5
105,Giżycko,5974,8.3,9.6
106,Giżycko,2688,9.6,8.3
107,Giżycko,2800,8.6,10.0
108,Giżycko,1848,8.3,9.2
109,Giżycko,3044,9.2,8.5
110,Giżycko,2758,9.5,9.3
111,Giżycko,1956,9.4,9.7
112,Giżycko,1530,9.4,8.7
113,Giżycko,3360,8.3,10.0
114,Giżycko,3178,10.0,9.9
115,Giżycko,2621,9.3,9.3
116,Giżycko,2699,9.2,9.9
117,Giżycko,2548,8.1,8.8
118,Giżycko,4428,9.3,8.6
119,Giżycko,2086,9.4,9.7
120,Giżycko,2828,9.0,10.0
121,Giżycko,3318,10.0,10.0
122,Giżycko,2628,9.7,10.0
123,Giżycko,2268,9.3,9.7
124,Giżycko,3568,9.7,9.6
125,Giżycko,2884,7.8,9.6
126,Giżycko,2224,9.2,9.4
127,Giżycko,1582,8.5,10.0
128,Giżycko,3208,8.0,9.8
129,Giżycko,2677,9.4,8.3
130,Giżycko,3134,9.8,9.1
131,Giżycko,2111,9.7,9.6
132,Giżycko,2233,10.0,9.4
133,Giżycko,1778,9.5,8.6
134,Giżycko,1848,7.8,9.7
135,Giżycko,2696,9.8,8.9
136,Giżycko,2793,9.7,9.9
137,Giżycko,2548,9.2,9.0
138,Giżycko,2968,10.0,10.0
139,Giżycko,3129,9.6,9.2
140,Giżycko,2128,8.5,10.0
141,Giżycko,3441,8.9,10.0
142,Giżycko,2408,9.5,8.8
143,Giżycko,4200,9.5,9.2
144,Giżycko,2858,8.7,9.7
145,Giżycko,2628,9.6,9.7
146,Giżycko,2371,9.3,9.6
147,Giżycko,3178,9.8,9.4
148,Giżycko,2473,9.3,9.8
149,Giżycko,3003,7.8,8.7
150,Giżycko,2190,7.5,8.1
151,Giżycko,2590,9.8,9.8
152,Giżycko,2356,9.2,9.2
153,Giżycko,8428,9.9,10.0
154,Giżycko,3821,9.9,8.8
155,Giżycko,3058,8.3,9.6
156,Giżycko,2666,8.8,9.4
157,Giżycko,2918,9.3,10.0
158,Giżycko,3220,9.6,8.8
159,Giżycko,3724,9.6,9.2
160,Giżycko,3547,9.2,10.0
161,Giżycko,2478,9.7,9.3
162,Giżycko,2211,8.9,10.0
163,Giżycko,3388,8.1,9.1
164,Giżycko,3528,9.7,9.6
165,Giżycko,2688,9.3,8.3
166,Giżycko,3068,10.0,9.6
167,Giżycko,2244,8.5,8.6
168,Giżycko,3724,9.3,10.0
169,Giżycko,4519,6.0,8.9
170,Giżycko,2863,9.3,10.0
171,Giżycko,5978,10.0,9.7
172,Giżycko,3458,10.0,9.7
173,Giżycko,1813,9.2,9.2
174,Giżycko,2478,9.0,8.8
175,Giżycko,3008,9.9,9.6
176,Giżycko,2660,9.4,9.3
177,Giżycko,2786,9.9,8.9
178,Giżycko,2828,9.2,10.0
179,Giżycko,2596,9.2,9.8
