,City,Cost,Rating,Comfort
0,Iława,1922,10.0,10.0
1,Iława,1843,9.0,10.0
2,Iława,1489,10.0,10.0
3,Iława,2250,9.6,9.8
4,Iława,1960,9.3,10.0
5,Iława,3564,8.6,8.5
6,Iława,1673,8.8,9.2
7,Iława,3070,10.0,10.0
8,Iława,2310,9.1,9.1
9,Iława,1928,9.6,9.5
10,Iława,1540,8.4,8.5
11,Iława,1610,10.0,10.0
12,Iława,5593,8.2,9.1
13,Iława,2550,8.7,10.0
14,Iława,1488,9.9,10.0
15,Iława,5593,10.0,9.4
16,Iława,2085,9.3,9.5
17,Iława,2328,9.5,8.4
18,Iława,1796,8.3,9.4
19,Iława,2111,9.5,10.0
20,Iława,1400,9.9,9.5
21,Iława,2100,9.4,10.0
22,Iława,1750,10.0,9.1
23,Iława,2100,9.0,8.0
24,Iława,1820,8.2,9.2
25,Iława,2180,9.4,9.1
26,Iława,2380,9.3,8.7
27,Iława,1064,8.9,9.8
28,Iława,2133,9.7,9.4
29,Iława,2240,9.3,8.4
30,Iława,1575,8.6,9.2
31,Iława,1837,9.3,8.9
32,Iława,3053,8.8,9.1
33,Iława,1264,9.2,9.3
34,Iława,1229,9.3,8.5
35,Iława,4494,8.4,9.8
36,Iława,1943,9.9,9.6
37,Iława,1540,9.8,9.9
38,Iława,2100,9.9,9.0
39,Iława,1703,8.8,9.4
40,Iława,7560,9.5,9.7
41,Iława,4858,9.6,9.7
42,Iława,7700,9.2,9.4
43,Iława,3600,9.5,9.6
44,Iława,4501,9.6,9.5
45,Iława,2310,9.4,9.2
46,Iława,2100,9.1,10.0
47,Iława,3808,10.0,9.4
48,Iława,2240,9.4,9.1
49,Iława,1956,8.8,9.7
50,Iława,1699,9.6,8.1
51,Iława,2205,8.3,9.8
52,Iława,2079,9.8,8.2
53,Iława,2022,8.3,8.3
54,Iława,1873,8.3,10.0
55,Iława,4251,9.7,8.6
56,Iława,2145,9.2,9.7
57,Iława,1470,9.9,8.4
58,Iława,4830,8.4,9.6
59,Iława,1120,9.5,9.0
60,Iława,1172,9.1,8.6
61,Iława,1645,8.5,9.5
62,Iława,2625,9.4,9.4
63,Iława,2870,9.8,8.7
64,Iława,2205,8.6,10.0
65,Iława,4011,9.9,9.3
66,Iława,2361,9.1,9.5
67,Iława,1260,9.3,9.8
68,Iława,2153,9.9,9.6
69,Iława,2704,9.6,9.2
70,Iława,1575,9.2,9.8
71,Iława,3290,9.8,10.0
72,Iława,1666,9.9,9.6
73,Iława,3060,9.7,8.9
74,Iława,2394,8.4,9.2
75,Iława,3423,9.2,10.0
76,Iława,2310,10.0,10.0
77,Iława,3444,10.0,10.0
78,Iława,3465,10.0,9.8
79,Iława,3108,9.5,9.2
80,Iława,2016,8.8,9.4
81,Iława,2288,9.4,9.8
82,Iława,4745,9.7,10.0
83,Iława,1783,9.7,9.6
84,Iława,1785,9.4,9.7
85,Iława,2225,9.7,9.8
86,Iława,2394,9.9,10.0
87,Iława,3094,10.0,10.0
88,Iława,3773,10.0,9.4
89,Iława,2969,9.5,9.4
90,Iława,3346,9.3,9.7
91,Iława,4816,8.3,9.8
92,Iława,4200,9.8,9.8
93,Iława,3066,9.7,8.8
