,City,Cost,Rating,Comfort
0,Mrągowo,4706,9.6,9.7
1,Mrągowo,1525,10.0,10.0
2,Mrągowo,1896,10.0,10.0
3,Mrągowo,1149,10.0,10.0
4,Mrągowo,1638,8.7,8.8
5,Mrągowo,2595,7.0,8.3
6,Mrągowo,3213,8.5,9.4
7,Mrągowo,1643,9.4,8.9
8,Mrągowo,2431,9.1,9.8
9,Mrągowo,4158,9.8,10.0
10,Mrągowo,2359,9.7,9.4
11,Mrągowo,2188,10.0,9.2
12,Mrągowo,2398,9.3,9.2
13,Mrągowo,2460,9.4,8.5
14,Mrągowo,4074,8.7,8.1
15,Mrągowo,3808,8.0,8.8
16,Mrągowo,1848,8.9,9.6
17,Mrągowo,4556,9.1,8.6
18,Mrągowo,1179,8.9,10.0
19,Mrągowo,5557,10.0,8.9
20,Mrągowo,3850,8.9,10.0
21,Mrągowo,3052,9.9,9.6
22,Mrągowo,1693,9.6,8.2
23,Mrągowo,2597,8.3,9.2
24,Mrągowo,3388,9.2,9.2
25,Mrągowo,1848,9.4,9.6
26,Mrągowo,1708,9.5,9.2
27,Mrągowo,2499,9.3,9.3
28,Mrągowo,2839,8.6,10.0
29,Mrągowo,2688,10.0,9.4
30,Mrągowo,1855,9.3,9.9
31,Mrągowo,1148,9.5,10.0
32,Mrągowo,2348,9.5,9.3
33,Mrągowo,1621,9.4,8.6
34,Mrągowo,3358,8.9,8.4
35,Mrągowo,3878,8.8,8.4
36,Mrągowo,2935,8.6,9.5
37,Mrągowo,2828,9.4,9.8
38,Mrągowo,2684,9.8,10.0
39,Mrągowo,3035,9.6,9.0
40,Mrągowo,1078,9.0,10.0
41,Mrągowo,1015,9.3,9.5
42,Mrągowo,2849,9.5,10.0
43,Mrągowo,3321,9.6,9.1
44,Mrągowo,4673,8.9,9.2
45,Mrągowo,6178,9.0,9.6
46,Mrągowo,7189,9.9,8.9
47,Mrągowo,2863,9.2,9.8
48,Mrągowo,3100,9.6,8.9
49,Mrągowo,2499,8.0,9.7
50,Mrągowo,2289,9.0,10.0
51,Mrągowo,5172,9.8,9.2
52,Mrągowo,3178,9.8,8.6
53,Mrągowo,2000,9.5,8.9
54,Mrągowo,2209,8.6,9.8
55,Mrągowo,1998,8.2,9.8
56,Mrągowo,3178,9.2,9.7
57,Mrągowo,3038,9.8,10.0
58,Mrągowo,4193,9.7,8.9
59,Mrągowo,2116,9.5,9.3
60,Mrągowo,3128,10.0,9.5
61,Mrągowo,3628,9.0,10.0
62,Mrągowo,1568,9.3,8.2
63,Mrągowo,1733,9.4,10.0
64,Mrągowo,2128,10.0,9.1
65,Mrągowo,5593,8.4,9.8
66,Mrągowo,5238,9.4,9.5
67,Mrągowo,4493,9.4,8.1
68,Mrągowo,4534,9.9,10.0
69,Mrągowo,1807,6.9,9.2
70,Mrągowo,2326,9.7,8.9
71,Mrągowo,2828,8.8,8.7
72,Mrągowo,3590,9.7,9.6
73,Mrągowo,2341,9.0,9.1
74,Mrągowo,5142,9.1,10.0
75,Mrągowo,2584,8.7,9.2
76,Mrągowo,3528,8.2,9.2
77,Mrągowo,1638,8.9,9.6
78,Mrągowo,2323,9.5,9.0
79,Mrągowo,1598,9.1,9.5
80,Mrągowo,2289,10.0,9.6
81,Mrągowo,3745,9.7,10.0
82,Mrągowo,3178,8.7,10.0
83,Mrągowo,3710,8.5,9.2
84,Mrągowo,2415,9.6,9.8
85,Mrągowo,2748,10.0,8.9
86,Mrągowo,1695,9.6,8.1
87,Mrągowo,3640,9.7,9.5
88,Mrągowo,6216,10.0,9.6
89,Mrągowo,2461,9.6,10.0
90,Mrągowo,3259,9.0,10.0
91,Mrągowo,11657,9.8,9.6
92,Mrągowo,2259,9.4,9.4
93,Mrągowo,7512,8.2,9.6
94,Mrągowo,12348,8.9,8.8
95,Mrągowo,5488,9.0,9.0
96,Mrągowo,3020,8.3,9.6
97,Mrągowo,3455,7.3,9.2
98,Mrągowo,4366,9.3,9.6
99,Mrągowo,2227,9.2,9.7
100,Mrągowo,1960,9.2,8.8
101,Mrągowo,2928,9.6,9.4
102,Mrągowo,2928,8.7,9.5
103,Mrągowo,3180,9.4,8.6
104,Mrągowo,5680,9.4,10.0
105,Mrągowo,3721,8.8,9.3
106,Mrągowo,6607,7.7,9.7
107,Mrągowo,3528,9.4,9.6
108,Mrągowo,2944,9.4,8.5
109,Mrągowo,1962,8.4,8.8
110,Mrągowo,3178,9.7,8.3
111,Mrągowo,3258,9.3,10.0
112,Mrągowo,4235,9.0,8.6
113,Mrągowo,1918,10.0,9.5
114,Mrągowo,3656,9.2,9.2
115,Mrągowo,2623,9.2,8.9
