,City,Cost,Rating,Comfort
0,Olsztyn,2839,8.7,8.7
1,Olsztyn,1360,9.8,10.0
2,Olsztyn,1581,10.0,10.0
3,Olsztyn,2371,8.0,10.0
4,Olsztyn,2130,9.5,10.0
5,Olsztyn,2528,9.6,9.4
6,Olsztyn,1496,8.5,8.6
7,Olsztyn,1400,7.7,8.8
8,Olsztyn,2028,10.0,10.0
9,Olsztyn,1112,8.3,8.4
10,Olsztyn,2095,9.9,10.0
11,Olsztyn,2480,9.7,10.0
12,Olsztyn,2831,9.6,9.8
13,Olsztyn,1326,9.7,8.8
14,Olsztyn,1550,9.4,9.5
15,Olsztyn,2766,9.8,9.5
16,Olsztyn,1780,8.0,10.0
17,Olsztyn,2280,9.7,8.4
18,Olsztyn,2325,8.3,10.0
19,Olsztyn,730,10.0,9.7
20,Olsztyn,5082,9.5,10.0
21,Olsztyn,1260,10.0,9.6
22,Olsztyn,2281,10.0,9.4
23,Olsztyn,1843,9.7,8.8
24,Olsztyn,2293,9.2,10.0
25,Olsztyn,1920,8.5,9.8
26,Olsztyn,2310,10.0,9.5
27,Olsztyn,9552,8.0,8.4
28,Olsztyn,1974,9.7,10.0
29,Olsztyn,2371,9.6,10.0
30,Olsztyn,2200,8.6,9.4
31,Olsztyn,2410,9.9,10.0
32,Olsztyn,2638,8.0,10.0
33,Olsztyn,1679,8.9,9.2
34,Olsztyn,9312,7.8,9.3
35,Olsztyn,2130,10.0,10.0
36,Olsztyn,2200,10.0,9.3
37,Olsztyn,1229,9.3,10.0
38,Olsztyn,2042,9.1,9.2
39,Olsztyn,1904,10.0,9.0
40,Olsztyn,2550,8.9,9.3
41,Olsztyn,3362,9.5,10.0
42,Olsztyn,5940,9.3,8.8
43,Olsztyn,3906,8.8,9.5
44,Olsztyn,2040,9.1,9.4
45,Olsztyn,1410,9.5,9.4
46,Olsztyn,2023,7.8,9.4
47,Olsztyn,2856,8.9,9.4
48,Olsztyn,1324,9.3,9.2
49,Olsztyn,1930,8.0,9.3
50,Olsztyn,1800,9.5,9.7
