,City,Cost,Rating,Comfort
0,Ostróda,1806,9.8,9.9
1,Ostróda,1666,10.0,10.0
2,Ostróda,4181,8.3,9.1
3,Ostróda,1512,8.0,8.6
4,Ostróda,3203,8.4,10.0
5,Ostróda,3808,10.0,9.1
6,Ostróda,3346,9.0,8.9
7,Ostróda,1568,7.5,9.0
8,Ostróda,2316,8.8,8.9
9,Ostróda,4235,8.7,8.8
10,Ostróda,5197,8.8,9.4
11,Ostróda,4208,8.7,8.3
12,Ostróda,4493,8.0,9.9
13,Ostróda,1820,9.4,8.2
14,Ostróda,2449,8.2,9.6
15,Ostróda,1960,9.7,9.7
16,Ostróda,6883,8.6,9.4
17,Ostróda,2205,9.4,8.5
18,Ostróda,2380,9.5,9.8
19,Ostróda,2041,9.6,9.9
20,Ostróda,3744,8.7,9.4
21,Ostróda,3158,9.9,8.5
22,Ostróda,4435,9.4,8.6
23,Ostróda,2529,9.1,9.4
24,Ostróda,2268,8.5,9.2
25,Ostróda,3458,8.4,8.2
26,Ostróda,2828,9.3,8.3
27,Ostróda,2478,9.1,9.3
28,Ostróda,4491,8.2,10.0
29,Ostróda,3203,8.1,9.8
30,Ostróda,3178,9.0,9.3
31,Ostróda,2628,10.0,8.0
32,Ostróda,2026,9.7,10.0
33,Ostróda,2048,9.2,10.0
34,Ostróda,3598,8.0,9.4
35,Ostróda,3808,10.0,9.6
36,Ostróda,3054,8.8,8.9
37,Ostróda,3493,9.1,10.0
38,Ostróda,1848,9.9,9.7
39,Ostróda,6328,9.2,9.3
40,Ostróda,2135,9.0,9.8
41,Ostróda,4536,9.4,9.7
42,Ostróda,5068,9.6,9.2
43,Ostróda,6666,9.7,9.3
44,Ostróda,2828,7.1,9.1
45,Ostróda,4228,9.7,8.8
46,Ostróda,2833,9.3,8.2
47,Ostróda,2338,7.0,9.0
