,City,Cost,Rating,Comfort
0,Ruciane-Nida,1463,8.7,8.6
1,Ruciane-Nida,2835,8.9,8.6
2,Ruciane-Nida,1348,8.3,8.0
3,Ruciane-Nida,2478,10.0,10.0
4,Ruciane-Nida,2233,7.7,8.4
5,Ruciane-Nida,872,8.0,9.5
6,Ruciane-Nida,2660,8.6,8.2
7,Ruciane-Nida,2135,9.4,8.6
8,Ruciane-Nida,6342,8.0,9.8
9,Ruciane-Nida,2800,6.7,9.9
10,Ruciane-Nida,3503,7.6,9.5
11,Ruciane-Nida,1435,8.8,9.1
12,Ruciane-Nida,1428,9.7,9.7
13,Ruciane-Nida,3255,8.3,8.9
14,Ruciane-Nida,2585,9.7,8.8
15,Ruciane-Nida,1638,9.3,8.4
16,Ruciane-Nida,1603,9.4,9.8
17,Ruciane-Nida,1638,7.6,10.0
18,Ruciane-Nida,1715,9.7,9.3
19,Ruciane-Nida,2128,9.0,9.6
20,Ruciane-Nida,1449,8.7,8.9
21,Ruciane-Nida,1557,8.6,8.9
22,Ruciane-Nida,4088,9.8,8.8
23,Ruciane-Nida,2478,10.0,9.2
24,Ruciane-Nida,4238,9.3,9.1
25,Ruciane-Nida,1808,6.4,8.7
26,Ruciane-Nida,1558,9.5,9.1
27,Ruciane-Nida,2695,9.1,8.9
28,Ruciane-Nida,2228,9.0,10.0
29,Ruciane-Nida,1498,9.2,8.9
30,Ruciane-Nida,3178,9.8,9.0
31,Ruciane-Nida,2548,9.3,8.5
32,Ruciane-Nida,2128,8.6,10.0
33,Ruciane-Nida,1638,8.9,8.1
34,Ruciane-Nida,2828,9.3,10.0
35,Ruciane-Nida,2793,9.9,9.1
36,Ruciane-Nida,1715,9.0,8.0
37,Ruciane-Nida,2341,7.0,9.8
38,Ruciane-Nida,1760,9.0,9.8
39,Ruciane-Nida,1291,8.6,9.5
