,City,Cost,Rating,Comfort
0,Giżycko,3378,8.2,8.1
1,Giżycko,3192,8.2,8.1
2,Giżycko,2352,10.0,10.0
3,Giżycko,2422,7.0,10.0
4,Giżycko,2492,10.0,10.0
5,Giżycko,1792,10.0,10.0
6,Giżycko,1957,10.0,10.0
7,Giżycko,994,9.9,10.0
8,Giżycko,2772,10.0,9.8
9,Giżycko,2677,9.8,8.0
10,Giżycko,3600,8.4,9.1
11,Giżycko,3118,8.9,9.3
12,Giżycko,3561,9.3,8.8
13,Giżycko,2492,9.0,10.0
14,Giżycko,2750,8.5,10.0
15,Giżycko,3016,10.0,10.0
16,Giżycko,3507,10.0,10.0
17,Giżycko,2492,10.0,8.0
18,Giżycko,2876,9.0,10.0
19,Giżycko,2142,8.3,8.9
20,Giżycko,1470,10.0,9.2
21,Giżycko,3767,9.1,10.0
22,Giżycko,5114,7.6,8.2
23,Giżycko,8037,9.1,8.0
24,Giżycko,3682,10.0,8.5
25,Giżycko,2612,8.0,9.5
26,Giżycko,2541,7.6,9.3
27,Giżycko,2594,8.3,8.9
28,Giżycko,3542,9.0,9.4
29,Giżycko,2422,9.9,8.6
30,Giżycko,3192,8.9,9.7
31,Giżycko,2422,9.4,8.5
32,Giżycko,2720,8.9,9.8
33,Giżycko,2660,7.8,8.9
34,Giżycko,2779,9.5,9.2
35,Giżycko,2492,8.3,8.9
36,Giżycko,2142,9.3,9.9
37,Giżycko,3192,7.7,9.7
38,Giżycko,2929,8.8,9.5
39,Giżycko,2282,9.2,9.7
40,Giżycko,1792,8.4,9.1
41,Giżycko,2184,9.7,10.0
42,Giżycko,3542,9.6,8.7
43,Giżycko,1435,9.5,9.1
44,Giżycko,3216,9.6,9.9
45,Giżycko,2812,9.3,9.1
46,Giżycko,2768,7.0,9.6
47,Giżycko,3072,10.0,9.3
48,Giżycko,2999,9.1,8.8
49,Giżycko,3124,9.1,8.2
50,Giżycko,4754,9.5,8.5
51,Giżycko,2198,9.1,10.0
52,Giżycko,2376,9.6,8.7
53,Giżycko,1478,9.0,9.0
54,Giżycko,1957,9.5,8.1
55,Giżycko,2642,8.5,9.4
56,Giżycko,3809,8.9,9.9
57,Giżycko,2737,9.7,9.8
58,Giżycko,2772,8.6,9.3
59,Giżycko,3472,9.2,9.8
60,Giżycko,994,8.6,9.5
61,Giżycko,2578,9.8,9.2
62,Giżycko,2352,9.9,9.1
63,Giżycko,5292,9.7,9.9
64,Giżycko,2800,9.3,9.6
65,Giżycko,2635,9.4,9.8
66,Giżycko,2695,9.8,8.7
67,Giżycko,9058,9.0,9.5
68,Giżycko,2517,9.4,9.3
69,Giżycko,3192,9.7,9.5
70,Giżycko,2436,9.8,9.2
71,Giżycko,2548,9.7,8.2
72,Giżycko,5986,8.8,9.8
73,Giżycko,2030,9.3,9.7
74,Giżycko,2752,9.6,9.9
75,Giżycko,3069,9.5,9.2
76,Giżycko,6462,8.3,9.5
77,Giżycko,3570,8.6,9.4
78,Giżycko,3447,9.6,9.9
79,Giżycko,2772,9.4,9.4
80,Giżycko,3370,9.7,10.0
81,Giżycko,7384,8.0,8.8
82,Giżycko,3306,9.3,9.0
83,Giżycko,3434,9.4,8.8
84,Giżycko,4016,9.2,8.8
85,Giżycko,2677,9.7,10.0
86,Giżycko,4567,8.6,9.7
87,Giżycko,3370,10.0,9.9
88,Giżycko,4015,9.1,10.0
89,Giżycko,4563,8.8,8.7
90,Giżycko,10998,8.6,9.6
91,Giżycko,3582,8.3,8.5
92,Giżycko,3332,10.0,9.4
93,Giżycko,2842,9.5,9.7
94,Giżycko,2842,9.8,8.3
95,Giżycko,3402,10.0,9.7
96,Giżycko,2142,9.0,9.7
97,Giżycko,2642,9.7,9.6
98,Giżycko,2601,9.2,9.1
99,Giżycko,2793,9.2,8.3
100,Giżycko,2247,9.3,9.2
101,Giżycko,3500,8.5,10.0
102,Giżycko,4200,9.5,9.4
103,Giżycko,2433,9.4,9.3
104,Giżycko,3600,9.5,8.3
105,Giżycko,3506,8.9,9.8
106,Giżycko,8539,8.3,9.3
107,Giżycko,4539,9.2,10.0
108,Giżycko,5432,10.0,10.0
109,Giżycko,3582,9.2,9.3
110,Giżycko,3118,9.3,8.8
111,Giżycko,3072,8.3,9.4
112,Giżycko,2247,9.7,9.2
113,Giżycko,6272,9.6,8.6
114,Giżycko,7649,9.8,9.6
115,Giżycko,2562,9.7,9.0
116,Giżycko,3500,8.1,9.2
117,Giżycko,3234,9.3,9.8
118,Giżycko,2562,8.3,10.0
119,Giżycko,2982,9.1,9.8
120,Giżycko,5082,9.1,9.7
121,Giżycko,2225,8.5,9.8
122,Giżycko,4910,9.8,10.0
123,Giżycko,4242,9.3,8.3
124,Giżycko,2590,8.8,9.2
125,Giżycko,3542,7.5,9.4
126,Giżycko,3402,9.7,8.8
127,Giżycko,2016,9.8,8.7
128,Giżycko,2660,9.6,8.6
129,Giżycko,3561,9.6,9.7
130,Giżycko,3738,9.4,9.6
131,Giżycko,3174,9.9,10.0
132,Giżycko,2372,8.5,10.0
133,Giżycko,3360,9.4,8.8
134,Giżycko,2125,9.2,8.3
135,Giżycko,2492,9.2,8.8
136,Giżycko,2370,8.9,10.0
137,Giżycko,8442,8.7,9.6
138,Giżycko,2982,9.6,9.4
139,Giżycko,3486,9.6,9.2
140,Giżycko,2800,9.9,10.0
141,Giżycko,2253,9.9,9.3
142,Giżycko,4032,9.2,9.1
143,Giżycko,3192,8.3,9.6
144,Giżycko,3192,9.5,8.1
145,Giżycko,2932,10.0,9.6
146,Giżycko,3472,9.3,8.6
147,Giżycko,2399,6.0,10.0
148,Giżycko,2492,9.3,8.9
149,Giżycko,3080,10.0,10.0
150,Giżycko,3022,9.0,9.7
151,Giżycko,2702,9.9,9.7
152,Giżycko,4196,9.4,9.6
153,Giżycko,2352,9.2,8.8
154,Giżycko,2750,9.2,9.6
155,Giżycko,4278,8.1,9.3
156,Giżycko,3192,9.2,9.7
157,Giżycko,3728,8.9,8.9
158,Giżycko,3066,10.0,10.0
159,Giżycko,3158,9.2,9.8
160,Giżycko,3016,9.4,9.5
161,Giżycko,3442,9.2,10.0
162,Giżycko,3542,9.7,9.0
163,Giżycko,4550,9.6,8.9
164,Giżycko,2502,7.5,9.4
165,Giżycko,2842,8.9,9.8
166,Giżycko,3766,9.9,9.2
167,Giżycko,2125,9.4,8.3
168,Giżycko,6706,9.6,9.3
169,Giżycko,6972,8.6,9.2
170,Giżycko,3192,9.5,9.2
171,Giżycko,4697,9.6,8.8
172,Giżycko,3430,9.0,9.1
173,Giżycko,4186,10.0,8.1
174,Giżycko,3569,7.3,8.3
175,Giżycko,2310,8.8,9.5
176,Giżycko,2632,8.9,9.7
177,Giżycko,3966,6.2,8.1
178,Giżycko,3427,9.4,9.6
179,Giżycko,3507,9.8,8.8
180,Giżycko,2992,9.3,9.2
181,Giżycko,6559,8.1,9.0
