,City,Cost,Rating,Comfort
0,Mikołajki,3220,8.9,8.8
1,Mikołajki,4408,10.0,10.0
2,Mikołajki,2940,10.0,10.0
3,Mikołajki,3150,8.5,8.6
4,Mikołajki,1928,9.2,9.5
5,Mikołajki,4200,9.8,9.7
6,Mikołajki,2660,9.4,9.1
7,Mikołajki,2999,9.0,10.0
8,Mikołajki,8858,9.0,9.0
9,Mikołajki,5778,8.9,9.1
10,Mikołajki,2006,8.7,8.9
11,Mikołajki,2450,8.9,9.2
12,Mikołajki,8746,8.7,9.0
13,Mikołajki,2960,9.0,8.8
14,Mikołajki,5652,9.3,9.5
15,Mikołajki,5054,7.0,9.6
16,Mikołajki,3540,9.5,9.3
17,Mikołajki,2723,9.2,9.6
18,Mikołajki,4246,9.3,9.1
19,Mikołajki,1960,8.8,9.6
20,Mikołajki,3710,9.7,8.2
21,Mikołajki,2835,8.3,10.0
22,Mikołajki,4046,10.0,9.2
23,Mikołajki,2296,8.7,8.8
24,Mikołajki,3220,8.7,9.8
25,Mikołajki,6608,9.7,8.6
26,Mikołajki,2832,8.4,9.1
27,Mikołajki,2573,9.1,9.7
28,Mikołajki,3482,9.6,10.0
29,Mikołajki,2555,8.3,8.6
30,Mikołajki,4095,9.7,8.8
31,Mikołajki,9968,8.6,9.0
32,Mikołajki,2427,9.2,9.0
33,Mikołajki,2100,9.1,9.6
34,Mikołajki,1960,9.0,9.0
35,Mikołajki,4471,7.4,9.8
36,Mikołajki,3325,9.6,9.9
37,Mikołajki,5623,8.9,9.9
38,Mikołajki,4186,9.6,10.0
39,Mikołajki,1750,9.8,10.0
40,Mikołajki,1926,9.8,8.7
41,Mikołajki,3478,10.0,8.6
42,Mikołajki,4466,9.5,8.4
43,Mikołajki,4186,8.5,8.2
44,Mikołajki,11418,8.6,9.2
45,Mikołajki,7084,8.4,9.6
46,Mikołajki,6842,7.6,9.7
47,Mikołajki,5211,8.3,9.0
48,Mikołajki,14194,7.3,9.4
49,Mikołajki,14071,9.0,9.1
50,Mikołajki,7339,8.2,8.1
51,Mikołajki,8464,9.4,8.4
52,Mikołajki,7078,9.4,9.8
53,Mikołajki,5321,9.6,9.6
54,Mikołajki,4462,9.0,8.4
55,Mikołajki,2979,9.1,9.0
56,Mikołajki,2447,9.4,9.3
57,Mikołajki,3898,8.2,9.4
58,Mikołajki,1750,8.6,8.7
59,Mikołajki,3500,9.8,9.4
60,Mikołajki,6930,9.4,9.1
61,Mikołajki,2494,8.3,8.7
62,Mikołajki,3360,8.9,9.1
63,Mikołajki,2566,9.5,8.8
64,Mikołajki,3780,9.2,10.0
65,Mikołajki,3325,8.7,9.4
66,Mikołajki,2800,9.3,8.8
67,Mikołajki,4275,8.8,9.1
68,Mikołajki,3290,8.7,9.6
69,Mikołajki,11434,9.1,9.5
70,Mikołajki,3290,8.7,9.1
71,Mikołajki,3703,9.7,10.0
72,Mikołajki,4084,9.2,8.9
73,Mikołajki,3892,8.7,8.8
74,Mikołajki,2146,9.0,9.3
75,Mikołajki,3671,9.5,10.0
76,Mikołajki,4305,9.2,9.1
77,Mikołajki,3380,9.2,9.6
78,Mikołajki,3419,10.0,8.8
79,Mikołajki,3967,9.1,8.9
80,Mikołajki,3010,9.5,10.0
81,Mikołajki,4200,6.4,9.4
82,Mikołajki,5132,9.2,9.3
83,Mikołajki,3150,9.5,8.8
84,Mikołajki,6989,9.1,8.4
85,Mikołajki,3209,8.2,9.6
86,Mikołajki,2019,9.3,8.1
87,Mikołajki,3850,8.8,9.0
88,Mikołajki,4736,8.0,10.0
89,Mikołajki,3821,8.4,8.8
90,Mikołajki,2945,10.0,9.6
91,Mikołajki,3150,9.4,9.0
92,Mikołajki,3500,9.4,10.0
93,Mikołajki,3850,8.7,10.0
94,Mikołajki,1739,7.4,9.6
95,Mikołajki,3413,8.3,10.0
96,Mikołajki,5040,9.6,9.3
97,Mikołajki,2592,8.4,9.5
98,Mikołajki,3360,8.7,9.5
99,Mikołajki,3717,10.0,9.2
100,Mikołajki,4200,8.9,9.2
101,Mikołajki,3500,9.7,10.0
102,Mikołajki,2640,8.8,10.0
103,Mikołajki,2660,10.0,8.6
104,Mikołajki,2767,9.7,8.9
105,Mikołajki,3868,9.7,9.6
106,Mikołajki,4760,9.5,8.8
107,Mikołajki,3844,8.4,9.6
108,Mikołajki,4340,6.3,9.6
109,Mikołajki,2509,9.6,10.0
110,Mikołajki,3718,9.3,9.6
111,Mikołajki,3094,9.1,9.9
112,Mikołajki,12085,8.8,9.7
113,Mikołajki,12600,8.4,9.6
114,Mikołajki,13230,9.7,8.9
115,Mikołajki,4200,10.0,8.5
116,Mikołajki,3360,8.5,9.5
117,Mikołajki,4410,8.8,8.1
118,Mikołajki,3360,8.9,9.4
119,Mikołajki,5459,8.8,9.0
120,Mikołajki,4101,9.1,9.4
121,Mikołajki,5419,8.9,9.6
122,Mikołajki,3500,9.6,9.6
123,Mikołajki,5410,9.7,8.8
124,Mikołajki,3763,9.8,9.6
125,Mikołajki,3164,9.7,9.0
126,Mikołajki,5574,9.4,8.7
127,Mikołajki,8400,8.0,8.8
128,Mikołajki,5689,8.7,8.1
129,Mikołajki,2338,9.3,9.0
130,Mikołajki,2839,8.1,8.7
131,Mikołajki,4750,9.6,8.5
132,Mikołajki,4257,9.0,10.0
133,Mikołajki,5600,9.2,8.6
134,Mikołajki,4606,9.6,8.4
135,Mikołajki,5544,7.2,8.5
136,Mikołajki,7118,9.4,8.4
137,Mikołajki,4913,8.6,9.2
138,Mikołajki,7339,9.5,9.2
139,Mikołajki,3220,8.9,9.3
140,Mikołajki,5040,6.9,8.4
141,Mikołajki,4382,8.7,9.0
142,Mikołajki,3661,8.6,9.5
143,Mikołajki,3150,7.6,10.0
144,Mikołajki,3430,6.5,9.3
145,Mikołajki,5607,9.0,9.1
146,Mikołajki,3080,8.4,9.5
147,Mikołajki,6160,8.5,8.8
148,Mikołajki,3423,9.2,9.2
149,Mikołajki,8184,8.4,9.0
150,Mikołajki,4724,8.8,8.9
151,Mikołajki,4939,8.8,8.7
