,City,Cost,Rating,Comfort
0,Mrągowo,4720,9.6,9.7
1,Mrągowo,1929,10.0,10.0
2,Mrągowo,1657,10.0,9.4
3,Mrągowo,3251,7.0,9.4
4,Mrągowo,2574,9.4,8.8
5,Mrągowo,3822,8.7,10.0
6,Mrągowo,4172,9.7,9.6
7,Mrągowo,2202,9.1,8.2
8,Mrągowo,4270,8.3,10.0
9,Mrągowo,5736,10.0,9.2
10,Mrągowo,4326,9.2,9.6
11,Mrągowo,1854,9.6,8.1
12,Mrągowo,2513,8.0,9.6
13,Mrągowo,2842,9.5,8.9
14,Mrągowo,3462,8.9,9.5
15,Mrągowo,1873,9.5,10.0
16,Mrągowo,3372,9.9,9.4
17,Mrągowo,2859,9.3,8.8
18,Mrągowo,12040,8.9,8.6
19,Mrągowo,2499,8.9,9.3
20,Mrągowo,2469,8.6,9.2
21,Mrągowo,3192,9.3,8.4
22,Mrągowo,2613,8.6,10.0
23,Mrągowo,1862,9.3,8.9
24,Mrągowo,2842,9.2,9.5
25,Mrągowo,6650,9.4,9.8
26,Mrągowo,4158,9.8,10.0
27,Mrągowo,3892,9.6,9.0
28,Mrągowo,2176,9.0,9.2
29,Mrągowo,3999,9.4,9.2
30,Mrągowo,3381,9.3,9.8
31,Mrągowo,2012,9.8,9.2
32,Mrągowo,5388,9.5,8.5
33,Mrągowo,6192,8.7,9.2
34,Mrągowo,7357,9.0,8.9
35,Mrągowo,2877,8.0,9.9
36,Mrągowo,9587,9.0,9.7
37,Mrągowo,3122,9.5,9.7
38,Mrągowo,5304,9.8,9.6
39,Mrągowo,3642,9.5,8.9
40,Mrągowo,1899,9.9,8.9
41,Mrągowo,2130,9.1,9.8
42,Mrągowo,3052,9.2,9.8
43,Mrągowo,4753,9.6,10.0
44,Mrągowo,2981,9.8,10.0
45,Mrągowo,2130,10.0,10.0
46,Mrągowo,4493,9.4,9.8
47,Mrągowo,2579,10.0,8.5
48,Mrągowo,5379,9.7,9.1
49,Mrągowo,2142,8.7,9.5
50,Mrągowo,3542,9.1,9.3
51,Mrągowo,5593,9.4,9.2
52,Mrągowo,3273,9.3,9.8
53,Mrągowo,5142,8.2,8.4
54,Mrągowo,4754,9.4,9.5
55,Mrągowo,5529,9.8,8.6
56,Mrągowo,3753,8.8,9.1
57,Mrągowo,2632,9.7,9.5
58,Mrągowo,6617,8.9,10.0
59,Mrągowo,3542,8.9,9.8
60,Mrągowo,2692,9.4,9.0
61,Mrągowo,1733,10.0,9.4
62,Mrągowo,2296,9.9,10.0
63,Mrągowo,6621,9.6,9.2
64,Mrągowo,5698,6.9,9.2
65,Mrągowo,2472,9.7,9.6
66,Mrągowo,1802,9.7,9.5
67,Mrągowo,10344,9.7,9.6
68,Mrągowo,3292,8.7,10.0
69,Mrągowo,3762,8.5,10.0
70,Mrągowo,3604,10.0,9.2
71,Mrągowo,3542,9.6,8.9
72,Mrągowo,2363,9.7,8.1
73,Mrągowo,1932,10.0,9.5
74,Mrągowo,4148,9.6,9.6
75,Mrągowo,11657,9.0,10.0
76,Mrągowo,2485,9.4,10.0
77,Mrągowo,2702,8.2,9.6
78,Mrągowo,7994,8.9,9.4
79,Mrągowo,14124,9.0,9.6
80,Mrągowo,5887,8.3,8.9
81,Mrągowo,3168,7.3,8.8
82,Mrągowo,4085,9.3,9.0
83,Mrągowo,4380,9.2,9.6
84,Mrągowo,2450,9.2,9.2
85,Mrągowo,3292,9.6,9.6
86,Mrągowo,3292,9.0,9.6
87,Mrągowo,3180,8.7,9.7
88,Mrągowo,5694,9.4,8.8
89,Mrągowo,3735,9.4,9.5
90,Mrągowo,3542,8.8,10.0
91,Mrągowo,2964,7.7,9.3
92,Mrągowo,2090,9.5,9.7
93,Mrągowo,3542,9.4,9.2
94,Mrągowo,3272,9.4,9.6
95,Mrągowo,4882,8.4,8.6
96,Mrągowo,5712,9.3,8.7
97,Mrągowo,4332,8.2,8.9
98,Mrągowo,3210,10.0,8.8
99,Mrągowo,3462,9.2,8.3
100,Mrągowo,2996,9.2,10.0
101,Mrągowo,2135,9.1,8.6
102,Mrągowo,4242,8.5,9.2
103,Mrągowo,2842,8.9,8.2
104,Mrągowo,3539,8.6,8.9
