,City,Cost,Rating,Comfort
0,Olsztyn,5562,8.7,8.7
1,Olsztyn,1410,9.9,10.0
2,Olsztyn,2371,10.0,10.0
3,Olsztyn,1613,9.8,10.0
4,Olsztyn,2679,9.5,10.0
5,Olsztyn,2495,8.0,10.0
6,Olsztyn,3930,10.0,10.0
7,Olsztyn,2340,10.0,8.6
8,Olsztyn,2372,8.5,10.0
9,Olsztyn,4261,10.0,10.0
10,Olsztyn,2272,10.0,10.0
11,Olsztyn,2441,9.7,9.4
12,Olsztyn,5394,9.6,9.7
13,Olsztyn,1790,9.5,9.8
14,Olsztyn,2040,9.6,8.4
15,Olsztyn,2781,8.3,8.8
16,Olsztyn,7405,9.7,8.8
17,Olsztyn,2495,8.5,9.5
18,Olsztyn,1989,9.4,10.0
19,Olsztyn,2645,10.0,9.5
20,Olsztyn,1691,9.6,10.0
21,Olsztyn,2722,10.0,9.6
22,Olsztyn,2488,9.7,10.0
23,Olsztyn,3793,10.0,8.4
24,Olsztyn,2325,8.6,10.0
25,Olsztyn,2871,9.8,10.0
26,Olsztyn,2127,10.0,9.3
27,Olsztyn,1909,9.1,9.4
28,Olsztyn,5940,9.2,10.0
29,Olsztyn,1613,9.5,9.4
30,Olsztyn,2309,9.3,9.2
31,Olsztyn,4085,8.9,10.0
32,Olsztyn,2150,9.9,9.0
33,Olsztyn,3584,8.9,9.8
34,Olsztyn,3584,9.7,10.0
35,Olsztyn,2679,9.5,9.4
36,Olsztyn,7129,8.9,9.6
37,Olsztyn,3306,9.6,9.5
38,Olsztyn,9327,9.5,9.3
39,Olsztyn,3306,6.9,8.4
40,Olsztyn,2662,9.1,9.4
41,Olsztyn,2040,8.6,8.2
42,Olsztyn,2845,9.2,9.5
43,Olsztyn,1540,8.4,9.5
44,Olsztyn,3676,7.8,10.0
45,Olsztyn,2002,9.3,9.7
46,Olsztyn,3195,9.4,9.4
47,Olsztyn,2142,8.0,9.3
48,Olsztyn,2606,9.5,9.3
49,Olsztyn,18385,9.4,9.5
50,Olsztyn,1775,9.3,8.8
51,Olsztyn,1529,9.2,10.0
52,Olsztyn,5859,9.6,8.4
53,Olsztyn,1585,10.0,9.2
54,Olsztyn,2495,8.9,9.7
55,Olsztyn,5295,9.6,9.6
56,Olsztyn,2229,8.3,9.2
57,Olsztyn,3535,7.3,9.3
58,Olsztyn,1720,9.3,9.6
59,Olsztyn,2399,9.8,9.2
60,Olsztyn,3930,9.7,10.0
61,Olsztyn,2682,9.2,8.1
62,Olsztyn,6319,8.0,9.8
63,Olsztyn,2519,9.4,8.8
64,Olsztyn,2267,8.0,8.9
65,Olsztyn,1515,9.7,9.1
66,Olsztyn,2745,9.3,9.3
67,Olsztyn,5394,9.8,8.4
68,Olsztyn,3965,8.2,9.0
69,Olsztyn,1400,9.7,10.0
70,Olsztyn,2110,9.0,8.8
71,Olsztyn,1481,8.7,9.4
72,Olsztyn,3685,9.2,10.0
73,Olsztyn,1812,9.5,9.2
74,Olsztyn,2150,8.4,9.1
75,Olsztyn,2848,8.8,9.9
76,Olsztyn,1879,10.0,9.6
77,Olsztyn,3283,9.2,9.6
78,Olsztyn,2943,9.2,9.4
79,Olsztyn,2340,9.5,9.6
80,Olsztyn,2135,9.7,9.3
81,Olsztyn,1988,8.9,8.9
82,Olsztyn,2086,9.8,9.2
83,Olsztyn,2020,9.4,9.5
84,Olsztyn,1750,9.7,9.2
85,Olsztyn,2372,9.6,9.7
86,Olsztyn,2415,9.3,9.0
87,Olsztyn,9486,9.4,8.8
88,Olsztyn,3149,9.1,10.0
89,Olsztyn,3244,9.0,9.5
90,Olsztyn,4129,9.4,8.3
91,Olsztyn,4343,9.2,9.2
92,Olsztyn,3545,9.4,9.5
93,Olsztyn,2564,9.2,10.0
94,Olsztyn,6266,8.7,9.6
95,Olsztyn,3011,10.0,9.0
96,Olsztyn,2865,9.5,9.8
97,Olsztyn,4445,8.0,8.6
98,Olsztyn,4679,9.1,8.8
99,Olsztyn,3805,9.4,9.4
100,Olsztyn,3805,10.0,10.0
101,Olsztyn,2122,9.6,10.0
102,Olsztyn,3265,9.1,9.6
103,Olsztyn,1833,9.6,9.6
104,Olsztyn,2272,7.8,9.4
105,Olsztyn,2635,8.9,9.5
106,Olsztyn,1725,8.8,9.6
107,Olsztyn,2615,9.4,9.4
108,Olsztyn,1895,8.3,9.6
109,Olsztyn,2615,9.0,10.0
110,Olsztyn,2441,10.0,8.9
111,Olsztyn,2466,9.5,10.0
112,Olsztyn,1912,9.5,8.5
113,Olsztyn,2725,9.3,8.8
114,Olsztyn,2005,9.5,9.3
115,Olsztyn,2145,9.6,9.7
116,Olsztyn,2054,9.3,8.7
117,Olsztyn,3325,9.6,9.6
118,Olsztyn,3020,9.7,9.3
119,Olsztyn,2275,8.8,9.9
120,Olsztyn,6128,10.0,9.4
121,Olsztyn,2985,8.4,9.8
122,Olsztyn,2257,8.8,9.4
123,Olsztyn,3195,9.1,9.6
124,Olsztyn,2475,9.5,9.7
125,Olsztyn,2495,8.6,9.9
126,Olsztyn,3900,9.6,9.4
127,Olsztyn,3060,9.2,9.7
128,Olsztyn,2565,9.9,8.9
129,Olsztyn,5394,8.0,9.2
130,Olsztyn,1990,8.0,9.4
131,Olsztyn,2911,9.4,9.1
132,Olsztyn,4968,9.7,9.8
133,Olsztyn,1725,9.2,10.0
134,Olsztyn,10111,9.5,8.8
135,Olsztyn,2040,9.7,9.3
136,Olsztyn,2495,9.7,10.0
137,Olsztyn,2145,9.2,8.4
138,Olsztyn,2215,9.7,8.8
139,Olsztyn,3383,9.1,9.8
140,Olsztyn,4866,10.0,9.5
141,Olsztyn,2831,8.9,8.4
142,Olsztyn,2845,8.9,9.1
143,Olsztyn,2285,9.6,9.0
144,Olsztyn,2460,9.3,9.8
145,Olsztyn,1730,8.6,9.1
146,Olsztyn,7560,9.3,9.5
147,Olsztyn,4176,9.6,9.6
148,Olsztyn,3195,8.4,8.4
149,Olsztyn,3910,9.7,9.8
150,Olsztyn,2813,9.5,9.6
151,Olsztyn,1908,9.5,9.6
152,Olsztyn,2845,8.7,9.8
153,Olsztyn,2545,7.6,8.9
154,Olsztyn,2781,8.9,8.6
155,Olsztyn,3258,9.1,9.4
156,Olsztyn,1365,9.7,8.8
157,Olsztyn,2100,8.8,8.8
158,Olsztyn,5394,9.6,10.0
159,Olsztyn,2065,9.6,9.6
160,Olsztyn,2495,8.7,9.5
161,Olsztyn,2691,9.7,9.2
162,Olsztyn,2075,9.6,9.6
163,Olsztyn,2338,9.6,10.0
164,Olsztyn,2016,9.9,9.7
165,Olsztyn,4595,9.1,9.7
166,Olsztyn,2805,8.5,9.0
167,Olsztyn,4259,9.1,8.0
168,Olsztyn,2135,8.5,8.3
169,Olsztyn,2900,7.5,8.9
170,Olsztyn,3662,8.6,9.5
171,Olsztyn,3991,10.0,9.5
172,Olsztyn,4770,9.5,9.8
173,Olsztyn,2880,9.4,9.6
174,Olsztyn,3170,9.3,10.0
175,Olsztyn,1801,9.6,9.3
176,Olsztyn,2280,7.5,8.9
177,Olsztyn,2133,9.7,9.9
178,Olsztyn,2439,10.0,10.0
179,Olsztyn,1989,9.4,9.2
180,Olsztyn,1642,9.1,9.5
181,Olsztyn,1889,8.3,8.4
182,Olsztyn,3006,9.7,9.6
183,Olsztyn,3244,8.3,8.3
184,Olsztyn,2565,9.5,9.5
185,Olsztyn,2645,9.4,8.1
186,Olsztyn,2990,9.5,9.4
187,Olsztyn,3735,9.6,8.9
188,Olsztyn,1919,9.8,9.5
189,Olsztyn,3017,9.3,9.0
190,Olsztyn,2381,8.9,8.7
191,Olsztyn,3150,9.6,9.5
192,Olsztyn,2722,10.0,8.8
193,Olsztyn,2649,8.8,9.3
194,Olsztyn,4245,9.3,9.8
195,Olsztyn,3015,8.5,9.3
196,Olsztyn,2485,9.5,8.2
197,Olsztyn,3163,8.3,9.7
198,Olsztyn,1935,9.6,8.9
199,Olsztyn,3132,8.0,9.6
200,Olsztyn,4245,9.3,10.0
201,Olsztyn,4337,8.8,10.0
202,Olsztyn,2985,7.1,9.6
203,Olsztyn,3405,2.1,8.8
204,Olsztyn,1691,9.4,8.8
205,Olsztyn,2975,9.1,9.8
