,City,Cost,Rating,Comfort
0,Ruciane-Nida,3542,10.0,10.0
1,Ruciane-Nida,2958,8.6,8.4
2,Ruciane-Nida,2247,7.7,8.9
3,Ruciane-Nida,3360,6.7,8.6
4,Ruciane-Nida,2142,9.0,9.8
5,Ruciane-Nida,5205,8.9,10.0
6,Ruciane-Nida,2562,9.7,8.9
7,Ruciane-Nida,7356,7.6,8.6
8,Ruciane-Nida,2793,9.9,9.8
9,Ruciane-Nida,2242,9.0,8.2
10,Ruciane-Nida,1872,8.8,8.9
11,Ruciane-Nida,4103,9.8,9.2
12,Ruciane-Nida,11148,8.0,9.3
13,Ruciane-Nida,2568,8.0,9.1
14,Ruciane-Nida,2296,7.6,8.8
15,Ruciane-Nida,2712,9.1,9.1
16,Ruciane-Nida,6633,8.3,9.8
17,Ruciane-Nida,2842,9.2,9.6
18,Ruciane-Nida,6247,9.3,8.8
19,Ruciane-Nida,2562,9.3,9.2
20,Ruciane-Nida,2294,8.7,10.0
21,Ruciane-Nida,2877,9.4,9.7
22,Ruciane-Nida,2355,7.0,8.9
23,Ruciane-Nida,4172,9.6,8.4
24,Ruciane-Nida,2002,9.5,8.5
25,Ruciane-Nida,1862,9.2,9.9
26,Ruciane-Nida,3598,9.8,10.0
27,Ruciane-Nida,3892,10.0,8.7
28,Ruciane-Nida,3500,9.7,8.1
29,Ruciane-Nida,2013,9.0,10.0
30,Ruciane-Nida,2806,8.6,9.1
31,Ruciane-Nida,1306,8.6,9.1
32,Ruciane-Nida,6070,9.7,8.0
33,Ruciane-Nida,2077,10.0,9.8
34,Ruciane-Nida,3507,8.6,9.0
35,Ruciane-Nida,3892,8.5,9.5
