,City,Cost,Rating,Comfort
0,Ełk,2640,8.8,9.3
1,Ełk,3990,8.4,8.6
2,Ełk,1571,10.0,10.0
3,Ełk,2500,7.0,10.0
4,Ełk,2660,10.0,9.8
5,Ełk,2520,7.0,10.0
6,Ełk,1785,9.4,9.9
7,Ełk,3150,10.0,9.9
8,Ełk,2207,9.5,9.4
9,Ełk,4963,9.9,9.7
10,Ełk,5354,9.8,9.9
11,Ełk,3332,9.4,9.9
12,Ełk,2830,9.7,8.9
13,Ełk,3360,9.8,9.8
14,Ełk,2550,9.6,9.4
15,Ełk,3290,8.7,9.8
16,Ełk,2653,9.0,8.5
17,Ełk,3850,9.5,8.1
18,Ełk,2382,9.7,9.7
19,Ełk,2660,8.4,9.6
20,Ełk,2832,8.1,9.7
21,Ełk,2766,9.9,9.4
22,Ełk,2544,9.6,10.0
23,Ełk,2380,9.4,9.6
24,Ełk,4620,9.7,9.7
25,Ełk,2640,10.0,9.9
26,Ełk,3850,9.6,9.8
27,Ełk,2765,9.6,10.0
28,Ełk,2678,9.8,9.7
29,Ełk,2500,9.6,8.8
30,Ełk,3500,7.0,10.0
31,Ełk,2590,9.8,9.0
32,Ełk,4331,9.8,8.4
33,Ełk,3150,9.0,9.0
34,Ełk,2974,9.8,9.9
35,Ełk,2660,7.7,8.6
36,Ełk,4158,9.6,9.9
37,Ełk,6914,8.9,9.2
38,Ełk,2210,9.0,9.8
39,Ełk,2835,9.6,9.8
40,Ełk,2384,8.9,9.8
41,Ełk,4879,9.8,9.6
42,Ełk,3430,8.3,10.0
43,Ełk,3710,9.9,9.7
44,Ełk,3640,9.0,10.0
45,Ełk,5664,9.7,9.6
46,Ełk,3267,9.5,10.0
47,Ełk,3500,9.8,10.0
48,Ełk,3648,10.0,8.8
49,Ełk,2898,9.7,9.0
50,Ełk,1963,9.0,9.5
51,Ełk,3600,9.5,9.6
52,Ełk,4200,9.9,10.0
53,Ełk,5523,10.0,9.5
54,Ełk,2520,8.7,9.5
55,Ełk,7140,7.8,9.6
56,Ełk,7485,9.2,8.7
