,City,Cost,Rating,Comfort
0,Iława,2261,10.0,10.0
1,Iława,3686,9.0,10.0
2,Iława,1654,10.0,10.0
3,Iława,2400,9.3,10.0
4,Iława,1960,10.0,10.0
5,Iława,1912,10.0,10.0
6,Iława,4234,10.0,10.0
7,Iława,2450,9.9,10.0
8,Iława,2834,9.6,9.5
9,Iława,2100,9.3,9.4
10,Iława,2195,9.6,9.7
11,Iława,2030,9.4,9.2
12,Iława,1662,10.0,10.0
13,Iława,1488,9.2,9.1
14,Iława,2415,9.0,9.1
15,Iława,2560,9.5,9.4
16,Iława,2079,8.4,8.5
17,Iława,1540,9.3,9.1
18,Iława,2800,9.1,9.1
19,Iława,4501,9.9,9.7
20,Iława,6713,8.6,8.5
21,Iława,2240,8.9,8.7
22,Iława,3080,9.7,9.8
23,Iława,2870,9.9,10.0
24,Iława,6280,9.8,9.8
25,Iława,2240,9.6,9.8
26,Iława,1999,9.9,10.0
27,Iława,4274,8.7,9.1
28,Iława,3290,9.2,8.6
29,Iława,4830,9.3,9.4
30,Iława,7380,9.9,9.8
31,Iława,3465,9.8,9.6
32,Iława,11186,9.9,9.9
33,Iława,3150,8.8,9.0
34,Iława,3080,8.8,8.9
35,Iława,2145,9.3,9.2
36,Iława,8442,9.6,9.7
37,Iława,4858,9.8,9.4
38,Iława,7700,9.1,9.0
39,Iława,3600,9.2,9.7
40,Iława,3886,9.3,9.5
41,Iława,4760,8.3,8.1
42,Iława,4251,9.7,9.6
43,Iława,2975,9.7,10.0
44,Iława,2361,9.5,9.6
45,Iława,2800,9.7,9.7
46,Iława,3060,9.4,9.4
47,Iława,1960,8.4,8.4
48,Iława,3108,8.2,8.0
49,Iława,2150,9.1,9.3
50,Iława,4011,10.0,10.0
51,Iława,2262,9.7,9.8
52,Iława,2247,9.6,9.6
53,Iława,2205,9.4,9.5
54,Iława,1773,9.1,9.2
55,Iława,1666,9.3,9.3
56,Iława,2618,9.9,9.8
57,Iława,2835,9.2,9.2
58,Iława,3804,9.9,9.8
59,Iława,3640,9.7,10.0
60,Iława,3150,9.8,9.8
61,Iława,3150,9.2,9.2
62,Iława,2520,9.4,9.5
63,Iława,4200,9.9,9.8
64,Iława,5530,9.6,9.6
65,Iława,4200,9.3,9.4
66,Iława,2688,9.5,9.4
67,Iława,3444,10.0,10.0
68,Iława,2100,9.7,9.8
69,Iława,2799,8.6,8.4
70,Iława,3226,10.0,10.0
71,Iława,2730,10.0,10.0
72,Iława,4200,9.5,9.8
73,Iława,4830,9.4,9.4
74,Iława,4700,8.5,8.6
75,Iława,4816,10.0,10.0
76,Iława,2407,9.4,9.5
77,Iława,2288,8.3,9.7
78,Iława,4745,9.8,8.2
79,Iława,2394,8.3,8.7
80,Iława,3640,8.6,8.8
