,City,Cost,Rating,Comfort
0,Ostróda,2576,10.0,10.0
1,Ostróda,3836,10.0,10.0
2,Ostróda,8362,8.3,9.1
3,Ostróda,2802,8.4,8.6
4,Ostróda,6917,8.8,8.9
5,Ostróda,4340,7.5,9.7
6,Ostróda,2952,9.5,8.9
7,Ostróda,3136,8.8,9.1
8,Ostróda,8451,9.0,9.4
9,Ostróda,3360,9.6,9.9
10,Ostróda,4456,9.7,8.3
11,Ostróda,6692,8.1,9.2
12,Ostróda,4878,9.1,9.4
13,Ostróda,4519,9.3,8.2
14,Ostróda,3416,8.7,9.6
15,Ostróda,2076,9.9,8.5
16,Ostróda,2656,8.5,9.8
17,Ostróda,3556,9.9,9.3
18,Ostróda,2856,9.0,9.0
19,Ostróda,7579,8.7,8.8
20,Ostróda,2758,8.8,9.4
21,Ostróda,2288,8.0,10.0
22,Ostróda,3626,9.1,8.3
23,Ostróda,10394,10.0,9.8
24,Ostróda,2800,8.2,9.8
25,Ostróda,3640,9.7,8.2
26,Ostróda,5096,9.7,8.5
27,Ostróda,6706,8.2,8.6
28,Ostróda,4620,8.7,10.0
29,Ostróda,2802,8.4,8.9
30,Ostróda,3381,8.8,10.0
31,Ostróda,5411,9.2,9.3
32,Ostróda,3106,9.0,9.3
33,Ostróda,4768,9.2,8.0
34,Ostróda,3066,9.6,9.6
35,Ostróda,6917,8.0,9.7
36,Ostróda,4564,7.1,9.2
37,Ostróda,2856,9.5,9.3
38,Ostróda,4256,9.7,8.2
39,Ostróda,4676,9.3,9.4
